strategy_id,label,asset_key,symbol,market,family,provenance,profit_factor,trades,total_r,win_rate_pct,max_drawdown_r,params
australian_dollar_futures_us_first30_last30_momentum_direction_same_entryminute_930_exitba_5d0822c2,6A Us First30 Last30 Momentum,australian_dollar_futures,6A,futures,us_first30_last30_momentum,research_derived/session_specific,0.866278,1111,-38.285401,45.09,41.711694,"{""direction"": ""same"", ""entryMinute"": 930, ""exitBarMinute"": 945, ""minSignalAtr"": 0.0, ""signalEndBarMinute"": 585, ""signalStartMinute"": 570}"
australian_dollar_futures_us_first30_last30_momentum_direction_same_entryminute_930_exitba_ea0ced61,6A Us First30 Last30 Momentum,australian_dollar_futures,6A,futures,us_first30_last30_momentum,research_derived/session_specific,0.877888,1072,-33.398581,45.62,38.624206,"{""direction"": ""same"", ""entryMinute"": 930, ""exitBarMinute"": 945, ""minSignalAtr"": 0.05, ""signalEndBarMinute"": 585, ""signalStartMinute"": 570}"
australian_dollar_futures_us_first30_last30_momentum_direction_same_entryminute_930_exitba_1d14d154,6A Us First30 Last30 Momentum,australian_dollar_futures,6A,futures,us_first30_last30_momentum,research_derived/session_specific,0.900612,1027,-25.528918,45.47,29.531123,"{""direction"": ""same"", ""entryMinute"": 930, ""exitBarMinute"": 945, ""minSignalAtr"": 0.1, ""signalEndBarMinute"": 585, ""signalStartMinute"": 570}"
australian_dollar_futures_us_first30_last30_momentum_direction_same_entryminute_930_exitba_d2e708fe,6A Us First30 Last30 Momentum,australian_dollar_futures,6A,futures,us_first30_last30_momentum,research_derived/session_specific,0.890263,950,-26.387557,45.26,30.346456,"{""direction"": ""same"", ""entryMinute"": 930, ""exitBarMinute"": 945, ""minSignalAtr"": 0.2, ""signalEndBarMinute"": 585, ""signalStartMinute"": 570}"
australian_dollar_futures_us_first30_last30_momentum_direction_same_entryminute_930_exitba_3fd321d0,6A Us First30 Last30 Momentum,australian_dollar_futures,6A,futures,us_first30_last30_momentum,research_derived/session_specific,0.852289,834,-31.883441,44.0,33.89659,"{""direction"": ""same"", ""entryMinute"": 930, ""exitBarMinute"": 945, ""minSignalAtr"": 0.35, ""signalEndBarMinute"": 585, ""signalStartMinute"": 570}"
australian_dollar_futures_us_first30_last30_momentum_direction_same_entryminute_930_exitba_aba7e577,6A Us First30 Last30 Momentum,australian_dollar_futures,6A,futures,us_first30_last30_momentum,research_derived/session_specific,0.863265,723,-25.76416,44.26,26.971841,"{""direction"": ""same"", ""entryMinute"": 930, ""exitBarMinute"": 945, ""minSignalAtr"": 0.5, ""signalEndBarMinute"": 585, ""signalStartMinute"": 570}"
australian_dollar_futures_us_first30_last30_reversal_direction_opposite_entryminute_930_ex_22140c33,6A Us First30 Last30 Reversal,australian_dollar_futures,6A,futures,us_first30_last30_reversal,research_derived/session_specific,1.154364,1111,38.285401,47.34,11.533633,"{""direction"": ""opposite"", ""entryMinute"": 930, ""exitBarMinute"": 945, ""minSignalAtr"": 0.0, ""signalEndBarMinute"": 585, ""signalStartMinute"": 570}"
australian_dollar_futures_us_first30_last30_reversal_direction_opposite_entryminute_930_ex_40b90d85,6A Us First30 Last30 Reversal,australian_dollar_futures,6A,futures,us_first30_last30_reversal,research_derived/session_specific,1.139097,1072,33.398581,47.01,12.010811,"{""direction"": ""opposite"", ""entryMinute"": 930, ""exitBarMinute"": 945, ""minSignalAtr"": 0.05, ""signalEndBarMinute"": 585, ""signalStartMinute"": 570}"
australian_dollar_futures_us_first30_last30_reversal_direction_opposite_entryminute_930_ex_e20ca098,6A Us First30 Last30 Reversal,australian_dollar_futures,6A,futures,us_first30_last30_reversal,research_derived/session_specific,1.110356,1027,25.528918,46.84,11.72487,"{""direction"": ""opposite"", ""entryMinute"": 930, ""exitBarMinute"": 945, ""minSignalAtr"": 0.1, ""signalEndBarMinute"": 585, ""signalStartMinute"": 570}"
australian_dollar_futures_us_first30_last30_reversal_direction_opposite_entryminute_930_ex_28b3fb01,6A Us First30 Last30 Reversal,australian_dollar_futures,6A,futures,us_first30_last30_reversal,research_derived/session_specific,1.123263,950,26.387557,46.84,11.087175,"{""direction"": ""opposite"", ""entryMinute"": 930, ""exitBarMinute"": 945, ""minSignalAtr"": 0.2, ""signalEndBarMinute"": 585, ""signalStartMinute"": 570}"
