strategy_id,label,asset_key,symbol,market,family,provenance,profit_factor,trades,total_r,win_rate_pct,max_drawdown_r,params
crude_oil_futures_overnight_close_to_open_bias_signalmonth_entry_prior_rth_close_exit_ny_o_315d7644,CL Overnight Close To Open Bias Signalmonth,crude_oil_futures,CL,futures,overnight_close_to_open_bias_signalmonth,research_derived/session_specific/filter_scan,4.043623,80,157.014575,67.5,12.663993,"{""entry"": ""prior_rth_close"", ""exit"": ""ny_open"", ""side"": ""long"", ""signalMonth"": 1}"
micro_ether_futures_london_first30_ny_open_momentum_signalweekdayside_direction_same_entry_3104bc5c,MET London First30 Ny Open Momentum Signalweekdayside,micro_ether_futures,MET,futures,london_first30_ny_open_momentum_signalweekdayside,research_derived/session_specific/filter_scan,3.843701,52,66.41161,71.15,5.662854,"{""direction"": ""same"", ""entryMinute"": 480, ""exitBarMinute"": 570, ""minSignalAtr"": 0.5, ""signalEndBarMinute"": 195, ""signalStartMinute"": 180, ""signalWeekdaySide"": ""3_short""}"
micro_ether_futures_london_first30_ny_open_momentum_signalweekdayside_direction_same_entry_d893dd75,MET London First30 Ny Open Momentum Signalweekdayside,micro_ether_futures,MET,futures,london_first30_ny_open_momentum_signalweekdayside,research_derived/session_specific/filter_scan,3.644827,81,98.375956,71.6,5.662854,"{""direction"": ""same"", ""entryMinute"": 480, ""exitBarMinute"": 570, ""minSignalAtr"": 0.05, ""signalEndBarMinute"": 195, ""signalStartMinute"": 180, ""signalWeekdaySide"": ""3_short""}"
japanese_yen_futures_us_first30_last30_reversal_signalweekdayside_direction_opposite_entry_2b239b90,6J Us First30 Last30 Reversal Signalweekdayside,japanese_yen_futures,6J,futures,us_first30_last30_reversal_signalweekdayside,research_derived/session_specific/filter_scan,3.545045,89,22.897349,62.92,1.92748,"{""direction"": ""opposite"", ""entryMinute"": 930, ""exitBarMinute"": 945, ""minSignalAtr"": 0.2, ""signalEndBarMinute"": 585, ""signalStartMinute"": 570, ""signalWeekdaySide"": ""2_short""}"
micro_bitcoin_futures_daily_tsmom_next_overnight_signalweekdayside_direction_contrarian_en_6003fc2d,MBT Daily Tsmom Next Overnight Signalweekdayside,micro_bitcoin_futures,MBT,futures,daily_tsmom_next_overnight_signalweekdayside,research_derived/filter_scan,3.512964,104,215.625666,68.27,10.673724,"{""direction"": ""contrarian"", ""entryMinute"": 945, ""exitMinute"": 570, ""lookbackDays"": 3, ""signalWeekdaySide"": ""1_long""}"
dow_jones_futures_us_secondlast_last30_momentum_signalweekdayside_direction_same_entryminu_9045a532,YM Us Secondlast Last30 Momentum Signalweekdayside,dow_jones_futures,YM,futures,us_secondlast_last30_momentum_signalweekdayside,research_derived/session_specific/filter_scan,3.460941,47,22.962733,76.6,5.425658,"{""direction"": ""same"", ""entryMinute"": 930, ""exitBarMinute"": 945, ""minSignalAtr"": 0.5, ""signalEndBarMinute"": 915, ""signalStartMinute"": 900, ""signalWeekdaySide"": ""0_long""}"
usd_jpy_us_first30_last30_reversal_signalweekdayside_direction_opposite_entryminute_930_ex_8fc27c9b,USDJPY Us First30 Last30 Reversal Signalweekdayside,usd_jpy,USDJPY,forex,us_first30_last30_reversal_signalweekdayside,research_derived/session_specific/filter_scan,4.443099,65,17.43848,69.23,0.71227,"{""direction"": ""opposite"", ""entryMinute"": 930, ""exitBarMinute"": 945, ""minSignalAtr"": 0.5, ""signalEndBarMinute"": 585, ""signalStartMinute"": 570, ""signalWeekdaySide"": ""2_long""}"
usd_jpy_us_first30_last30_reversal_signalweekdayside_direction_opposite_entryminute_930_ex_78b28b26,USDJPY Us First30 Last30 Reversal Signalweekdayside,usd_jpy,USDJPY,forex,us_first30_last30_reversal_signalweekdayside,research_derived/session_specific/filter_scan,4.377116,87,23.911552,68.97,1.27291,"{""direction"": ""opposite"", ""entryMinute"": 930, ""exitBarMinute"": 945, ""minSignalAtr"": 0.2, ""signalEndBarMinute"": 585, ""signalStartMinute"": 570, ""signalWeekdaySide"": ""2_long""}"
usd_jpy_us_first30_last30_reversal_signalweekdayside_direction_opposite_entryminute_930_ex_40e6d9ae,USDJPY Us First30 Last30 Reversal Signalweekdayside,usd_jpy,USDJPY,forex,us_first30_last30_reversal_signalweekdayside,research_derived/session_specific/filter_scan,4.223648,74,18.823398,68.92,1.272827,"{""direction"": ""opposite"", ""entryMinute"": 930, ""exitBarMinute"": 945, ""minSignalAtr"": 0.35, ""signalEndBarMinute"": 585, ""signalStartMinute"": 570, ""signalWeekdaySide"": ""2_long""}"
eur_jpy_us_first30_last30_momentum_signalweekdayside_direction_same_entryminute_930_exitba_72f9217f,EURJPY Us First30 Last30 Momentum Signalweekdayside,eur_jpy,EURJPY,forex,us_first30_last30_momentum_signalweekdayside,research_derived/session_specific/filter_scan,4.077115,76,20.657575,68.42,1.330518,"{""direction"": ""same"", ""entryMinute"": 930, ""exitBarMinute"": 945, ""minSignalAtr"": 0.35, ""signalEndBarMinute"": 585, ""signalStartMinute"": 570, ""signalWeekdaySide"": ""2_long""}"
