strategy_id,asset_key,market,train_pf,train_trades,forward_pf,forward_trades,forward_total_r,forward_min_split_pf,forward_min_split_trades,score,variant_id
competition_british_pound_futures_london_first30_last30_reversal_month_1_c3526d80,british_pound_futures,futures,1.429253,158,2.388944,78,18.059642,1.293733,19,18.589283,competition_session_edge|family=london_first30_last30_reversal_month_1|direction=opposite|entry=930|exit=945|min_signal_atr=0.5|signal_end=195|signal_start=180|signal_month=1
competition_british_pound_futures_us_first30_last30_reversal_month_10_57755118,british_pound_futures,futures,0.997264,151,2.626916,57,11.611687,1.752922,14,19.403814,competition_session_edge|family=us_first30_last30_reversal_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_month=10
competition_british_pound_futures_daily_tsmom_next_overnight_month_7_da1c691c,british_pound_futures,futures,1.160722,254,2.394517,87,186.691729,1.856988,21,21.114200,competition_session_edge|family=daily_tsmom_next_overnight_month_7|direction=momentum|entry=945|exit=945|lookback=3|signal_month=7
competition_japanese_yen_futures_overnight_close_to_open_bias_short_month_10_6bc43a25,japanese_yen_futures,futures,1.139627,265,2.869072,89,196.497591,2.059050,22,24.226853,competition_session_edge|family=overnight_close_to_open_bias_short_month_10|side=short|signal_month=10
competition_japanese_yen_futures_london_first30_ny_open_reversal_month_9_6d9e482f,japanese_yen_futures,futures,1.068952,189,2.116793,69,48.513031,1.152270,17,15.705174,competition_session_edge|family=london_first30_ny_open_reversal_month_9|direction=opposite|entry=480|exit=570|min_signal_atr=0.35|signal_end=195|signal_start=180|signal_month=9
competition_crude_oil_futures_us_first30_midday_momentum_month_4_32a2fef5,crude_oil_futures,futures,0.978898,222,2.538398,102,50.538639,1.514534,25,20.599015,competition_session_edge|family=us_first30_midday_momentum_month_4|direction=same|entry=720|exit=780|min_signal_atr=0|signal_end=585|signal_start=570|signal_month=4
competition_natural_gas_futures_us_first30_last30_momentum_month_9_c678e3c1,natural_gas_futures,futures,0.873608,161,3.104639,56,8.614456,1.955240,14,21.870168,competition_session_edge|family=us_first30_last30_momentum_month_9|direction=same|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_month=9
competition_russell_2000_futures_daily_tsmom_next_overnight_month_7_d15e8a17,russell_2000_futures,futures,1.015616,90,2.555337,81,85.318968,1.543350,20,19.851979,competition_session_edge|family=daily_tsmom_next_overnight_month_7|direction=momentum|entry=945|exit=570|lookback=10|signal_month=7
competition_corn_futures_us_first30_midday_momentum_weekday_side_3_long_cbe1149a,corn_futures,futures,0.804130,41,3.220191,81,62.721072,2.127655,20,24.983883,competition_session_edge|family=us_first30_midday_momentum_weekday_side_3_long|direction=same|entry=720|exit=780|min_signal_atr=0.35|signal_end=585|signal_start=570|signal_weekday_side=3_long
competition_swiss_franc_futures_us_first30_midday_momentum_month_5_a2abc7dd,swiss_franc_futures,futures,3.038263,38,2.339639,91,31.514576,1.576022,22,23.131937,competition_session_edge|family=us_first30_midday_momentum_month_5|direction=same|entry=720|exit=780|min_signal_atr=0|signal_end=585|signal_start=570|signal_month=5
competition_swiss_franc_futures_overnight_close_to_open_bias_short_month_10_17716ea5,swiss_franc_futures,futures,0.606716,43,2.421766,89,135.025424,1.423530,22,18.395140,competition_session_edge|family=overnight_close_to_open_bias_short_month_10|side=short|signal_month=10
