status,strategy_id,asset_key,forward_pf,forward_trades,avg_rr,min_rr,train_pf,train_trades,bootstrap_p05,block_bootstrap_p05,annual_pass_rate,variant_id
applied,competition_usd_jpy_us_first30_last30_reversal_weekday_side_2_long_xasset_rr_4_35df306a,usd_jpy,3.610565,101,3.999771,3.806177,0.674998,56,2.338931,2.358611,1.000000,competition_session_edge|family=us_first30_last30_reversal_weekday_side_2_long|direction=opposite|entry=930|exit=945|min_signal_atr=0|signal_end=585|signal_start=570|signal_weekday_side=2_long|risk_reward=4|managed_exit=bracket
applied,competition_eur_jpy_us_first30_last30_momentum_weekday_side_2_long_xasset_rr_5_adaebd2b,eur_jpy,3.651167,64,5.015771,4.797846,0.896878,23,2.042663,2.296450,1.000000,competition_session_edge|family=us_first30_last30_momentum_weekday_side_2_long|direction=same|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_weekday_side=2_long|risk_reward=5|managed_exit=bracket
applied,competition_usd_jpy_daily_tsmom_next_overnight_weekday_side_2_short_xasset_rr_4_5981840f,usd_jpy,2.963973,88,3.976834,3.631242,0.667842,41,2.156589,2.159566,0.800000,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_2_short|direction=momentum|entry=945|exit=945|lookback=5|signal_weekday_side=2_short|risk_reward=4|managed_exit=bracket
applied,competition_eur_jpy_us_first30_last30_momentum_weekday_side_2_long_xasset_rr_5_3c88e298,eur_jpy,2.605983,118,5.011069,4.797846,0.649364,42,1.810250,1.826224,1.000000,competition_session_edge|family=us_first30_last30_momentum_weekday_side_2_long|direction=same|entry=930|exit=945|min_signal_atr=0|signal_end=585|signal_start=570|signal_weekday_side=2_long|risk_reward=5|managed_exit=bracket
applied,competition_gbp_usd_us_first30_last30_reversal_signalmonth_month_10_xasset_rr_5_f45ed345,gbp_usd,2.980146,43,4.986400,4.739264,1.786634,22,1.261391,1.127049,1.000000,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|risk_reward=5|managed_exit=bracket
applied,competition_gbp_jpy_us_first30_last30_reversal_signalweekdayside_xasset_rr_5_e67def76,gbp_jpy,2.695579,84,5.009624,4.793566,0.446767,37,1.635272,1.401160,1.000000,competition_session_edge|family=us_first30_last30_reversal_signalweekdayside|direction=opposite|entry=930|exit=945|min_signal_atr=0.35|signal_end=585|signal_start=570|signal_weekday_side=2_long|risk_reward=5|managed_exit=bracket
applied,competition_usd_jpy_daily_tsmom_next_overnight_weekday_side_2_short_xasset_rr_5_359a639b,usd_jpy,2.224065,130,4.996475,4.463119,0.676448,59,1.516995,1.631835,1.000000,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_2_short|direction=contrarian|entry=945|exit=570|lookback=3|signal_weekday_side=2_short|risk_reward=5|managed_exit=bracket
applied,competition_gbp_usd_us_first30_last30_reversal_month_10_xasset_rr_5_aaed2f73,gbp_usd,2.445123,57,4.989494,4.739264,1.156436,27,1.253777,1.297050,1.000000,competition_session_edge|family=us_first30_last30_reversal_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_month=10|risk_reward=5|managed_exit=bracket
applied,competition_gbp_jpy_daily_tsmom_next_overnight_weekday_side_2_short_xasset_rr_5_7404d31a,gbp_jpy,2.205858,91,5.012984,4.768485,1.288373,44,1.427955,1.185705,0.800000,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_2_short|direction=momentum|entry=945|exit=945|lookback=5|signal_weekday_side=2_short|risk_reward=5|managed_exit=bracket
applied,competition_aud_usd_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_3aca24b7,aud_usd,2.201509,95,4.989970,4.292601,0.570041,49,1.480377,1.391187,0.800000,competition_session_edge|family=london_first30_ny_open_momentum_weekday_side_0_short|direction=same|entry=480|exit=570|min_signal_atr=0|signal_end=195|signal_start=180|signal_weekday_side=0_short|risk_reward=5|managed_exit=bracket
