status,strategy_id,asset_key,forward_pf,forward_trades,avg_rr,min_rr,train_pf,train_trades,bootstrap_p05,block_bootstrap_p05,annual_pass_rate,variant_id
applied,competition_japanese_yen_futures_london_first30_last30_reversal_month_12_xasset_rr_5_2c93eb53,japanese_yen_futures,3.864724,30,5.013512,4.680615,0.416097,75,1.651751,1.667447,1.000000,competition_session_edge|family=london_first30_last30_reversal_month_12|direction=opposite|entry=930|exit=945|min_signal_atr=1|signal_end=195|signal_start=180|signal_month=12|risk_reward=5|managed_exit=bracket
applied,competition_dow_jones_futures_us_first30_last30_momentum_signalmonth_month_3_xasset_rr_5_3d9679eb,dow_jones_futures,3.147149,61,5.001324,4.934056,0.879469,149,1.876166,1.563874,1.000000,competition_session_edge|family=us_first30_last30_momentum_signalmonth_month_3|direction=same|entry=930|exit=945|min_signal_atr=1|signal_end=585|signal_start=570|signal_month=3|risk_reward=5|managed_exit=bracket
applied,competition_copper_futures_london_first30_last30_reversal_month_1_xasset_rr_5_d91f5efb,copper_futures,2.880637,77,4.997858,4.773583,0.886788,152,1.601176,1.839897,1.000000,competition_session_edge|family=london_first30_last30_reversal_month_1|direction=opposite|entry=930|exit=945|min_signal_atr=0.5|signal_end=195|signal_start=180|signal_month=1|risk_reward=5|managed_exit=bracket
applied,competition_australian_dollar_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_e3201596,australian_dollar_futures,2.642506,112,5.015796,4.659127,0.772165,280,1.589034,1.687633,0.800000,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_short|direction=contrarian|entry=945|exit=570|lookback=20|signal_weekday_side=4_short|risk_reward=5|managed_exit=bracket
applied,competition_australian_dollar_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_961d7efd,australian_dollar_futures,2.642506,112,5.015796,4.659127,0.772165,280,1.581878,1.622118,0.800000,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_short|direction=contrarian|entry=945|exit=945|lookback=20|signal_weekday_side=4_short|risk_reward=5|managed_exit=bracket
applied,competition_gold_futures_us_first30_last30_reversal_signalmonth_month_10_xasset_rr_5_5519d329,gold_futures,2.923868,50,4.994634,4.913596,0.979084,131,1.636619,1.741303,1.000000,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|risk_reward=5|managed_exit=bracket
applied,competition_us_treasury_2y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_027092c6,us_treasury_2y_note_futures,2.727097,90,4.968786,4.011034,0.402112,45,1.611446,1.559802,1.000000,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_short|direction=contrarian|entry=945|exit=570|lookback=5|signal_weekday_side=4_short|risk_reward=5|managed_exit=bracket
applied,competition_silver_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_6a54acc6,silver_futures,2.833107,58,4.984783,4.831919,1.031815,164,1.572114,1.655102,1.000000,competition_session_edge|family=us_first30_last30_reversal_signalmonth|direction=opposite|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_month=12|signal_start=570|risk_reward=5|managed_exit=bracket
applied,competition_sp_500_futures_daily_tsmom_next_overnight_signalweekdayside_xasset_rr_5_4a15c5b1,sp_500_futures,2.420733,134,5.002836,4.884098,0.819992,365,1.671063,1.706824,0.800000,competition_session_edge|family=daily_tsmom_next_overnight_signalweekdayside|direction=momentum|entry=945|exit=570|lookback=3|signal_weekday_side=1_long|risk_reward=5|managed_exit=bracket
applied,competition_silver_futures_daily_tsmom_next_overnight_weekday_side_4_long_xasset_rr_5_e11e58c1,silver_futures,2.288489,131,5.010080,4.793037,2.353090,277,1.466667,1.579576,1.000000,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_long|direction=momentum|entry=945|exit=945|lookback=20|signal_weekday_side=4_long|risk_reward=5|managed_exit=bracket
applied,competition_euro_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_bb944c86,euro_futures,2.388781,111,4.979506,4.629670,0.796678,274,1.577850,1.403806,0.800000,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_short|direction=contrarian|entry=945|exit=570|lookback=20|signal_weekday_side=4_short|risk_reward=5|managed_exit=bracket
