status,failed_checks,base_strategy_id,base_asset_key,target_asset_key,target_symbol,phase,direction,invert_signal,rr,execution_timeframe,one_minute_refined_trades,source_best_pf,source_best_trades,source_best_total_r,pf,trades,win_rate_pct,total_r,avg_r,max_drawdown_r,min_half_pf,min_quarter_pf,rolling20_pf_p25,bootstrap_pf_p05,block_bootstrap_pf_p05,annual_windows,annual_pass_rate,worst_annual_pf,min_planned_rr,exit_reasons,variant_id
robust,,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,gold_futures,GC,competition_session_edge,best,False,3,1m,50,2.923868,50,9.440500,2.923868,50,62.000000,9.440500,0.188810,1.190585,2.764355,2.022847,2.543047,1.610545,1.795441,4,1.000000,2.022847,2.948158,sl:1;time_exit:49,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=3|risk_reward=3
robust,,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,gold_futures,GC,competition_session_edge,best,False,4,1m,50,2.923868,50,9.440500,2.923868,50,62.000000,9.440500,0.188810,1.190585,2.764355,2.022847,2.543047,1.622546,1.812594,4,1.000000,2.022847,3.930877,sl:1;time_exit:49,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=4|risk_reward=4
robust,,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,gold_futures,GC,competition_session_edge,best,False,5,1m,50,2.923868,50,9.440500,2.923868,50,62.000000,9.440500,0.188810,1.190585,2.764355,2.022847,2.543047,1.679120,1.882759,4,1.000000,2.022847,4.913596,sl:1;time_exit:49,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
robust,,competition_aud_usd_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_3aca24b7,aud_usd,canadian_dollar_futures,6C,competition_session_edge,best,False,3,1m,98,2.332327,98,72.220340,2.508625,98,47.959184,75.813067,0.773603,5.247449,2.427378,1.407716,1.711798,1.754357,1.846593,5,0.800000,0.618103,2.582955,sl:44;sl_gap:6;time_exit:9;tp:36;tp_gap:3,competition_session_edge|family=london_first30_ny_open_momentum_weekday_side_0_short|direction=same|entry=480|exit=570|min_signal_atr=0|signal_end=195|signal_start=180|signal_weekday_side=0_short|exec_tf=1m|managed_exit=bracket|rr=3|risk_reward=3
robust,,competition_aud_usd_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_3aca24b7,aud_usd,australian_dollar_futures,6A,competition_session_edge,best,False,5,1m,95,2.371486,95,58.822147,2.371486,95,50.526316,58.822147,0.619180,5.099443,2.133784,1.640349,2.293310,1.607742,1.628346,5,0.800000,0.650464,4.401573,sl:38;sl_gap:3;time_exit:48;tp:6,competition_session_edge|family=london_first30_ny_open_momentum_weekday_side_0_short|direction=same|entry=480|exit=570|min_signal_atr=0|signal_end=195|signal_start=180|signal_weekday_side=0_short|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
robust,,competition_aud_usd_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_3aca24b7,aud_usd,australian_dollar_futures,6A,competition_session_edge,best,False,3,1m,95,2.371486,95,58.822147,2.346592,95,53.684211,55.347314,0.582603,5.099443,2.148788,1.740233,2.193432,1.572155,1.702072,5,0.800000,0.650464,2.640944,sl:37;sl_gap:3;time_exit:36;tp:19,competition_session_edge|family=london_first30_ny_open_momentum_weekday_side_0_short|direction=same|entry=480|exit=570|min_signal_atr=0|signal_end=195|signal_start=180|signal_weekday_side=0_short|exec_tf=1m|managed_exit=bracket|rr=3|risk_reward=3
robust,,competition_aud_usd_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_3aca24b7,aud_usd,canadian_dollar_futures,6C,competition_session_edge,best,False,5,1m,98,2.332327,98,72.220340,2.332327,98,43.877551,72.220340,0.736942,5.247449,2.273522,1.360159,1.900325,1.609057,1.810557,5,0.800000,0.077263,4.304925,sl:48;sl_gap:6;time_exit:33;tp:11,competition_session_edge|family=london_first30_ny_open_momentum_weekday_side_0_short|direction=same|entry=480|exit=570|min_signal_atr=0|signal_end=195|signal_start=180|signal_weekday_side=0_short|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
robust,,competition_aud_usd_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_3aca24b7,aud_usd,australian_dollar_futures,6A,competition_session_edge,best,False,4,1m,95,2.371486,95,58.822147,2.282528,95,50.526316,55.006809,0.579019,5.099443,2.062201,1.553102,2.236041,1.495810,1.597139,5,0.800000,0.650464,3.521259,sl:38;sl_gap:3;time_exit:43;tp:11,competition_session_edge|family=london_first30_ny_open_momentum_weekday_side_0_short|direction=same|entry=480|exit=570|min_signal_atr=0|signal_end=195|signal_start=180|signal_weekday_side=0_short|exec_tf=1m|managed_exit=bracket|rr=4|risk_reward=4
robust,,competition_aud_usd_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_3aca24b7,aud_usd,canadian_dollar_futures,6C,competition_session_edge,best,False,4,1m,98,2.332327,98,72.220340,2.274709,98,43.877551,69.097045,0.705072,5.247449,2.131333,1.166523,1.700472,1.533466,1.743102,5,0.800000,0.077263,3.443940,sl:48;sl_gap:6;time_exit:23;tp:20;tp_gap:1,competition_session_edge|family=london_first30_ny_open_momentum_weekday_side_0_short|direction=same|entry=480|exit=570|min_signal_atr=0|signal_end=195|signal_start=180|signal_weekday_side=0_short|exec_tf=1m|managed_exit=bracket|rr=4|risk_reward=4
robust,,competition_aud_nzd_daily_tsmom_next_overnight_weekday_side_4_long_0aa8225f,aud_nzd,gold_futures,GC,competition_session_edge,best,False,5,1m,90,2.096973,90,21.519755,2.203984,90,53.333333,41.632252,0.462581,6.039543,2.023792,1.779918,1.844062,1.417398,1.385645,5,1.000000,1.117135,4.876358,sl:25;sl_gap:7;time_exit:53;tp:2;tp_gap:3,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_long|direction=contrarian|entry=945|exit=945|lookback=5|signal_weekday_side=4_long|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
