status,failed_checks,base_strategy_id,base_asset_key,target_asset_key,target_symbol,phase,direction,invert_signal,rr,execution_timeframe,one_minute_refined_trades,source_best_pf,source_best_trades,source_best_total_r,pf,trades,win_rate_pct,total_r,avg_r,max_drawdown_r,min_half_pf,min_quarter_pf,rolling20_pf_p25,bootstrap_pf_p05,block_bootstrap_pf_p05,annual_windows,annual_pass_rate,worst_annual_pf,min_planned_rr,exit_reasons,variant_id
robust,,competition_aud_usd_us_first30_last30_momentum_month_9_xasset_rr_5_629d8cc5,aud_usd,natural_gas_futures,NG,competition_session_edge,direct,False,4,1m,54,3.048176,56,8.538637,3.833804,54,62.962963,11.153752,0.206551,1.169195,2.805616,1.834484,2.355558,1.864737,2.622330,4,1.000000,1.834484,3.874977,sl:1;time_exit:52;tp:1,competition_session_edge|family=us_first30_last30_momentum_month_9|direction=same|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_month=9|exec_tf=1m|managed_exit=bracket|rr=4|risk_reward=4
robust,,competition_aud_usd_us_first30_last30_momentum_month_9_xasset_rr_5_629d8cc5,aud_usd,natural_gas_futures,NG,competition_session_edge,direct,False,3,1m,54,3.048176,56,8.538637,3.581623,54,62.962963,10.161176,0.188170,1.169195,2.805616,1.834484,2.355558,1.880105,2.652609,4,1.000000,1.834484,2.906232,sl:1;time_exit:52;tp:1,competition_session_edge|family=us_first30_last30_momentum_month_9|direction=same|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_month=9|exec_tf=1m|managed_exit=bracket|rr=3|risk_reward=3
robust,,competition_aud_usd_us_first30_last30_momentum_month_9_xasset_rr_5_629d8cc5,aud_usd,natural_gas_futures,NG,competition_session_edge,direct,False,2.5,1m,54,3.048176,56,8.538637,3.463938,54,62.962963,9.697974,0.179592,1.169195,2.805616,1.834484,2.355558,1.782111,2.586999,4,1.000000,1.834484,2.393758,sl:1;time_exit:52;tp:1,competition_session_edge|family=us_first30_last30_momentum_month_9|direction=same|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_month=9|exec_tf=1m|managed_exit=bracket|rr=2.5|risk_reward=2.5
robust,,competition_aud_usd_us_first30_last30_momentum_month_9_xasset_rr_5_629d8cc5,aud_usd,natural_gas_futures,NG,competition_session_edge,direct,False,5,1m,54,3.048176,56,8.538637,3.228569,54,62.962963,8.771571,0.162436,1.169195,2.805616,1.834484,2.355558,1.757597,2.424258,4,1.000000,1.834484,4.843721,sl:1;time_exit:53,competition_session_edge|family=us_first30_last30_momentum_month_9|direction=same|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_month=9|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
robust,,competition_eur_cad_london_first30_last30_momentum_month_8_c5f12647,eur_cad,micro_bitcoin_futures,MBT,competition_session_edge,direct,False,5,1m,34,2.032219,58,18.906985,3.039940,34,47.058824,16.553965,0.486881,2.253348,2.072773,1.902604,2.072143,1.360145,1.528403,2,1.000000,2.067556,4.897076,sl:13;sl_gap:2;time_exit:18;tp:1,competition_session_edge|family=london_first30_last30_momentum_month_8|direction=same|entry=930|exit=945|min_signal_atr=0|signal_end=195|signal_start=180|signal_month=8|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
robust,,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,gold_futures,GC,competition_session_edge,direct,False,3,1m,50,2.923868,50,9.440500,2.923868,50,62.000000,9.440500,0.188810,1.190585,2.764355,2.022847,2.543047,1.610545,1.795441,4,1.000000,2.022847,2.948158,sl:1;time_exit:49,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=3|risk_reward=3
robust,,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,gold_futures,GC,competition_session_edge,direct,False,4,1m,50,2.923868,50,9.440500,2.923868,50,62.000000,9.440500,0.188810,1.190585,2.764355,2.022847,2.543047,1.622546,1.812594,4,1.000000,2.022847,3.930877,sl:1;time_exit:49,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=4|risk_reward=4
robust,,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,gold_futures,GC,competition_session_edge,direct,False,5,1m,50,2.923868,50,9.440500,2.923868,50,62.000000,9.440500,0.188810,1.190585,2.764355,2.022847,2.543047,1.679120,1.882759,4,1.000000,2.022847,4.913596,sl:1;time_exit:49,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=5|risk_reward=5
robust,,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,aud_usd,gold_futures,GC,competition_session_edge,direct,False,2.5,1m,50,2.923868,50,9.440500,2.923868,50,62.000000,9.440500,0.188810,1.190585,2.764355,2.022847,2.543047,1.617159,1.839193,4,1.000000,2.022847,2.456798,sl:1;time_exit:49,competition_session_edge|family=us_first30_last30_reversal_signalmonth_month_10|direction=opposite|entry=930|exit=945|min_signal_atr=0.75|signal_end=585|signal_start=570|signal_month=10|exec_tf=1m|managed_exit=bracket|rr=2.5|risk_reward=2.5
robust,,competition_eur_cad_london_first30_last30_momentum_month_8_c5f12647,eur_cad,micro_bitcoin_futures,MBT,competition_session_edge,direct,False,4,1m,34,2.032219,58,18.906985,2.904344,34,47.058824,15.453611,0.454518,2.253348,2.008893,1.820397,1.882731,1.296558,1.460004,2,1.000000,1.999419,3.917661,sl:13;sl_gap:2;time_exit:16;tp:3,competition_session_edge|family=london_first30_last30_momentum_month_8|direction=same|entry=930|exit=945|min_signal_atr=0|signal_end=195|signal_start=180|signal_month=8|exec_tf=1m|managed_exit=bracket|rr=4|risk_reward=4
