status,strategy_id,asset_key,spec,baseline_pf,forward_pf,pf_gain,forward_trades,train_pf,train_trades,bootstrap_p05,block_bootstrap_p05,odd_even_min_pf,annual_pass_rate
applied,competition_gold_futures_daily_tsmom_next_overnight_weekday_side_3_long_648d544b,gold_futures,be_trail_hourly_pivot_b0,2.196660,3.880018,1.683358,80,1.600375,281,2.371216,2.132067,3.211526,1.000000
applied,competition_dow_jones_futures_daily_tsmom_next_overnight_weekday_side_1_long_xasset_rr_4_373963bd,dow_jones_futures,be_trail_hourly_pivot_b0,2.355606,3.261122,0.905516,90,0.983850,193,1.935844,2.151039,2.759234,1.000000
applied,competition_dow_jones_futures_daily_tsmom_next_overnight_signalweekdayside_direction_momentum_entrymin_c2a8817b,dow_jones_futures,be_trail_hourly_pivot_b0,2.355606,3.261122,0.905516,90,0.983850,193,1.944500,1.903557,2.759234,1.000000
applied,competition_micro_bitcoin_futures_daily_tsmom_next_rth_weekday_side_2_short_4be5774f,micro_bitcoin_futures,be_trail_prior_bar_b4,2.355672,3.071177,0.715506,101,1.578105,19,2.003319,2.012131,2.396059,1.000000
applied,competition_silver_futures_daily_tsmom_next_overnight_weekday_side_4_long_xasset_rr_5_e11e58c1,silver_futures,be_trail_prior_bar_b2,2.271151,2.946939,0.675787,129,1.632796,276,2.014984,1.993572,2.363574,1.000000
applied,competition_micro_bitcoin_futures_daily_tsmom_next_overnight_signalweekdayside_direction_contrarian_en_6003fc2d,micro_bitcoin_futures,be_trail_hourly_pivot_b0,3.553443,3.718575,0.165132,104,1.017511,20,2.426511,2.554918,3.102975,1.000000
applied,competition_copper_futures_london_first30_last30_reversal_month_1_xasset_rr_5_d91f5efb,copper_futures,be_trail_hourly_pivot_b4,2.880637,3.201458,0.320822,77,0.886788,152,1.986527,1.934514,2.439097,1.000000
applied,gold_futures_tori_trades_trendline_break_retest,gold_futures,be_trail_hourly_pivot_b0,2.134401,2.498995,0.364594,63,1.594935,116,1.466039,1.477279,2.154657,0.800000
applied,competition_us_treasury_5y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_2d6cdfee,us_treasury_5y_note_futures,be_trail_prior_bar_b4,2.405038,2.673790,0.268752,91,1.231170,47,1.678380,1.796932,1.917303,1.000000
applied,competition_us_treasury_2y_note_futures_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_ex_d2289e05,us_treasury_2y_note_futures,be_trail_prior_bar_b2,2.215788,2.553656,0.337868,62,0.825240,35,1.504789,1.617601,1.533757,1.000000
applied,competition_british_pound_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_5f0cb0e3,british_pound_futures,be_trail_prior_bar_b1,2.451348,2.753302,0.301954,57,1.051726,151,1.546569,1.594643,1.280516,1.000000
applied,competition_natural_gas_futures_us_first30_last30_momentum_month_9_c678e3c1,natural_gas_futures,be_trail_hourly_pivot_b0,3.143412,3.275728,0.132316,56,0.946458,161,1.786903,1.806931,2.047146,1.000000
applied,competition_silver_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_6a54acc6,silver_futures,be_trail_prior_bar_b4,2.833107,2.989477,0.156370,58,1.026040,164,1.760958,1.777876,2.363497,0.750000
applied,competition_nasdaq_100_futures_daily_tsmom_next_overnight_weekday_side_1_long_8e593f24,nasdaq_100_futures,be_trail_hourly_pivot_b0,2.519324,2.689685,0.170360,83,1.014873,185,1.594204,1.731701,1.636153,1.000000
applied,competition_british_pound_futures_us_first30_last30_reversal_month_10_57755118,british_pound_futures,be_trail_prior_bar_b1,2.626916,2.753302,0.126386,57,0.854078,151,1.385564,1.809067,1.280516,1.000000
applied,competition_us_treasury_30y_bond_futures_daily_tsmom_next_overnight_weekday_side_4_short_72a8080e,us_treasury_30y_bond_futures,be_trail_hourly_pivot_b2,2.244692,2.344741,0.100049,90,1.187389,304,1.517112,1.658042,2.149028,1.000000
applied,competition_us_treasury_10y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_105476cf,us_treasury_10y_note_futures,be_trail_prior_bar_b4,2.161728,2.269707,0.107980,90,1.169086,310,1.504896,1.420987,2.269582,1.000000
applied,competition_silver_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_a9d7edf6,silver_futures,be_trail_prior_bar_b4,2.409941,2.515489,0.105548,63,1.000448,186,1.504631,1.310356,1.063104,1.000000
applied,competition_euro_futures_daily_tsmom_next_rth_signalmonth_direction_contrarian_entryminute_570_exitmin_0b54da46,euro_futures,be_trail_hourly_pivot_b0,2.398338,2.425272,0.026934,62,1.410319,191,1.337467,1.370784,2.223581,1.000000
