status,strategy_id,asset_key,spec,baseline_validation_pf,validation_pf,validation_trades,baseline_holdout_pf,holdout_pf,holdout_trades,holdout_p_value,holdout_q_value,overall_pf,overall_trades,bootstrap_p05,block_bootstrap_p05,annual_pass_rate
eligible,competition_gbp_jpy_us_first30_last30_reversal_signalweekdayside_xasset_rr_5_e67def76,gbp_jpy,lock_0_25r_at_1r,1.644475,1.680357,18,10.736961,10.736961,31,0.001427,0.007989,2.905516,90,5.562540,4.726765,1.000000
eligible,competition_gbp_jpy_us_first30_last30_reversal_weekday_side_2_long_bfe5c772,gbp_jpy,lock_0_25r_at_1r,1.578699,1.602183,24,8.419996,8.419996,41,0.001427,0.007989,2.325884,125,4.223392,4.538591,1.000000
eligible,competition_usd_jpy_daily_tsmom_next_overnight_weekday_side_2_short_true_rr_3_40484fa0,usd_jpy,be_0_5r,1.824551,4.587357,16,3.798777,9.558276,32,0.001427,0.007989,7.049630,82,4.402830,5.784908,1.000000
eligible,competition_usd_jpy_us_first30_last30_reversal_signalweekdayside_direction_opposite_entryminute_930_ex_40e6d9ae,usd_jpy,lock_0_25r_at_1r,1.176986,2.299296,17,8.352873,8.352873,31,0.001427,0.007989,3.993358,79,3.815922,3.858652,1.000000
rejected,competition_usd_jpy_us_first30_last30_reversal_weekday_side_2_long_xasset_rr_4_35df306a,usd_jpy,trail_prior_b2,2.574865,4.399955,24,5.185950,3.685246,42,0.001427,0.007989,3.006524,110,1.846916,1.874179,1.000000
eligible,competition_eur_cad_london_first30_last30_momentum_month_8_c5f12647,eur_cad,trail_prior_b0,2.376213,3.364924,21,2.445030,3.282173,21,0.014265,0.066572,1.838360,87,1.463872,1.601691,1.000000
eligible,competition_usd_jpy_asia_range_london_breakout_signalweekdayside_breakendminute_360_breakstartminute_1_83470b07,usd_jpy,static_target_4r,2.342580,2.617939,26,3.159904,3.159904,28,0.032810,0.131241,2.123121,89,1.348007,1.210677,1.000000
rejected,competition_eur_jpy_us_first30_last30_momentum_signalweekdayside_direction_same_entryminute_930_exitba_0a4a3f58,eur_jpy,static_target_4r,7.572764,8.172035,15,3.135728,3.135728,23,0.048502,0.169757,3.787834,66,1.348073,1.486756,1.000000
rejected,competition_aud_usd_london_first30_ny_open_momentum_signalweekdayside_xasset_rr_4_0208edb7,aud_usd,trail_prior_b0,1.738582,4.804201,15,3.044205,2.485124,32,0.055635,0.173086,2.918244,85,1.017185,1.066527,1.000000
rejected,competition_eur_jpy_daily_tsmom_next_overnight_weekday_side_2_short_true_rr_5_cae527f4,eur_jpy,trail_hourly_b0,4.097171,4.377168,23,1.988301,2.883036,28,0.085592,0.227367,2.752433,101,0.728632,0.528959,0.800000
rejected,competition_aud_usd_london_first30_ny_open_momentum_month_4_6674a830,aud_usd,trail_prior_b2,1.299013,1.381995,21,1.456139,1.499478,42,0.098431,0.227367,1.460971,103,0.899310,0.933061,0.800000
rejected,competition_usd_jpy_daily_tsmom_next_overnight_weekday_side_2_short_xasset_rr_4_5981840f,usd_jpy,be_0_75r,4.550404,6.514192,19,1.511098,2.818139,31,0.104137,0.227367,4.197602,88,0.901521,1.505395,0.800000
rejected,competition_eur_jpy_daily_tsmom_next_rth_signalmonth_direction_momentum_entryminute_570_exitminute_945_563aa3f1,eur_jpy,trail_prior_b2,2.225768,2.533298,16,1.735375,1.671108,22,0.105563,0.227367,1.908804,73,0.821163,0.788590,1.000000
rejected,competition_usd_cad_us_first30_last30_momentum_signalmonth_month_3_true_rr_5_08845764,usd_cad,trail_prior_b0,1.664974,6.163792,10,2.358167,2.207093,17,0.125535,0.251070,2.816819,47,0.789298,0.739374,1.000000
rejected,competition_usd_jpy_london_first30_last30_momentum_weekday_side_4_long_xasset_rr_5_1d1c682f,usd_jpy,trail_prior_b0,1.777814,2.278021,20,1.609670,1.708947,23,0.165478,0.308892,1.889359,77,0.610025,0.617535,0.800000
rejected,competition_eur_gbp_london_first30_ny_open_reversal_weekday_side_4_long_97b8e7c1,eur_gbp,trail_prior_b2,1.794294,2.707182,14,1.610081,1.498900,25,0.196862,0.315105,2.188168,71,0.755944,0.804042,1.000000
