status,strategy_id,asset_key,market,forward_pf,forward_trades,min_rr,bootstrap_p05,block_bootstrap_p05,odd_even_min_pf,annual_pass_rate,reason
skipped,competition_usd_jpy_us_first30_last30_reversal_weekday_side_2_long_xasset_rr_4_35df306a,usd_jpy,forex,3.610565,101,3.806177,2.338931,2.358611,,1.000000,already_exists
skipped,competition_dow_jones_futures_us_first30_last30_momentum_signalmonth_month_3_xasset_rr_5_3d9679eb,dow_jones_futures,futures,3.147149,61,4.934056,1.876166,1.563874,,1.000000,already_exists
skipped,competition_usd_jpy_daily_tsmom_next_overnight_weekday_side_2_short_xasset_rr_4_5981840f,usd_jpy,forex,2.963973,88,3.631242,2.156589,2.159566,,0.800000,already_exists
skipped,competition_gold_futures_us_first30_last30_reversal_signalmonth_month_10_xasset_rr_5_5519d329,gold_futures,futures,2.923868,50,4.913596,1.636619,1.741303,,1.000000,already_exists
skipped,competition_copper_futures_london_first30_last30_reversal_month_1_xasset_rr_5_d91f5efb,copper_futures,futures,2.880637,77,4.773583,1.601176,1.839897,,1.000000,already_exists
skipped,competition_silver_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_6a54acc6,silver_futures,futures,2.833107,58,4.831919,1.572114,1.655102,,1.000000,already_exists
skipped,competition_australian_dollar_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_e3201596,australian_dollar_futures,futures,2.642506,112,4.659127,1.589034,1.687633,,0.800000,failed_current_strict_rerun
skipped,competition_australian_dollar_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_961d7efd,australian_dollar_futures,futures,2.642506,112,4.659127,1.581878,1.622118,,0.800000,failed_current_strict_rerun
skipped,competition_eur_jpy_us_first30_last30_momentum_weekday_side_2_long_xasset_rr_5_3c88e298,eur_jpy,forex,2.605983,118,4.797846,1.810250,1.826224,,1.000000,already_exists
skipped,competition_copper_futures_us_first30_last30_reversal_weekday_side_0_long_xasset_rr_5_412871d7,copper_futures,futures,2.563517,65,4.839621,1.499294,1.287586,,0.750000,already_exists
skipped,competition_british_pound_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_5f0cb0e3,british_pound_futures,futures,2.451348,57,4.618299,1.262121,1.540365,,1.000000,already_exists
skipped,competition_sp_500_futures_daily_tsmom_next_overnight_signalweekdayside_xasset_rr_5_4a15c5b1,sp_500_futures,futures,2.420733,134,4.884098,1.671063,1.706824,,0.800000,failed_current_strict_rerun
skipped,competition_silver_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_a9d7edf6,silver_futures,futures,2.409941,63,4.831919,1.191103,1.452586,,1.000000,already_exists
skipped,competition_us_treasury_5y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_2d6cdfee,us_treasury_5y_note_futures,futures,2.405038,91,4.336455,1.528014,1.665842,,1.000000,already_exists
skipped,competition_euro_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_bb944c86,euro_futures,futures,2.388781,111,4.629670,1.577850,1.403806,,0.800000,failed_current_strict_rerun
skipped,competition_euro_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_b0849e8d,euro_futures,futures,2.388781,111,4.629670,1.553255,1.459835,,0.800000,failed_current_strict_rerun
skipped,competition_canadian_dollar_futures_us_first30_last30_momentum_signalmonth_month_3_xasset_rr_5_384613a9,canadian_dollar_futures,futures,2.358774,46,4.622251,1.259749,1.470158,,1.000000,already_exists
skipped,competition_dow_jones_futures_daily_tsmom_next_overnight_weekday_side_1_long_xasset_rr_4_373963bd,dow_jones_futures,futures,2.355606,90,3.961760,1.519410,1.602314,,1.000000,already_exists
skipped,competition_australian_dollar_futures_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_4fbf7cea,australian_dollar_futures,futures,2.347749,96,4.686990,1.607407,1.503500,,0.800000,already_exists
skipped,competition_canadian_dollar_futures_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_b5089070,canadian_dollar_futures,futures,2.332327,98,4.304925,1.537211,1.679514,,0.800000,already_exists
skipped,competition_silver_futures_daily_tsmom_next_overnight_weekday_side_4_long_xasset_rr_5_e11e58c1,silver_futures,futures,2.288489,131,4.793037,1.466667,1.579576,,1.000000,already_exists
skipped,competition_usd_jpy_daily_tsmom_next_overnight_weekday_side_2_short_xasset_rr_5_359a639b,usd_jpy,forex,2.224065,130,4.463119,1.516995,1.631835,,1.000000,failed_current_strict_rerun
skipped,competition_gbp_jpy_daily_tsmom_next_overnight_weekday_side_2_short_xasset_rr_5_7404d31a,gbp_jpy,forex,2.205858,91,4.768485,1.427955,1.185705,,0.800000,failed_current_strict_rerun
skipped,competition_copper_futures_daily_tsmom_next_overnight_signalweekdayside_weekday_side_xasset_rr_5_77bdb3ad,copper_futures,futures,2.165068,96,4.756794,1.459959,1.470754,,1.000000,overlap_current_catalog
skipped,competition_us_treasury_10y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_105476cf,us_treasury_10y_note_futures,futures,2.161728,90,4.022705,1.367583,1.322253,,1.000000,already_exists
skipped,competition_new_zealand_dollar_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_bd3c3876,new_zealand_dollar_futures,futures,2.115785,99,4.657731,1.378493,1.301552,,0.600000,already_exists
skipped,competition_nasdaq_100_futures_daily_tsmom_next_overnight_signalweekdayside_xasset_rr_5_745a2103,nasdaq_100_futures,futures,2.114537,124,4.964180,1.453202,1.437562,,0.800000,failed_current_strict_rerun
skipped,competition_crude_oil_futures_us_first30_last30_reversal_weekday_side_0_long_xasset_rr_5_2b380d8e,crude_oil_futures,futures,2.093834,82,4.859624,1.315125,1.055309,,1.000000,failed_current_strict_rerun
skipped,competition_aud_usd_london_first30_ny_open_momentum_signalweekdayside_xasset_rr_4_0208edb7,aud_usd,forex,2.072995,85,3.413352,1.303316,1.371666,,1.000000,already_exists
skipped,competition_aud_usd_london_first30_last30_reversal_weekday_side_4_long_xasset_rr_4_e9f157c3,aud_usd,forex,2.067530,75,3.492659,1.257968,1.244517,,0.800000,failed_current_strict_rerun
