rank,strategy_id,label,folder,asset_key,symbol,market,phase,source,overall_pf,overall_trades,total_r,win_rate_pct,max_drawdown_r,pf_bootstrap_p05,split1_pf,split1_trades,split2_pf,split2_trades,split3_pf,split3_trades,split4_pf,split4_trades,min_split_pf,min_split_trades,duplicate_of,duplicate_overlap_trades,rejection_reason,variant_id
,aud_usd_ny_sweep_stump,AUD/USD NY Sweep V4 Stump,aud_usd_ny_sweep_stump,aud_usd,AUDUSD,forex,ny_sweep_playbook,pre_2022_ml_holdout_rebuild_2026_05,2.360560,37,20.408406,59.459459,2.165584,1.334879,1.754755,10,3.517185,9,1.752922,9,3.023796,9,1.752922,9,aud_usd_ny_sweep_bayes,36,exact overlapping trade signature,ny_sweep_v4|model=stump|min=0.5|start=420|end=510|max_tests=1|risk_min=10|risk_max=20|min_wick=0.35|rr=1.75|max_bars=96|one_trade=0
,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_37fd5084,Competition AUDUSD Ny Open Gap Fade Signalmonth,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_37fd5084,aud_usd,AUDUSD,forex,competition_session_edge,competition_session_edge_train_forward_2026,2.022520,64,53.490688,56.250000,13.240331,1.110974,1.032438,16,1.756605,16,1.174680,16,8.510571,16,1.032438,16,competition_aud_usd_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarminute_660_ming_5c432e4e,64,exact overlapping trade signature,competition_session_edge|family=ny_open_gap_fade_signalmonth|direction=fade|entry=570|exit=660|min_gap_atr=0.5|signal_month=10
,competition_aud_usd_us_first30_last30_reversal_signalmonth_direction_opposite_entryminute_930_exitbarm_a3a7f703,Competition AUDUSD Us First30 Last30 Reversal Signalmonth,competition_aud_usd_us_first30_last30_reversal_signalmonth_direction_opposite_entryminute_930_exitbarm_a3a7f703,aud_usd,AUDUSD,forex,competition_session_edge,competition_session_edge_train_forward_2026,2.211011,66,10.139998,62.121212,2.150633,1.253318,1.225451,17,1.307500,16,2.425345,17,16.034611,16,1.225451,16,competition_aud_usd_us_first30_last30_reversal_signalmonth_direction_opposite_entryminute_930_exitbarm_c8c5223e,60,exact overlapping trade signature,competition_session_edge|family=us_first30_last30_reversal_signalmonth|direction=opposite|entry=930|exit=945|min_signal_atr=0.1|signal_end=585|signal_month=12|signal_start=570
,competition_aud_usd_us_first30_last30_reversal_signalmonth_direction_opposite_entryminute_930_exitbarm_d5d237bf,Competition AUDUSD Us First30 Last30 Reversal Signalmonth,competition_aud_usd_us_first30_last30_reversal_signalmonth_direction_opposite_entryminute_930_exitbarm_d5d237bf,aud_usd,AUDUSD,forex,competition_session_edge,competition_session_edge_train_forward_2026,2.211409,70,11.353407,61.428571,1.786607,1.272343,1.019547,18,1.926963,17,2.488667,18,7.659673,17,1.019547,17,competition_aud_usd_us_first30_last30_reversal_signalmonth_direction_opposite_entryminute_930_exitbarm_c8c5223e,60,exact overlapping trade signature,competition_session_edge|family=us_first30_last30_reversal_signalmonth|direction=opposite|entry=930|exit=945|min_signal_atr=0.05|signal_end=585|signal_month=12|signal_start=570
,competition_eur_jpy_daily_tsmom_next_rth_signalweekdayside_direction_momentum_entryminute_570_exitminu_fc0fe405,Competition EURJPY Daily Tsmom Next Rth Signalweekdayside,competition_eur_jpy_daily_tsmom_next_rth_signalweekdayside_direction_momentum_entryminute_570_exitminu_fc0fe405,eur_jpy,EURJPY,forex,competition_session_edge,competition_session_edge_train_forward_2026,2.001342,122,120.977285,62.295082,30.248017,1.358666,1.776674,31,3.183730,30,1.498469,31,1.812532,30,1.498469,30,competition_eur_jpy_daily_tsmom_next_rth_signalmonth_direction_momentum_entryminute_570_exitminute_945_563aa3f1,12,exact overlapping trade signature,competition_session_edge|family=daily_tsmom_next_rth_signalweekdayside|direction=momentum|entry=570|exit=945|lookback=5|signal_weekday_side=1_long
,competition_gbp_jpy_london_first30_ny_open_reversal_signalmonth_direction_opposite_entryminute_480_exi_3456ad91,Competition GBPJPY London First30 Ny Open Reversal Signalmonth,competition_gbp_jpy_london_first30_ny_open_reversal_signalmonth_direction_opposite_entryminute_480_exi_3456ad91,gbp_jpy,GBPJPY,forex,competition_session_edge,competition_session_edge_train_forward_2026,2.125095,66,42.499941,57.575758,7.971145,1.273717,1.751998,17,1.922981,16,1.194905,17,8.377376,16,1.194905,16,competition_gbp_jpy_london_first30_ny_open_reversal_signalmonth_direction_opposite_entryminute_480_exi_d549e3a7,59,exact overlapping trade signature,competition_session_edge|family=london_first30_ny_open_reversal_signalmonth|direction=opposite|entry=480|exit=570|min_signal_atr=0.35|signal_end=195|signal_month=6|signal_start=180
,competition_gbp_jpy_london_first30_ny_open_reversal_signalweekdayside_direction_opposite_entryminute_4_4eee8ecb,Competition GBPJPY London First30 Ny Open Reversal Signalweekdayside,competition_gbp_jpy_london_first30_ny_open_reversal_signalweekdayside_direction_opposite_entryminute_4_4eee8ecb,gbp_jpy,GBPJPY,forex,competition_session_edge,competition_session_edge_train_forward_2026,2.294778,87,73.134148,58.620690,9.891080,1.409880,1.255441,22,1.835393,22,3.005266,22,6.115567,21,1.255441,21,competition_gbp_jpy_london_first30_ny_open_reversal_signalmonth_direction_opposite_entryminute_480_exi_d549e3a7,9,exact overlapping trade signature,competition_session_edge|family=london_first30_ny_open_reversal_signalweekdayside|direction=opposite|entry=480|exit=570|min_signal_atr=0.5|signal_end=195|signal_start=180|signal_weekday_side=2_short
,competition_gbp_jpy_london_first30_ny_open_reversal_signalweekdayside_direction_opposite_entryminute_4_5322bb1f,Competition GBPJPY London First30 Ny Open Reversal Signalweekdayside,competition_gbp_jpy_london_first30_ny_open_reversal_signalweekdayside_direction_opposite_entryminute_4_5322bb1f,gbp_jpy,GBPJPY,forex,competition_session_edge,competition_session_edge_train_forward_2026,2.054426,115,80.533762,57.391304,11.985847,1.335645,1.241134,29,2.185056,29,2.317711,29,2.801615,28,1.241134,28,competition_gbp_jpy_london_first30_ny_open_reversal_signalmonth_direction_opposite_entryminute_480_exi_d549e3a7,9,exact overlapping trade signature,competition_session_edge|family=london_first30_ny_open_reversal_signalweekdayside|direction=opposite|entry=480|exit=570|min_signal_atr=0.05|signal_end=195|signal_start=180|signal_weekday_side=2_short
,competition_gbp_jpy_london_first30_ny_open_reversal_signalweekdayside_direction_opposite_entryminute_4_61184239,Competition GBPJPY London First30 Ny Open Reversal Signalweekdayside,competition_gbp_jpy_london_first30_ny_open_reversal_signalweekdayside_direction_opposite_entryminute_4_61184239,gbp_jpy,GBPJPY,forex,competition_session_edge,competition_session_edge_train_forward_2026,2.054426,115,80.533762,57.391304,11.985847,1.335645,1.241134,29,2.185056,29,2.317711,29,2.801615,28,1.241134,28,competition_gbp_jpy_london_first30_ny_open_reversal_signalmonth_direction_opposite_entryminute_480_exi_d549e3a7,9,exact overlapping trade signature,competition_session_edge|family=london_first30_ny_open_reversal_signalweekdayside|direction=opposite|entry=480|exit=570|min_signal_atr=0.1|signal_end=195|signal_start=180|signal_weekday_side=2_short
,competition_gbp_jpy_london_first30_ny_open_reversal_signalweekdayside_direction_opposite_entryminute_4_80895cdd,Competition GBPJPY London First30 Ny Open Reversal Signalweekdayside,competition_gbp_jpy_london_first30_ny_open_reversal_signalweekdayside_direction_opposite_entryminute_4_80895cdd,gbp_jpy,GBPJPY,forex,competition_session_edge,competition_session_edge_train_forward_2026,2.054426,115,80.533762,57.391304,11.985847,1.335645,1.241134,29,2.185056,29,2.317711,29,2.801615,28,1.241134,28,competition_gbp_jpy_london_first30_ny_open_reversal_signalmonth_direction_opposite_entryminute_480_exi_d549e3a7,9,exact overlapping trade signature,competition_session_edge|family=london_first30_ny_open_reversal_signalweekdayside|direction=opposite|entry=480|exit=570|min_signal_atr=0|signal_end=195|signal_start=180|signal_weekday_side=2_short
,competition_gbp_jpy_london_first30_ny_open_reversal_signalweekdayside_direction_opposite_entryminute_4_f28a94ed,Competition GBPJPY London First30 Ny Open Reversal Signalweekdayside,competition_gbp_jpy_london_first30_ny_open_reversal_signalweekdayside_direction_opposite_entryminute_4_f28a94ed,gbp_jpy,GBPJPY,forex,competition_session_edge,competition_session_edge_train_forward_2026,2.045998,111,79.391866,56.756757,11.985847,1.334649,1.073792,28,2.741281,28,2.274236,28,2.790065,27,1.073792,27,competition_gbp_jpy_london_first30_ny_open_reversal_signalmonth_direction_opposite_entryminute_480_exi_d549e3a7,9,exact overlapping trade signature,competition_session_edge|family=london_first30_ny_open_reversal_signalweekdayside|direction=opposite|entry=480|exit=570|min_signal_atr=0.2|signal_end=195|signal_start=180|signal_weekday_side=2_short
,competition_usd_cad_daily_tsmom_next_overnight_signalweekday_direction_contrarian_entryminute_945_exit_ed793aca,Competition USDCAD Daily Tsmom Next Overnight Signalweekday,competition_usd_cad_daily_tsmom_next_overnight_signalweekday_direction_contrarian_entryminute_945_exit_ed793aca,usd_cad,USDCAD,forex,competition_session_edge,competition_session_edge_train_forward_2026,2.160657,195,86.042066,58.974359,10.033466,1.493595,2.186703,49,3.042517,49,1.796160,49,2.044283,48,1.796160,48,competition_usd_cad_daily_tsmom_next_overnight_signalmonth_direction_momentum_entryminute_945_exitminu_dca02dc1,1,exact overlapping trade signature,competition_session_edge|family=daily_tsmom_next_overnight_signalweekday|direction=contrarian|entry=945|exit=570|lookback=10|signal_weekday=4
,competition_usd_cad_us_first30_last30_momentum_signalmonth_direction_same_entryminute_930_exitbarminut_087745e1,Competition USDCAD Us First30 Last30 Momentum Signalmonth,competition_usd_cad_us_first30_last30_momentum_signalmonth_direction_same_entryminute_930_exitbarminut_087745e1,usd_cad,USDCAD,forex,competition_session_edge,competition_session_edge_train_forward_2026,2.038517,72,18.064374,59.722222,5.326579,1.071285,2.060224,18,7.567784,18,1.140577,18,1.300518,18,1.140577,18,competition_usd_cad_us_first30_last30_momentum_signalmonth_direction_same_entryminute_930_exitbarminut_c1317995,72,exact overlapping trade signature,competition_session_edge|family=us_first30_last30_momentum_signalmonth|direction=same|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_month=3|signal_start=570
,competition_usd_cad_us_first30_last30_momentum_signalmonth_direction_same_entryminute_930_exitbarminut_234db7bf,Competition USDCAD Us First30 Last30 Momentum Signalmonth,competition_usd_cad_us_first30_last30_momentum_signalmonth_direction_same_entryminute_930_exitbarminut_234db7bf,usd_cad,USDCAD,forex,competition_session_edge,competition_session_edge_train_forward_2026,2.623762,85,31.642069,61.176471,4.923971,1.167648,2.547225,22,3.227112,21,1.759565,21,3.025747,21,1.759565,21,competition_usd_cad_us_first30_last30_momentum_signalmonth_direction_same_entryminute_930_exitbarminut_c1317995,85,exact overlapping trade signature,competition_session_edge|family=us_first30_last30_momentum_signalmonth|direction=same|entry=930|exit=945|min_signal_atr=0.35|signal_end=585|signal_month=3|signal_start=570
,competition_usd_cad_us_first30_last30_momentum_signalmonth_direction_same_entryminute_930_exitbarminut_9b58c643,Competition USDCAD Us First30 Last30 Momentum Signalmonth,competition_usd_cad_us_first30_last30_momentum_signalmonth_direction_same_entryminute_930_exitbarminut_9b58c643,usd_cad,USDCAD,forex,competition_session_edge,competition_session_edge_train_forward_2026,2.633355,94,33.678764,60.638298,5.323264,1.280001,2.809735,24,2.975703,23,1.558667,24,3.259149,23,1.558667,23,competition_usd_cad_us_first30_last30_momentum_signalmonth_direction_same_entryminute_930_exitbarminut_c1317995,94,exact overlapping trade signature,competition_session_edge|family=us_first30_last30_momentum_signalmonth|direction=same|entry=930|exit=945|min_signal_atr=0.2|signal_end=585|signal_month=3|signal_start=570
,competition_usd_cad_us_first30_last30_momentum_signalmonth_direction_same_entryminute_930_exitbarminut_a2ced8d9,Competition USDCAD Us First30 Last30 Momentum Signalmonth,competition_usd_cad_us_first30_last30_momentum_signalmonth_direction_same_entryminute_930_exitbarminut_a2ced8d9,usd_cad,USDCAD,forex,competition_session_edge,competition_session_edge_train_forward_2026,2.444058,105,35.093776,60.000000,5.268028,1.352219,1.921319,27,2.513384,26,1.762825,26,3.634250,26,1.762825,26,competition_usd_cad_us_first30_last30_momentum_signalmonth_direction_same_entryminute_930_exitbarminut_c1317995,105,exact overlapping trade signature,competition_session_edge|family=us_first30_last30_momentum_signalmonth|direction=same|entry=930|exit=945|min_signal_atr=0.05|signal_end=585|signal_month=3|signal_start=570
