"strategy_id","asset_key","overall_pf","trades","min_quarter_pf","bootstrap_pf_p05","block_bootstrap_pf_p05","annual_pass_rate","min_planned_rr","failed_checks"
"competition_eur_usd_us_first30_midday_reversal_month_12_xasset_rr_5_7b276c27","eur_usd","2.509642","27","1.251373","1.103928","1.397700","1.000000","4.571370",""
"competition_nzd_usd_london_first30_last30_reversal_month_12_xasset_rr_5_be4b35ac","nzd_usd","2.187334","30","1.226293","1.017659","1.322416","0.750000","4.371048",""
"competition_eur_jpy_daily_tsmom_next_rth_signalmonth_xasset_rr_5_32a353da","eur_jpy","2.205678","98","1.186124","1.483246","1.606676","1.000000","4.625927",""
"competition_aud_usd_us_first30_last30_momentum_month_9_xasset_rr_5_629d8cc5","aud_usd","2.336687","54","1.583089","1.209064","1.239010","1.000000","4.393746",""
"competition_usd_jpy_london_first30_last30_momentum_weekday_side_4_long_xasset_rr_5_1d1c682f","usd_jpy","2.005935","65","1.615403","1.141167","1.555687","0.800000","4.550867",""
"competition_usd_jpy_us_first30_last30_reversal_weekday_side_2_long_xasset_rr_4_35df306a","usd_jpy","3.610565","101","2.633490","2.286546","2.314204","1.000000","3.806177",""
"competition_eur_jpy_us_first30_last30_momentum_weekday_side_2_long_xasset_rr_5_adaebd2b","eur_jpy","3.651167","64","2.681117","2.061979","2.250181","1.000000","4.797846",""
"competition_usd_jpy_daily_tsmom_next_overnight_weekday_side_2_short_xasset_rr_4_5981840f","usd_jpy","2.963973","88","1.202363","2.115149","2.002286","0.800000","3.631242",""
"competition_eur_jpy_us_first30_last30_momentum_weekday_side_2_long_xasset_rr_5_3c88e298","eur_jpy","2.605983","118","2.450863","1.735271","1.725167","1.000000","4.797846",""
"competition_gbp_jpy_us_first30_last30_reversal_signalweekdayside_xasset_rr_5_e67def76","gbp_jpy","2.695579","84","1.671378","1.608952","1.787965","1.000000","4.793566",""
"competition_gbp_usd_us_first30_last30_reversal_month_10_xasset_rr_5_aaed2f73","gbp_usd","2.445123","57","1.100484","1.247829","1.129706","1.000000","4.739264",""
"competition_aud_usd_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_3aca24b7","aud_usd","2.201509","95","1.355120","1.446433","1.506116","0.800000","4.292601",""
"competition_aud_usd_london_first30_ny_open_momentum_signalweekdayside_xasset_rr_4_0208edb7","aud_usd","2.072995","85","1.278383","1.361209","1.482984","1.000000","3.413352",""
"competition_dow_jones_futures_us_first30_last30_momentum_signalmonth_month_3_xasset_rr_5_3d9679eb","dow_jones_futures","3.147149","61","1.065390","1.925337","1.553521","1.000000","4.934056",""
"competition_copper_futures_london_first30_last30_reversal_month_1_xasset_rr_5_d91f5efb","copper_futures","2.880637","77","1.180001","1.711665","1.747280","1.000000","4.773583",""
"competition_gold_futures_us_first30_last30_reversal_signalmonth_month_10_xasset_rr_5_5519d329","gold_futures","2.923868","50","2.022847","1.609822","1.804284","1.000000","4.913596",""
"competition_us_treasury_2y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_027092c6","us_treasury_2y_note_futures","2.727097","90","1.705587","1.580502","1.534138","1.000000","4.011034",""
"competition_silver_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_6a54acc6","silver_futures","2.833107","58","1.304445","1.507198","2.192697","1.000000","4.831919",""
"competition_silver_futures_daily_tsmom_next_overnight_weekday_side_4_long_xasset_rr_5_e11e58c1","silver_futures","2.288489","131","1.096240","1.535965","1.488587","1.000000","4.793037",""
"competition_copper_futures_us_first30_last30_reversal_weekday_side_0_long_xasset_rr_5_412871d7","copper_futures","2.563517","65","1.434781","1.518494","1.184994","0.750000","4.839621",""
"competition_us_treasury_5y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_2d6cdfee","us_treasury_5y_note_futures","2.405038","91","1.900966","1.582374","1.681576","1.000000","4.336455",""
"competition_canadian_dollar_futures_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_b5089070","canadian_dollar_futures","2.332327","98","1.360159","1.608207","1.807084","0.800000","4.304925",""
"competition_australian_dollar_futures_london_first30_ny_open_momentum_weekday_side_0_short_xasset_rr_5_4fbf7cea","australian_dollar_futures","2.347749","96","1.471334","1.570993","1.630168","0.800000","4.686990",""
"competition_dow_jones_futures_daily_tsmom_next_overnight_weekday_side_1_long_xasset_rr_4_373963bd","dow_jones_futures","2.355606","90","1.476832","1.547293","1.570962","1.000000","3.961760",""
"competition_british_pound_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_5f0cb0e3","british_pound_futures","2.451348","57","1.514784","1.322837","1.320991","1.000000","4.618299",""
"competition_silver_futures_us_first30_last30_reversal_signalmonth_xasset_rr_5_a9d7edf6","silver_futures","2.409941","63","1.517567","1.398924","1.669488","1.000000","4.831919",""
"competition_new_zealand_dollar_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_bd3c3876","new_zealand_dollar_futures","2.115785","99","1.177464","1.340235","1.265860","0.600000","4.657731",""
"competition_us_treasury_10y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_105476cf","us_treasury_10y_note_futures","2.161728","90","1.346993","1.439420","1.364430","1.000000","4.022705",""
"competition_canadian_dollar_futures_us_first30_last30_momentum_signalmonth_month_3_xasset_rr_5_384613a9","canadian_dollar_futures","2.358774","46","1.247424","1.256616","1.545466","1.000000","4.622251",""
