"strategy_id","folder","asset_key","phase","trades","overall_pf","total_r","max_drawdown_r","min_half_pf","min_quarter_pf","rolling20_pf_p25","bootstrap_pf_p05","block_bootstrap_pf_p05","annual_windows","annual_pass_rate","worst_annual_pf","min_planned_rr","status","failed_checks"
"competition_aud_usd_london_first30_last30_reversal_weekday_side_4_long_xasset_rr_4_e9f157c3","competition_aud_usd_london_first30_last30_reversal_weekday_side_4_long_xasset_rr_4_e9f157c3","aud_usd","competition_session_edge","75","2.067530","14.781451","3.520641","1.525726","0.904742","1.137945","1.246486","1.260959","5","0.800000","0.225058","3.492659","watch","quarter_pf_gt_1"
"competition_aud_usd_ny_open_gap_fade_signalmonth_xasset_rr_5_1ff92c57","competition_aud_usd_ny_open_gap_fade_signalmonth_xasset_rr_5_1ff92c57","aud_usd","competition_session_edge","65","2.007585","44.439498","10.908611","1.306186","0.846429","0.835417","1.179982","1.098914","4","0.750000","0.934981","4.055072","watch","quarter_pf_gt_1,rolling_pf_p25_gt_1"
"competition_aud_usd_us_first30_last30_momentum_signalmonth_month_3_xasset_rr_5_d7e0a9ea","competition_aud_usd_us_first30_last30_momentum_signalmonth_month_3_xasset_rr_5_d7e0a9ea","aud_usd","competition_session_edge","42","2.210072","9.283452","2.517374","1.447035","1.017847","1.568678","0.997924","1.093049","5","0.800000","0.255928","4.509290","watch","simple_bootstrap_p05_gt_1"
"competition_aud_usd_us_first30_last30_reversal_month_10_xasset_rr_5_1f3d31c8","competition_aud_usd_us_first30_last30_reversal_month_10_xasset_rr_5_1f3d31c8","aud_usd","competition_session_edge","53","2.022880","7.403567","3.440282","0.997845","0.369940","0.642661","1.106391","0.823616","4","0.750000","0.246953","4.315707","watch","half_pf_gt_1,quarter_pf_gt_1,rolling_pf_p25_gt_1,block_bootstrap_p05_gt_0_9"
"competition_aud_usd_us_first30_last30_reversal_signalmonth_xasset_rr_5_d256195b","competition_aud_usd_us_first30_last30_reversal_signalmonth_xasset_rr_5_d256195b","aud_usd","competition_session_edge","53","2.022880","7.403567","3.440282","0.997845","0.369940","0.642661","0.996821","0.749389","4","0.750000","0.246953","4.315707","watch","half_pf_gt_1,quarter_pf_gt_1,rolling_pf_p25_gt_1,simple_bootstrap_p05_gt_1,block_bootstrap_p05_gt_0_9"
"competition_australian_dollar_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_961d7efd","competition_australian_dollar_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_961d7efd","australian_dollar_futures","competition_session_edge","112","2.642506","73.296445","6.025772","2.081202","0.715321","1.209592","1.702598","1.608814","5","0.800000","0.709445","4.659127","watch","quarter_pf_gt_1"
"competition_australian_dollar_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_e3201596","competition_australian_dollar_futures_daily_tsmom_next_overnight_weekday_side_4_short_xasset_rr_5_e3201596","australian_dollar_futures","competition_session_edge","112","2.642506","73.296445","6.025772","2.081202","0.715321","1.209592","1.652784","1.634906","5","0.800000","0.709445","4.659127","watch","quarter_pf_gt_1"
"competition_british_pound_futures_us_first30_last30_reversal_signalmonth_month_10_xasset_rr_5_55df6bb0","competition_british_pound_futures_us_first30_last30_reversal_signalmonth_month_10_xasset_rr_5_55df6bb0","british_pound_futures","competition_session_edge","39","2.782680","8.878714","0.973474","2.665830","0.945222","1.433781","1.255170","1.307024","4","1.000000","1.714552","4.618299","watch","quarter_pf_gt_1"
"competition_copper_futures_daily_tsmom_next_overnight_signalweekdayside_weekday_side_xasset_rr_5_77bdb3ad","competition_copper_futures_daily_tsmom_next_overnight_signalweekdayside_weekday_side_xasset_rr_5_77bdb3ad","copper_futures","competition_session_edge","96","2.165068","81.434889","14.884538","1.680961","0.462436","1.030349","1.375919","1.379356","5","1.000000","1.263007","4.756794","watch","quarter_pf_gt_1"
"competition_crude_oil_futures_us_first30_last30_reversal_weekday_side_0_long_xasset_rr_5_2b380d8e","competition_crude_oil_futures_us_first30_last30_reversal_weekday_side_0_long_xasset_rr_5_2b380d8e","crude_oil_futures","competition_session_edge","82","2.093834","8.938914","2.851418","1.226449","0.706693","1.344322","1.221074","1.052164","5","1.000000","1.086938","4.859624","watch","quarter_pf_gt_1"
