strategy_id,asset_key,market,engine,profit_factor,trades,total_r,qualified,status
rs_night_day_overnight_bias_sp_500_futures_overnight_bias_6dfd43e0,sp_500_futures,futures,overnight_bias,1.188603,858,185.89415,False,backtested
rs_ny_opening_range_break_sp_500_futures_range_break_5ae1945e,sp_500_futures,futures,range_break,1.175172,1071,88.992641,False,backtested
rs_ny_opening_range_break_sp_500_futures_range_break_ead0769b,sp_500_futures,futures,range_break,1.15513,1071,76.913062,False,backtested
rs_crude_inventory_session_crude_oil_futures_intraday_momentum_c2bc7e53,crude_oil_futures,futures,intraday_momentum,1.127712,221,30.423592,False,backtested
rs_ny_opening_range_break_sp_500_futures_range_break_ed03178f,sp_500_futures,futures,range_break,1.089185,1071,40.541697,False,backtested
rs_fx_london_open_momentum_sp_500_futures_intraday_momentum_2b1978e5,sp_500_futures,futures,intraday_momentum,1.087263,1072,120.32121,False,backtested
rs_short_horizon_tsmom_sp_500_futures_daily_tsmom_9611c710,sp_500_futures,futures,daily_tsmom,1.081484,1082,140.394774,False,backtested
rs_fx_london_open_momentum_sp_500_futures_intraday_momentum_43bff49c,sp_500_futures,futures,intraday_momentum,1.072789,1099,104.090561,False,backtested
rs_fx_london_open_momentum_sp_500_futures_intraday_momentum_431667a7,sp_500_futures,futures,intraday_momentum,1.070028,1103,100.574784,False,backtested
rs_night_day_open_gap_fade_australian_dollar_futures_open_gap_6d55ea9e,australian_dollar_futures,futures,open_gap,1.05461,890,38.170002,False,backtested
rs_intraday_repeat_half_hour_sp_500_futures_intraday_momentum_7d3cad67,sp_500_futures,futures,intraday_momentum,1.01341,1063,6.512606,False,backtested
rs_fx_london_open_momentum_australian_dollar_futures_intraday_momentum_a4c1a31d,australian_dollar_futures,futures,intraday_momentum,1.008983,1096,11.651068,False,backtested
rs_intraday_repeat_half_hour_sp_500_futures_intraday_momentum_6320b12e,sp_500_futures,futures,intraday_momentum,0.997683,1026,-1.102009,False,backtested
rs_night_day_open_gap_fade_sp_500_futures_open_gap_cb5e3b42,sp_500_futures,futures,open_gap,0.997137,800,-2.648273,False,backtested
rs_intraday_repeat_half_hour_sp_500_futures_intraday_momentum_5e646ec2,sp_500_futures,futures,intraday_momentum,0.994691,976,-2.3975,False,backtested
rs_ny_opening_range_break_australian_dollar_futures_range_break_3bd4b995,australian_dollar_futures,futures,range_break,0.979096,1093,-9.710619,False,backtested
rs_night_day_open_gap_fade_sp_500_futures_open_gap_9995402b,sp_500_futures,futures,open_gap,0.975356,829,-24.049592,False,backtested
rs_asia_range_london_break_sp_500_futures_range_break_6c91a2b1,sp_500_futures,futures,range_break,0.96511,897,-13.878335,False,backtested
rs_night_day_open_gap_fade_sp_500_futures_open_gap_a589a859,sp_500_futures,futures,open_gap,0.964136,858,-36.282357,False,backtested
rs_short_horizon_tsmom_sp_500_futures_daily_tsmom_2873002f,sp_500_futures,futures,daily_tsmom,0.95707,1083,-78.695615,False,backtested
rs_night_day_overnight_bias_eur_usd_overnight_bias_6a9768c6,eur_usd,forex,overnight_bias,0.950459,951,-105.465203,False,backtested
rs_asia_range_london_break_sp_500_futures_range_break_01b41d49,sp_500_futures,futures,range_break,0.946858,897,-19.382346,False,backtested
rs_asia_range_london_break_sp_500_futures_range_break_cf745853,sp_500_futures,futures,range_break,0.937282,897,-24.681625,False,backtested
rs_asia_range_london_break_australian_dollar_futures_range_break_fe62c419,australian_dollar_futures,futures,range_break,0.927663,745,-16.127465,False,backtested
rs_short_horizon_tsmom_sp_500_futures_daily_tsmom_eac98db4,sp_500_futures,futures,daily_tsmom,0.921809,1083,-145.964592,False,backtested
rs_short_horizon_tsmom_australian_dollar_futures_daily_tsmom_290063ca,australian_dollar_futures,futures,daily_tsmom,0.915792,1110,-172.897273,False,backtested
rs_llm_short_horizon_tsmom_sp_500_futures_llm_rule_code_9c89703e,sp_500_futures,futures,llm_rule_code,0.915473,1124,-59.0,False,backtested
rs_intraday_repeat_half_hour_australian_dollar_futures_intraday_momentum_df5e7596,australian_dollar_futures,futures,intraday_momentum,0.911607,1033,-23.145793,False,backtested
rs_gao_intraday_momentum_last30_sp_500_futures_intraday_momentum_3a01e97b,sp_500_futures,futures,intraday_momentum,0.909997,1041,-44.648345,False,backtested
rs_gao_intraday_momentum_last30_sp_500_futures_intraday_momentum_eca9c239,sp_500_futures,futures,intraday_momentum,0.895377,1075,-54.566304,False,backtested
rs_night_day_overnight_bias_australian_dollar_futures_overnight_bias_eb0d9889,australian_dollar_futures,futures,overnight_bias,0.888726,891,-262.275379,False,backtested
rs_gao_intraday_momentum_last30_sp_500_futures_intraday_momentum_cc16a388,sp_500_futures,futures,intraday_momentum,0.887346,1066,-58.236582,False,backtested
rs_gao_intraday_momentum_last30_australian_dollar_futures_intraday_momentum_d1557262,australian_dollar_futures,futures,intraday_momentum,0.872598,1080,-35.083836,False,backtested
rs_night_day_overnight_bias_sp_500_futures_overnight_bias_4013a865,sp_500_futures,futures,overnight_bias,0.841324,858,-185.89415,False,backtested
