strategy_id,asset_key,label,family,profit_factor,trades,total_r,win_rate_pct,max_drawdown_r,variant_id
competition_crude_oil_futures_overnight_close_to_open_bias_signalmonth_entry_prior_rth_close_exit_ny_o_315d7644,crude_oil_futures,Competition CL Overnight Close To Open Bias Signalmonth,overnight_close_to_open_bias_signalmonth,4.043623,80,157.014575,67.5,12.663993,competition_session_edge|family=overnight_close_to_open_bias_signalmonth|side=long|signal_month=1
competition_japanese_yen_futures_us_first30_last30_reversal_signalweekdayside_direction_opposite_entry_d778febb,japanese_yen_futures,Competition 6J Us First30 Last30 Reversal Signalweekdayside,us_first30_last30_reversal_signalweekdayside,4.00123,67,18.225338,65.671642,0.860568,competition_session_edge|family=us_first30_last30_reversal_signalweekdayside|direction=opposite|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_weekday_side=2_short
competition_japanese_yen_futures_us_first30_last30_reversal_signalweekdayside_direction_opposite_entry_11a69e11,japanese_yen_futures,Competition 6J Us First30 Last30 Reversal Signalweekdayside,us_first30_last30_reversal_signalweekdayside,3.874706,75,19.95613,65.333333,1.268038,competition_session_edge|family=us_first30_last30_reversal_signalweekdayside|direction=opposite|entry=930|exit=945|min_signal_atr=0.35|signal_end=585|signal_start=570|signal_weekday_side=2_short
competition_nzd_usd_daily_tsmom_next_rth_signalmonth_direction_contrarian_entryminute_570_exitminute_9_bf61d37c,nzd_usd,Competition NZDUSD Daily Tsmom Next Rth Signalmonth,daily_tsmom_next_rth_signalmonth,3.611331,102,229.001486,62.745098,19.711278,competition_session_edge|family=daily_tsmom_next_rth_signalmonth|direction=contrarian|entry=570|exit=945|lookback=3|signal_month=2
competition_japanese_yen_futures_us_first30_last30_reversal_signalweekdayside_direction_opposite_entry_2b239b90,japanese_yen_futures,Competition 6J Us First30 Last30 Reversal Signalweekdayside,us_first30_last30_reversal_signalweekdayside,3.545045,89,22.897349,62.921348,1.92748,competition_session_edge|family=us_first30_last30_reversal_signalweekdayside|direction=opposite|entry=930|exit=945|min_signal_atr=0.2|signal_end=585|signal_start=570|signal_weekday_side=2_short
competition_micro_bitcoin_futures_daily_tsmom_next_overnight_signalweekdayside_direction_contrarian_en_6003fc2d,micro_bitcoin_futures,Competition MBT Daily Tsmom Next Overnight Signalweekdayside,daily_tsmom_next_overnight_signalweekdayside,3.512964,104,215.625666,68.269231,10.673724,competition_session_edge|family=daily_tsmom_next_overnight_signalweekdayside|direction=contrarian|entry=945|exit=570|lookback=3|signal_weekday_side=1_long
competition_eur_chf_daily_tsmom_next_rth_signalmonth_direction_momentum_entryminute_570_exitminute_945_391afa4a,eur_chf,Competition EURCHF Daily Tsmom Next Rth Signalmonth,daily_tsmom_next_rth_signalmonth,3.225213,101,133.810262,70.29703,11.270657,competition_session_edge|family=daily_tsmom_next_rth_signalmonth|direction=momentum|entry=570|exit=945|lookback=5|signal_month=2
competition_usd_chf_overnight_close_to_open_bias_signalmonth_entry_prior_rth_close_exit_ny_open_side_s_b92958d0,usd_chf,Competition USDCHF Overnight Close To Open Bias Signalmonth,overnight_close_to_open_bias_signalmonth,3.042993,63,109.29734,57.142857,15.107113,competition_session_edge|family=overnight_close_to_open_bias_signalmonth|side=short|signal_month=12
competition_eur_jpy_daily_tsmom_next_rth_signalmonth_direction_momentum_entryminute_570_exitminute_945_563aa3f1,eur_jpy,Competition EURJPY Daily Tsmom Next Rth Signalmonth,daily_tsmom_next_rth_signalmonth,2.943471,85,94.550237,63.529412,12.336783,competition_session_edge|family=daily_tsmom_next_rth_signalmonth|direction=momentum|entry=570|exit=945|lookback=5|signal_month=6
competition_canadian_dollar_futures_overnight_close_to_open_bias_signalmonth_entry_prior_rth_close_exi_31e5e01a,canadian_dollar_futures,Competition 6C Overnight Close To Open Bias Signalmonth,overnight_close_to_open_bias_signalmonth,2.874239,72,103.641251,62.5,17.026832,competition_session_edge|family=overnight_close_to_open_bias_signalmonth|side=short|signal_month=10
competition_us_treasury_5y_note_futures_daily_tsmom_next_rth_signalweekdayside_direction_momentum_entr_b5f85504,us_treasury_5y_note_futures,Competition ZF Daily Tsmom Next Rth Signalweekdayside,daily_tsmom_next_rth_signalweekdayside,2.855734,80,118.124508,65,14.285336,competition_session_edge|family=daily_tsmom_next_rth_signalweekdayside|direction=momentum|entry=570|exit=945|lookback=40|signal_weekday_side=0_long
competition_us_treasury_30y_bond_futures_us_first30_last30_momentum_signalweekdayside_direction_same_e_a80f2081,us_treasury_30y_bond_futures,Competition ZB Us First30 Last30 Momentum Signalweekdayside,us_first30_last30_momentum_signalweekdayside,2.673903,89,23.926499,57.303371,1.839298,competition_session_edge|family=us_first30_last30_momentum_signalweekdayside|direction=same|entry=930|exit=945|min_signal_atr=0.35|signal_end=585|signal_start=570|signal_weekday_side=2_long
competition_eur_jpy_ny_open_gap_continuation_signalmonth_direction_continue_entryminute_570_exitbarmin_012469c3,eur_jpy,Competition EURJPY Ny Open Gap Continuation Signalmonth,ny_open_gap_continuation_signalmonth,2.67379,59,47.385245,57.627119,5.937672,competition_session_edge|family=ny_open_gap_continuation_signalmonth|direction=continue|entry=570|exit=615|min_gap_atr=0.75|signal_month=11
competition_eur_usd_daily_tsmom_next_overnight_signalmonth_direction_momentum_entryminute_945_exitminu_3620b57f,eur_usd,Competition EURUSD Daily Tsmom Next Overnight Signalmonth,daily_tsmom_next_overnight_signalmonth,2.470941,71,99.756354,60.56338,10.504369,competition_session_edge|family=daily_tsmom_next_overnight_signalmonth|direction=momentum|entry=945|exit=570|lookback=40|signal_month=12
competition_eur_jpy_ny_open_gap_continuation_signalmonth_direction_continue_entryminute_570_exitbarmin_215e720e,eur_jpy,Competition EURJPY Ny Open Gap Continuation Signalmonth,ny_open_gap_continuation_signalmonth,2.469969,70,53.509995,60,6.609379,competition_session_edge|family=ny_open_gap_continuation_signalmonth|direction=continue|entry=570|exit=615|min_gap_atr=0|signal_month=11
competition_dow_jones_futures_daily_tsmom_next_overnight_signalweekdayside_direction_momentum_entrymin_a5af6eed,dow_jones_futures,Competition YM Daily Tsmom Next Overnight Signalweekdayside,daily_tsmom_next_overnight_signalweekdayside,2.45897,145,168.764787,59.310345,13.708467,competition_session_edge|family=daily_tsmom_next_overnight_signalweekdayside|direction=momentum|entry=945|exit=570|lookback=40|signal_weekday_side=1_long
competition_us_treasury_5y_note_futures_us_first30_last30_momentum_signalweekdayside_direction_same_en_f66147ae,us_treasury_5y_note_futures,Competition ZF Us First30 Last30 Momentum Signalweekdayside,us_first30_last30_momentum_signalweekdayside,2.453813,71,18.264512,60.56338,2.256993,competition_session_edge|family=us_first30_last30_momentum_signalweekdayside|direction=same|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_weekday_side=4_long
competition_eur_jpy_ny_open_gap_continuation_signalmonth_direction_continue_entryminute_570_exitbarmin_a8e60a40,eur_jpy,Competition EURJPY Ny Open Gap Continuation Signalmonth,ny_open_gap_continuation_signalmonth,2.450876,69,52.814962,59.42029,6.609379,competition_session_edge|family=ny_open_gap_continuation_signalmonth|direction=continue|entry=570|exit=615|min_gap_atr=0.1|signal_month=11
competition_eur_jpy_ny_open_gap_continuation_signalmonth_direction_continue_entryminute_570_exitbarmin_aacf99db,eur_jpy,Competition EURJPY Ny Open Gap Continuation Signalmonth,ny_open_gap_continuation_signalmonth,2.450876,69,52.814962,59.42029,6.609379,competition_session_edge|family=ny_open_gap_continuation_signalmonth|direction=continue|entry=570|exit=615|min_gap_atr=0.2|signal_month=11
competition_eur_jpy_ny_open_gap_continuation_signalmonth_direction_continue_entryminute_570_exitbarmin_d9aafd6f,eur_jpy,Competition EURJPY Ny Open Gap Continuation Signalmonth,ny_open_gap_continuation_signalmonth,2.427148,62,45.813073,56.451613,5.937672,competition_session_edge|family=ny_open_gap_continuation_signalmonth|direction=continue|entry=570|exit=615|min_gap_atr=0.5|signal_month=11
competition_us_treasury_5y_note_futures_us_first30_last30_momentum_signalweekdayside_direction_same_en_1942c62b,us_treasury_5y_note_futures,Competition ZF Us First30 Last30 Momentum Signalweekdayside,us_first30_last30_momentum_signalweekdayside,2.414682,74,18.295294,58.108108,2.458946,competition_session_edge|family=us_first30_last30_momentum_signalweekdayside|direction=same|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_weekday_side=2_long
competition_usd_jpy_london_first30_ny_open_momentum_signalmonth_direction_same_entryminute_480_exitbar_c09e63b8,usd_jpy,Competition USDJPY London First30 Ny Open Momentum Signalmonth,london_first30_ny_open_momentum_signalmonth,2.331139,78,56.896918,64.102564,11.237772,competition_session_edge|family=london_first30_ny_open_momentum_signalmonth|direction=same|entry=480|exit=570|min_signal_atr=0.2|signal_end=195|signal_month=10|signal_start=180
competition_gbp_jpy_london_first30_ny_open_reversal_signalweekdayside_direction_opposite_entryminute_4_4eee8ecb,gbp_jpy,Competition GBPJPY London First30 Ny Open Reversal Signalweekdayside,london_first30_ny_open_reversal_signalweekdayside,2.329492,87,66.637318,58.62069,7.272279,competition_session_edge|family=london_first30_ny_open_reversal_signalweekdayside|direction=opposite|entry=480|exit=570|min_signal_atr=0.5|signal_end=195|signal_start=180|signal_weekday_side=2_short
competition_euro_futures_daily_tsmom_next_rth_signalmonth_direction_contrarian_entryminute_570_exitmin_0b54da46,euro_futures,Competition 6E Daily Tsmom Next Rth Signalmonth,daily_tsmom_next_rth_signalmonth,2.322,83,83.990421,63.855422,8.294658,competition_session_edge|family=daily_tsmom_next_rth_signalmonth|direction=contrarian|entry=570|exit=945|lookback=5|signal_month=12
