rank,strategy_id,label,asset_key,symbol,market,family,provenance,train_score,train_pf,train_trades,train_total_r,forward_pf,forward_trades,forward_total_r,forward_win_rate_pct,forward_max_drawdown_r,params
1,usd_jpy_london_first30_ny_open_momentum_signalweekdayside_direction_same_entryminute_480_e_ce191581,USDJPY London First30 Ny Open Momentum Signalweekdayside,usd_jpy,USDJPY,forex,london_first30_ny_open_momentum_signalweekdayside,research_derived/session_specific/filter_scan,11.700537,2.841687,42,43.712305,2.11915,97,88.508034,53.608247,22.534644,"{""direction"": ""same"", ""entryMinute"": 480, ""exitBarMinute"": 570, ""minSignalAtr"": 0.2, ""signalEndBarMinute"": 195, ""signalStartMinute"": 180, ""signalWeekdaySide"": ""4_long""}"
2,dow_jones_futures_daily_tsmom_next_overnight_signalweekdayside_direction_momentum_entrymin_a5af6eed,YM Daily Tsmom Next Overnight Signalweekdayside,dow_jones_futures,YM,futures,daily_tsmom_next_overnight_signalweekdayside,research_derived/filter_scan,10.676741,1.373479,416,158.264481,2.45897,145,168.764787,59.310345,13.708467,"{""direction"": ""momentum"", ""entryMinute"": 945, ""exitMinute"": 570, ""lookbackDays"": 40, ""signalWeekdaySide"": ""1_long""}"
3,dow_jones_futures_daily_tsmom_next_overnight_signalweekdayside_direction_momentum_entrymin_c2a8817b,YM Daily Tsmom Next Overnight Signalweekdayside,dow_jones_futures,YM,futures,daily_tsmom_next_overnight_signalweekdayside,research_derived/filter_scan,10.09882,1.41407,376,149.434763,2.282341,132,143.400814,57.575758,8.623951,"{""direction"": ""momentum"", ""entryMinute"": 945, ""exitMinute"": 570, ""lookbackDays"": 10, ""signalWeekdaySide"": ""1_long""}"
4,usd_jpy_london_first30_ny_open_momentum_signalmonth_direction_same_entryminute_480_exitbar_79315567,USDJPY London First30 Ny Open Momentum Signalmonth,usd_jpy,USDJPY,forex,london_first30_ny_open_momentum_signalmonth,research_derived/session_specific/filter_scan,9.305421,2.308212,42,29.233456,2.071693,89,54.230857,60.674157,12.95982,"{""direction"": ""same"", ""entryMinute"": 480, ""exitBarMinute"": 570, ""minSignalAtr"": 0.0, ""signalEndBarMinute"": 195, ""signalMonth"": 10, ""signalStartMinute"": 180}"
5,usd_jpy_london_first30_ny_open_momentum_signalmonth_direction_same_entryminute_480_exitbar_77986608,USDJPY London First30 Ny Open Momentum Signalmonth,usd_jpy,USDJPY,forex,london_first30_ny_open_momentum_signalmonth,research_derived/session_specific/filter_scan,8.642511,2.183239,40,26.440806,2.189299,87,56.949158,62.068966,11.237772,"{""direction"": ""same"", ""entryMinute"": 480, ""exitBarMinute"": 570, ""minSignalAtr"": 0.05, ""signalEndBarMinute"": 195, ""signalMonth"": 10, ""signalStartMinute"": 180}"
6,micro_bitcoin_futures_daily_tsmom_next_overnight_signalmonth_direction_momentum_entryminut_30bfc032,MBT Daily Tsmom Next Overnight Signalmonth,micro_bitcoin_futures,MBT,futures,daily_tsmom_next_overnight_signalmonth,research_derived/filter_scan,8.049281,2.529028,20,33.604607,2.012696,85,118.45362,50.588235,20.367201,"{""direction"": ""momentum"", ""entryMinute"": 945, ""exitMinute"": 570, ""lookbackDays"": 20, ""signalMonth"": 10}"
7,eur_chf_daily_tsmom_next_rth_signalmonth_direction_momentum_entryminute_570_exitminute_945_391afa4a,EURCHF Daily Tsmom Next Rth Signalmonth,eur_chf,EURCHF,forex,daily_tsmom_next_rth_signalmonth,research_derived/filter_scan,8.032138,2.12423,37,24.004856,3.225213,101,133.810262,70.29703,11.270657,"{""direction"": ""momentum"", ""entryMinute"": 570, ""exitMinute"": 945, ""lookbackDays"": 5, ""signalMonth"": 2}"
8,usd_jpy_london_first30_ny_open_momentum_signalmonth_direction_same_entryminute_480_exitbar_3d256058,USDJPY London First30 Ny Open Momentum Signalmonth,usd_jpy,USDJPY,forex,london_first30_ny_open_momentum_signalmonth,research_derived/session_specific/filter_scan,7.936002,2.035734,39,23.144644,2.207472,81,54.502365,61.728395,11.237772,"{""direction"": ""same"", ""entryMinute"": 480, ""exitBarMinute"": 570, ""minSignalAtr"": 0.1, ""signalEndBarMinute"": 195, ""signalMonth"": 10, ""signalStartMinute"": 180}"
9,dow_jones_futures_us_secondlast_last30_momentum_signalweekdayside_direction_same_entryminu_e49c2e15,YM Us Secondlast Last30 Momentum Signalweekdayside,dow_jones_futures,YM,futures,us_secondlast_last30_momentum_signalweekdayside,research_derived/session_specific/filter_scan,7.517104,1.393826,175,27.409135,2.290596,56,19.842553,71.428571,8.276326,"{""direction"": ""same"", ""entryMinute"": 930, ""exitBarMinute"": 945, ""minSignalAtr"": 0.35, ""signalEndBarMinute"": 915, ""signalStartMinute"": 900, ""signalWeekdaySide"": ""0_long""}"
10,gbp_jpy_london_first30_ny_open_reversal_signalweekdayside_direction_opposite_entryminute_4_4eee8ecb,GBPJPY London First30 Ny Open Reversal Signalweekdayside,gbp_jpy,GBPJPY,forex,london_first30_ny_open_reversal_signalweekdayside,research_derived/session_specific/filter_scan,7.250393,1.95199,35,23.248112,2.329492,87,66.637318,58.62069,7.272279,"{""direction"": ""opposite"", ""entryMinute"": 480, ""exitBarMinute"": 570, ""minSignalAtr"": 0.5, ""signalEndBarMinute"": 195, ""signalStartMinute"": 180, ""signalWeekdaySide"": ""2_short""}"
