time,open,high,low,close
1580386500,1.3067,1.31,1.3067,1.3089
1580387400,1.309,1.3092,1.3076,1.3089
1580388300,1.3089,1.3102,1.30865,1.3089
1580389200,1.309,1.31,1.30825,1.31
1580390100,1.3102,1.31075,1.30935,1.3094
1580391000,1.30955,1.3107,1.3094,1.3105
1580391900,1.3105,1.3106,1.309,1.3098
1580392800,1.3098,1.3099,1.309,1.30955
1580393700,1.3095,1.3098,1.3089,1.3093
1580394600,1.3092,1.3095,1.3077,1.30795
1580395500,1.3081,1.3084,1.3075,1.3081
1580396400,1.30805,1.30905,1.308,1.30865
1580397300,1.3088,1.30935,1.3087,1.30905
1580398200,1.30915,1.3099,1.3089,1.3096
1580399100,1.3097,1.3103,1.3092,1.3101
1580400000,1.3101,1.31075,1.31,1.3103
1580400900,1.3103,1.3104,1.3095,1.30985
1580401800,1.30985,1.31,1.30935,1.3097
1580402700,1.3097,1.31105,1.3096,1.3105
1580403600,1.31055,1.31055,1.30985,1.3099
1580404500,1.31,1.31035,1.30955,1.30975
1580405400,1.3096,1.30985,1.3094,1.3097
1580406300,1.30955,1.30975,1.3094,1.3095
1580407200,1.3095,1.3096,1.30915,1.30935
1580408100,1.30925,1.3093,1.30895,1.3092
1580409000,1.30925,1.3096,1.3088,1.3089
1580409900,1.30895,1.30905,1.3083,1.30845
1580410800,1.3083,1.3085,1.308,1.3084
1580411700,1.30845,1.30865,1.3082,1.3082
1580412600,1.30825,1.30885,1.308,1.3088
1580413500,1.30865,1.3087,1.30825,1.3084
1580414400,1.30835,1.30845,1.308,1.30845
1580415300,1.30845,1.3089,1.3083,1.30885
1580416200,1.30885,1.3094,1.30875,1.30915
1580417100,1.30915,1.30945,1.3091,1.30945
1580418000,1.30935,1.3094,1.3091,1.30935
1580418900,1.30935,1.30935,1.30915,1.3092
1580419800,1.3092,1.3094,1.30915,1.3092
1580420700,1.30915,1.3095,1.309,1.3095
1580421600,1.30945,1.30945,1.3085,1.3093
1580422500,1.30935,1.30945,1.3085,1.30875
1580423400,1.3088,1.309,1.3086,1.3088
1580424300,1.30885,1.30905,1.30875,1.30905
1580425200,1.309,1.3091,1.30875,1.30875
1580426100,1.30885,1.3089,1.3087,1.3088
1580427000,1.30885,1.30885,1.3085,1.3086
1580427900,1.30865,1.30865,1.30845,1.30855
1580428800,1.30855,1.3092,1.30845,1.30915
1580429700,1.30915,1.30925,1.3091,1.3092
1580430600,1.30915,1.30975,1.30915,1.30975
1580431500,1.30975,1.31015,1.30975,1.3101
1580432400,1.3101,1.31055,1.31005,1.31025
1580433300,1.31015,1.31035,1.31,1.3102
1580434200,1.31005,1.31015,1.30975,1.30975
1580435100,1.30975,1.30985,1.30945,1.3097
1580436000,1.3097,1.31015,1.30965,1.31015
1580436900,1.31015,1.3104,1.30985,1.30995
1580437800,1.30995,1.31025,1.30975,1.3099
1580438700,1.30985,1.3099,1.30965,1.30965
1580439600,1.30965,1.31,1.30965,1.3098
1580440500,1.30975,1.3098,1.30955,1.30955
1580441400,1.30955,1.3098,1.30955,1.30955
1580442300,1.30965,1.30965,1.30935,1.3094
1580443200,1.3094,1.30975,1.30935,1.30945
1580444100,1.30945,1.3096,1.30935,1.3096
1580445000,1.3096,1.3099,1.30955,1.3099
1580445900,1.30985,1.30995,1.30985,1.30985
1580446800,1.30985,1.31,1.30975,1.30995
1580447700,1.30975,1.30985,1.30975,1.30975
1580448600,1.30985,1.3099,1.30965,1.3097
1580449500,1.30965,1.3097,1.3095,1.30955
1580450400,1.30975,1.30995,1.30955,1.3099
1580451300,1.30985,1.3099,1.3097,1.30975
1580452200,1.3098,1.31015,1.30965,1.31015
1580453100,1.31015,1.31035,1.3101,1.31015
1580454000,1.31,1.31145,1.3098,1.31125
1580454900,1.3113,1.312,1.31115,1.31185
1580455800,1.3118,1.31255,1.3117,1.3121
1580456700,1.3121,1.3129,1.3121,1.3129
1580457600,1.3127,1.31305,1.31235,1.31295
1580458500,1.3129,1.3141,1.3129,1.31405
1580459400,1.314,1.3141,1.3136,1.3137
1580460300,1.3136,1.31405,1.31355,1.31405
1580461200,1.31395,1.314,1.31345,1.31365
1580462100,1.31365,1.31375,1.3127,1.3127
1580463000,1.31275,1.3128,1.3111,1.31145
1580463900,1.3114,1.31185,1.31075,1.3116
1580464800,1.3119,1.312,1.31135,1.3116
1580465700,1.3116,1.31205,1.31145,1.31175
1580466600,1.3117,1.3117,1.3104,1.3111
1580467500,1.3111,1.3113,1.31,1.31025
1580468400,1.31035,1.31115,1.3101,1.3109
1580469300,1.31085,1.3116,1.31085,1.3115
1580470200,1.31145,1.3118,1.3113,1.31155
1580471100,1.31155,1.31275,1.3115,1.31275
1580472000,1.3126,1.31275,1.3121,1.3122
1580472900,1.31215,1.3127,1.31215,1.3127
1580473800,1.31255,1.3131,1.31245,1.313
