time,open,high,low,close
1580261400,1.31645,1.31655,1.316,1.3161
1580262300,1.316,1.3166,1.3159,1.3165
1580263200,1.3164,1.3165,1.3159,1.3162
1580264100,1.31625,1.3165,1.316,1.3165
1580265000,1.31645,1.3165,1.3161,1.31615
1580265900,1.31625,1.3166,1.316,1.3161
1580266800,1.31635,1.31645,1.3158,1.31625
1580267700,1.3159,1.31625,1.3157,1.31615
1580268600,1.3161,1.3163,1.3158,1.31605
1580269500,1.3161,1.31615,1.3157,1.316
1580270400,1.3159,1.3162,1.3156,1.3158
1580271300,1.31615,1.3163,1.3158,1.31615
1580272200,1.31625,1.3163,1.3159,1.31625
1580273100,1.31625,1.31635,1.3159,1.3163
1580274000,1.3163,1.31635,1.3159,1.316
1580274900,1.316,1.31645,1.316,1.31635
1580275800,1.3164,1.3164,1.316,1.3163
1580276700,1.3163,1.31635,1.316,1.3161
1580277600,1.316,1.31635,1.316,1.316
1580278500,1.3159,1.31625,1.3158,1.31615
1580279400,1.31615,1.3162,1.3158,1.3159
1580280300,1.3158,1.3162,1.3158,1.3162
1580281200,1.3162,1.3168,1.316,1.3163
1580282100,1.3166,1.3169,1.3163,1.3169
1580283000,1.3169,1.31705,1.3165,1.3165
1580283900,1.3165,1.3172,1.3165,1.3172
1580284800,1.3172,1.3175,1.3166,1.3169
1580285700,1.31695,1.31715,1.3163,1.3166
1580286600,1.3166,1.3169,1.3162,1.3165
1580287500,1.31685,1.317,1.3164,1.3168
1580288400,1.3169,1.3174,1.3166,1.3169
1580289300,1.317,1.31765,1.3168,1.3174
1580290200,1.31735,1.31745,1.3169,1.317
1580291100,1.3172,1.31745,1.3169,1.317
1580292000,1.3174,1.3175,1.3168,1.3174
1580292900,1.3174,1.3179,1.3172,1.3177
1580293800,1.3177,1.31785,1.3174,1.31775
1580294700,1.31775,1.31785,1.3172,1.3175
1580295600,1.3172,1.31795,1.3172,1.3179
1580296500,1.31795,1.3182,1.3176,1.31805
1580297400,1.31795,1.3183,1.3177,1.3178
1580298300,1.3181,1.3184,1.3176,1.31785
1580299200,1.318,1.318,1.31745,1.3177
1580300100,1.3177,1.3179,1.3172,1.3175
1580301000,1.3175,1.31795,1.3171,1.3176
1580301900,1.3178,1.31825,1.3175,1.31815
1580302800,1.31815,1.31815,1.3173,1.3177
1580303700,1.3177,1.31815,1.3173,1.3177
1580304600,1.318,1.31865,1.3176,1.3186
1580305500,1.3185,1.319,1.3183,1.3186
1580306400,1.31895,1.31895,1.3182,1.3188
1580307300,1.31885,1.31895,1.3183,1.3189
1580308200,1.3186,1.3189,1.3183,1.31855
1580309100,1.3186,1.31945,1.3184,1.31925
1580310000,1.3193,1.3195,1.3188,1.3191
1580310900,1.31925,1.31965,1.3188,1.31965
1580311800,1.3193,1.3202,1.3193,1.3202
1580312700,1.32015,1.3208,1.3198,1.32035
1580313600,1.3205,1.3208,1.3198,1.32055
1580314500,1.3206,1.3208,1.3201,1.3204
1580315400,1.3205,1.3207,1.32,1.3202
1580316300,1.32035,1.32045,1.3197,1.3201
1580317200,1.3202,1.32045,1.3198,1.32035
1580318100,1.3202,1.3205,1.3199,1.32035
1580319000,1.3203,1.3205,1.32,1.3202
1580319900,1.32055,1.32055,1.3197,1.3197
1580320800,1.3197,1.32035,1.3197,1.3201
1580321700,1.3202,1.3202,1.3197,1.3201
1580322600,1.3197,1.32045,1.3196,1.32005
1580323500,1.32025,1.3208,1.3199,1.3205
1580324400,1.3205,1.321,1.3199,1.3202
1580325300,1.32,1.32035,1.3196,1.31975
1580326200,1.31985,1.3201,1.3194,1.3197
1580327100,1.3197,1.3198,1.3189,1.31935
1580328000,1.3193,1.32,1.3189,1.3197
1580328900,1.3199,1.32005,1.3193,1.31965
1580329800,1.31965,1.31985,1.3193,1.3193
1580330700,1.3196,1.32045,1.3193,1.3201
1580331600,1.3202,1.3208,1.3202,1.3203
1580332500,1.32055,1.3206,1.32,1.3203
1580333400,1.32035,1.3206,1.32,1.3201
1580334300,1.32045,1.32045,1.3195,1.3199
1580335200,1.3195,1.3199,1.3191,1.3192
1580336100,1.3192,1.3195,1.3192,1.31945
