time,open,high,low,close
1580265900,0.97385001,0.97409999,0.97375,0.9738
1580266800,0.97385001,0.97439998,0.97375,0.97439998
1580267700,0.97425002,0.97425002,0.97404999,0.97425002
1580268600,0.97425002,0.97439998,0.97409999,0.97420001
1580269500,0.97420001,0.97439998,0.97409999,0.97420001
1580270400,0.97425002,0.97455001,0.97420001,0.97430003
1580271300,0.97439998,0.9745,0.97420001,0.97430003
1580272200,0.97430003,0.97439998,0.97409999,0.97425002
1580273100,0.97420001,0.97434998,0.97395003,0.97404999
1580274000,0.97415,0.97420001,0.97395003,0.97420001
1580274900,0.97404999,0.97444999,0.97399998,0.97420001
1580275800,0.97425002,0.97425002,0.97395003,0.97404999
1580276700,0.97404999,0.97409999,0.97375,0.97385001
1580277600,0.97390002,0.97409999,0.97375,0.97385001
1580278500,0.97395003,0.97409999,0.97375,0.97399998
1580279400,0.97390002,0.97399998,0.97355002,0.97364998
1580280300,0.97364998,0.97375,0.97350001,0.97369999
1580281200,0.97369999,0.97434998,0.97369999,0.97404999
1580282100,0.97409999,0.97439998,0.97395003,0.97409999
1580283000,0.97415,0.97444999,0.97404999,0.97425002
1580283900,0.97425002,0.97439998,0.97355002,0.97364998
1580284800,0.97345001,0.97375,0.97310001,0.97375
1580285700,0.97369999,0.97430003,0.97355002,0.97390002
1580286600,0.97375,0.97399998,0.97345001,0.97345001
1580287500,0.97350001,0.97420001,0.9734,0.97395003
1580288400,0.97415,0.97460002,0.97385001,0.97390002
1580289300,0.97390002,0.97390002,0.97350001,0.97369999
1580290200,0.97369999,0.97439998,0.97369999,0.97430003
1580291100,0.97430003,0.97490001,0.97430003,0.97479999
1580292000,0.97479999,0.97500002,0.97465003,0.97465003
1580292900,0.97485,0.97500002,0.97439998,0.97490001
1580293800,0.97474998,0.97525001,0.97465003,0.97495002
1580294700,0.97500002,0.97504997,0.97474998,0.97490001
1580295600,0.97500002,0.97539997,0.97485,0.97500002
1580296500,0.97500002,0.97514999,0.97444999,0.97460002
1580297400,0.97460002,0.97490001,0.97434998,0.97474998
1580298300,0.97474998,0.97525001,0.97465003,0.97500002
1580299200,0.97504997,0.97514999,0.97465003,0.97500002
1580300100,0.97504997,0.97539997,0.97485,0.97535002
1580301000,0.97535002,0.97555,0.97514999,0.97514999
1580301900,0.97525001,0.97539997,0.97495002,0.97495002
1580302800,0.97509998,0.97535002,0.97500002,0.97525001
1580303700,0.97530001,0.97584999,0.97525001,0.97549999
1580304600,0.97549999,0.97600001,0.97549999,0.97579998
1580305500,0.97579998,0.97610003,0.97549999,0.97610003
1580306400,0.97605002,0.97649997,0.97595,0.97614998
1580307300,0.97619998,0.97659999,0.97605002,0.97649997
1580308200,0.97654998,0.97670001,0.97565001,0.97600001
1580309100,0.97600001,0.97649997,0.97530001,0.97544998
1580310000,0.97525001,0.97544998,0.97404999,0.97430003
1580310900,0.97415,0.97465003,0.97395003,0.97465003
1580311800,0.97455001,0.97490001,0.97425002,0.97444999
1580312700,0.97465003,0.97530001,0.97425002,0.97485
1580313600,0.97500002,0.97544998,0.97474998,0.9752
1580314500,0.9752,0.97539997,0.97490001,0.97530001
1580315400,0.9752,0.97535002,0.97474998,0.97479999
1580316300,0.97474998,0.97495002,0.97465003,0.97469997
1580317200,0.97469997,0.97500002,0.97455001,0.97490001
1580318100,0.97490001,0.97525001,0.97485,0.97509998
1580319000,0.97514999,0.9752,0.97444999,0.97485
1580319900,0.97485,0.97485,0.97444999,0.97469997
1580320800,0.97469997,0.97490001,0.97455001,0.97490001
1580321700,0.97495002,0.97504997,0.9745,0.97469997
1580322600,0.97474998,0.97479999,0.97444999,0.97465003
1580323500,0.97460002,0.97479999,0.97430003,0.97479999
1580324400,0.97485,0.9752,0.97444999,0.97465003
1580325300,0.97460002,0.97469997,0.97415,0.97420001
1580326200,0.97425002,0.97469997,0.97364998,0.97390002
1580327100,0.9738,0.97390002,0.97264999,0.97315001
1580328000,0.97315001,0.9738,0.97294998,0.9734
1580328900,0.9734,0.97404999,0.97320002,0.97390002
1580329800,0.97390002,0.97420001,0.97364998,0.97364998
1580330700,0.97364998,0.97430003,0.97364998,0.97404999
1580331600,0.97404999,0.97439998,0.97390002,0.97404999
1580332500,0.97404999,0.97415,0.97375,0.97395003
1580333400,0.97395003,0.97399998,0.97364998,0.97364998
1580334300,0.97364998,0.97395003,0.97310001,0.97310001
1580335200,0.97315001,0.97390002,0.97315001,0.97345001
1580336100,0.97350001,0.97364998,0.97310001,0.97320002
1580337000,0.97299999,0.97404999,0.97299999,0.97334999
1580337900,0.97345001,0.97385001,0.97334999,0.97350001
1580338800,0.97355002,0.97375,0.97315001,0.97320002
1580339700,0.97329998,0.97369999,0.97315001,0.97329998
