time,open,high,low,close
1275868800,1.4425,1.4444,1.4419,1.4422
1275869700,1.4422,1.4429,1.4404,1.4408
1275870600,1.4409,1.442,1.4399,1.4404
1275871500,1.4403,1.4459,1.4401,1.4427
1275872400,1.4428,1.4459,1.4413,1.4435
1275873300,1.4434,1.4459,1.441,1.4412
1275874200,1.4412,1.4459,1.4412,1.4429
1275875100,1.4429,1.4437,1.4412,1.4422
1275876000,1.4421,1.4429,1.441,1.4419
1275876900,1.4417,1.4429,1.4414,1.4428
1275877800,1.4428,1.4438,1.4426,1.4438
1275878700,1.4439,1.4441,1.4426,1.4431
1275879600,1.4433,1.4434,1.4426,1.4432
1275880500,1.4438,1.4439,1.4428,1.4433
1275881400,1.4426,1.4432,1.4424,1.443
1275882300,1.443,1.4436,1.4428,1.4431
1275883200,1.4434,1.4436,1.4424,1.4433
1275884100,1.4432,1.4433,1.4424,1.4428
1275885000,1.4429,1.4432,1.4426,1.4426
1275885900,1.4427,1.4448,1.4424,1.444
1275886800,1.4439,1.4459,1.4438,1.4456
1275887700,1.4455,1.4459,1.4437,1.444
1275888600,1.444,1.4441,1.4429,1.4434
1275889500,1.4433,1.4445,1.4431,1.4445
1275890400,1.4444,1.4462,1.4443,1.4443
1275891300,1.4442,1.4459,1.4423,1.4435
1275892200,1.4436,1.4459,1.4423,1.4424
1275893100,1.4427,1.4434,1.4425,1.4431
1275894000,1.4432,1.4459,1.4387,1.4395
1275894900,1.4396,1.4459,1.439,1.4421
1275895800,1.4422,1.4459,1.4416,1.4434
1275896700,1.4435,1.4436,1.4416,1.4423
1275897600,1.4424,1.4459,1.4404,1.4407
1275898500,1.4408,1.4459,1.4408,1.442
1275899400,1.4419,1.4459,1.4408,1.4418
1275900300,1.4418,1.4455,1.4417,1.4446
1275901200,1.4446,1.445,1.4429,1.444
1275902100,1.4439,1.4459,1.4427,1.4432
1275903000,1.4432,1.4459,1.4429,1.4439
1275903900,1.4439,1.447,1.4438,1.4461
1275904800,1.4462,1.4479,1.445,1.4475
1275905700,1.4476,1.4492,1.4459,1.4474
1275906600,1.4474,1.4502,1.4474,1.4495
1275907500,1.4495,1.4517,1.4459,1.4504
1275908400,1.4504,1.4514,1.4495,1.4497
1275909300,1.4496,1.4512,1.4487,1.4496
1275910200,1.4496,1.4497,1.4459,1.4484
1275911100,1.4482,1.449,1.4459,1.4485
1275912000,1.4485,1.4505,1.4459,1.4502
1275912900,1.4503,1.4521,1.4459,1.4494
1275913800,1.4494,1.4502,1.4459,1.4498
1275914700,1.4498,1.4501,1.4459,1.4487
1275915600,1.4487,1.4518,1.4459,1.4495
