time,open,high,low,close
1275868800,2.7945,2.8015,2.7855,2.788
1275869700,2.789,2.7905,2.7615,2.764
1275870600,2.76,2.7625,2.7445,2.7445
1275871500,2.7445,2.765,2.739,2.765
1275872400,2.762,2.765,2.7495,2.7505
1275873300,2.7505,2.7585,2.75,2.751
1275874200,2.751,2.755,2.749,2.749
1275875100,2.7485,2.75,2.737,2.737
1275876000,2.7365,2.7455,2.7365,2.743
1275876900,2.7415,2.7435,2.734,2.7385
1275877800,2.7395,2.744,2.737,2.7435
1275878700,2.744,2.752,2.744,2.752
1275879600,2.7495,2.7525,2.7475,2.7505
1275880500,2.753,2.753,2.739,2.74
1275881400,2.741,2.745,2.74,2.745
1275882300,2.745,2.7515,2.745,2.7495
1275883200,2.752,2.753,2.748,2.7525
1275884100,2.7515,2.7555,2.7505,2.7545
1275885000,2.751,2.7575,2.751,2.7525
1275885900,2.7525,2.76,2.751,2.76
1275886800,2.759,2.7665,2.7575,2.761
1275887700,2.7605,2.762,2.7515,2.7525
1275888600,2.753,2.7555,2.742,2.7435
1275889500,2.7445,2.7505,2.7445,2.7455
1275890400,2.746,2.7525,2.746,2.7505
1275891300,2.7515,2.7545,2.748,2.753
1275892200,2.753,2.7615,2.753,2.7615
1275893100,2.7605,2.7625,2.7465,2.747
1275894000,2.747,2.758,2.747,2.7505
1275894900,2.7505,2.756,2.7475,2.748
1275895800,2.749,2.7495,2.736,2.747
1275896700,2.7465,2.7535,2.7405,2.753
1275897600,2.7515,2.761,2.7495,2.76
1275898500,2.7605,2.7665,2.7535,2.764
1275899400,2.7625,2.772,2.761,2.7685
1275900300,2.768,2.785,2.768,2.779
1275901200,2.7785,2.7845,2.7715,2.7835
1275902100,2.782,2.789,2.776,2.7775
1275903000,2.777,2.792,2.7765,2.7845
1275903900,2.785,2.7895,2.778,2.7885
1275904800,2.7885,2.79,2.78,2.786
1275905700,2.7855,2.7945,2.7825,2.7905
1275906600,2.791,2.797,2.7895,2.793
1275907500,2.793,2.793,2.776,2.778
1275908400,2.7785,2.7875,2.778,2.782
1275909300,2.783,2.7925,2.783,2.7845
1275910200,2.7855,2.7885,2.779,2.78
1275911100,2.78,2.78,2.7725,2.776
1275912000,2.7755,2.782,2.775,2.779
1275912900,2.7775,2.783,2.7725,2.782
1275913800,2.782,2.8,2.7765,2.79
1275914700,2.7895,2.7915,2.775,2.7755
1275915600,2.776,2.789,2.776,2.777
1275916500,2.777,2.7785,2.765,2.7715
1275917400,2.771,2.7735,2.754,2.754
1275918300,2.7535,2.7715,2.7515,2.7685
1275919200,2.7685,2.783,2.766,2.777
1275920100,2.778,2.7825,2.7645,2.769
1275921000,2.77,2.7715,2.748,2.7485
1275921900,2.748,2.7535,2.7275,2.731
1275922800,2.73,2.7405,2.7285,2.73
1275923700,2.729,2.7355,2.72,2.7325
1275924600,2.7305,2.7465,2.7305,2.7465
1275925500,2.746,2.757,2.746,2.752
1275926400,2.752,2.761,2.749,2.761
1275927300,2.7615,2.764,2.7535,2.7545
1275928200,2.755,2.7625,2.755,2.7585
1275929100,2.7575,2.7685,2.7575,2.763
