time,open,high,low,close
1499637600,1414.0,1414.0,1412.0,1412.0
1499643000,1414.0,1414.0,1414.0,1414.0
1499644800,1414.9,1414.9,1414.9,1414.9
1499645700,1415.0,1415.2,1415.0,1415.2
1499651100,1413.3,1415.9,1413.3,1415.9
1499652900,1416.7,1416.7,1416.7,1416.7
1499657400,1418.9,1418.9,1418.9,1418.9
1499679900,1413.9,1413.9,1413.9,1413.9
1499687100,1412.9,1412.9,1412.9,1412.9
1499688900,1412.4,1412.5,1412.4,1412.5
1499689800,1412.3,1412.3,1411.6,1411.6
1499690700,1411.0,1411.2,1410.9,1411.0
1499691600,1410.7,1410.7,1408.2,1408.8
1499692500,1409.4,1409.6,1409.4,1409.6
1499693400,1408.5,1411.5,1407.4,1411.5
1499694300,1411.0,1411.5,1406.0,1406.0
1499695200,1405.9,1408.6,1404.8,1404.8
1499696100,1404.5,1407.9,1403.7,1407.1
1499697000,1407.0,1408.3,1404.7,1407.0
1499697900,1407.3,1407.6,1406.4,1407.2
1499698800,1407.1,1409.2,1407.0,1409.0
1499699700,1408.8,1409.6,1408.4,1408.4
1499700600,1408.5,1410.4,1408.1,1410.2
1499701500,1410.2,1412.8,1410.2,1412.7
1499702400,1412.7,1415.1,1412.7,1414.5
1499703300,1414.5,1416.0,1414.0,1415.4
1499704200,1415.6,1416.8,1415.4,1415.8
1499705100,1415.5,1417.5,1415.5,1416.8
1499706000,1417.9,1419.3,1417.4,1417.4
1499706900,1417.3,1417.5,1416.3,1416.4
1499707800,1416.4,1416.6,1414.8,1415.9
1499708700,1416.0,1416.7,1415.1,1416.4
1499709600,1416.0,1416.3,1415.5,1416.1
1499710500,1416.1,1416.5,1414.1,1414.1
1499711400,1413.6,1413.6,1412.3,1413.0
1499712300,1413.6,1413.6,1411.4,1412.0
1499713200,1411.9,1411.9,1411.0,1411.1
1499714100,1410.8,1410.9,1409.0,1410.0
1499715000,1410.5,1412.1,1409.7,1411.6
1499715900,1411.7,1411.7,1407.6,1409.0
1499716800,1408.8,1409.9,1408.1,1408.8
1499719500,1409.0,1409.0,1409.0,1409.0
1499724000,1408.6,1408.6,1408.6,1408.6
1499728500,1408.7,1408.7,1408.5,1408.5
1499731200,1409.7,1409.7,1409.7,1409.7
1499736600,1410.1,1410.1,1410.1,1410.1
1499739300,1410.6,1410.6,1410.6,1410.6
1499741100,1410.1,1410.1,1410.1,1410.1
1499744700,1410.6,1410.6,1410.6,1410.6
1499749200,1411.6,1411.6,1411.6,1411.6
1499750100,1411.4,1411.4,1411.4,1411.4
1499751900,1411.5,1411.6,1411.5,1411.6
1499756400,1410.4,1411.7,1410.0,1411.7
1499757300,1411.7,1411.7,1411.7,1411.7
1499759100,1409.9,1409.9,1409.1,1409.1
1499760000,1408.5,1408.5,1408.0,1408.1
1499761800,1408.7,1408.7,1408.7,1408.7
1499762700,1408.4,1408.4,1408.1,1408.1
1499763600,1408.2,1408.2,1408.2,1408.2
1499765400,1408.0,1408.0,1407.0,1407.1
1499767200,1405.9,1405.9,1405.9,1405.9
1499769900,1406.7,1406.7,1406.7,1406.7
1499770800,1405.4,1405.4,1404.6,1404.6
1499772600,1405.3,1405.3,1404.4,1404.4
1499773500,1404.5,1404.5,1404.5,1404.5
1499774400,1405.2,1405.8,1405.2,1405.8
1499775300,1405.0,1405.3,1404.6,1405.1
1499776200,1405.2,1406.2,1405.2,1406.0
1499777100,1406.3,1407.0,1406.1,1407.0
1499778000,1407.1,1408.1,1407.1,1408.1
1499778900,1408.4,1409.0,1407.7,1407.7
1499779800,1407.6,1410.4,1405.0,1408.5
1499780700,1408.5,1410.5,1407.7,1409.2
1499781600,1409.1,1410.5,1408.9,1410.1
1499782500,1409.9,1410.9,1408.1,1410.1
1499783400,1409.8,1412.7,1409.3,1411.8
1499784300,1412.5,1414.0,1411.4,1413.9
1499785200,1414.1,1414.1,1411.0,1411.2
1499786100,1411.1,1411.4,1400.0,1402.3
1499787000,1401.8,1409.7,1401.4,1409.5
1499787900,1409.6,1411.7,1409.2,1410.6
1499788800,1410.8,1412.6,1410.8,1412.4
1499789700,1412.1,1412.1,1409.2,1410.9
1499790600,1411.2,1411.5,1410.0,1410.8
1499791500,1411.2,1412.5,1410.4,1410.6
1499792400,1411.0,1411.8,1410.2,1410.2
1499793300,1410.5,1410.9,1409.0,1409.0
1499794200,1409.3,1411.6,1408.1,1411.6
1499795100,1411.5,1411.8,1410.6,1410.9
1499796000,1411.0,1411.6,1410.1,1410.7
1499796900,1410.5,1411.4,1409.9,1411.3
1499797800,1411.5,1411.8,1410.2,1410.2
1499798700,1410.3,1410.9,1409.5,1410.8
1499799600,1411.0,1412.0,1410.9,1411.6
1499800500,1411.8,1412.4,1411.4,1412.1
1499801400,1412.1,1413.9,1412.1,1413.3
1499802300,1412.7,1413.5,1411.3,1413.5
1499803200,1413.6,1413.7,1412.7,1412.8
1499805000,1412.9,1414.0,1412.9,1413.9
1499805900,1414.0,1414.0,1414.0,1414.0
1499814000,1413.5,1413.5,1413.5,1413.5
1499817600,1413.7,1413.7,1413.7,1413.7
