time,open,high,low,close
1275868800,17.485,17.485,17.44,17.45
1275869700,17.45,17.46,17.415,17.44
1275870600,17.44,17.455,17.4,17.405
1275871500,17.405,17.405,17.195,17.295
1275872400,17.295,17.405,17.295,17.4
1275873300,17.4,17.4,17.32,17.32
1275874200,17.32,17.36,17.3,17.36
1275875100,17.355,17.39,17.35,17.375
1275876000,17.38,17.42,17.375,17.41
1275876900,17.405,17.42,17.39,17.42
1275877800,17.42,17.42,17.39,17.415
1275878700,17.41,17.45,17.41,17.42
1275879600,17.425,17.435,17.42,17.435
1275880500,17.43,17.43,17.405,17.405
1275881400,17.405,17.405,17.385,17.4
1275882300,17.395,17.415,17.395,17.415
1275883200,17.425,17.46,17.415,17.45
1275884100,17.45,17.485,17.45,17.485
1275885000,17.485,17.5,17.445,17.48
1275885900,17.475,17.475,17.435,17.47
1275886800,17.465,17.475,17.455,17.46
1275887700,17.46,17.47,17.445,17.445
1275888600,17.44,17.445,17.415,17.42
1275889500,17.43,17.44,17.37,17.37
1275890400,17.37,17.405,17.37,17.405
1275891300,17.405,17.405,17.385,17.395
1275892200,17.395,17.44,17.395,17.42
1275893100,17.42,17.44,17.42,17.44
1275894000,17.44,17.445,17.37,17.38
1275894900,17.385,17.405,17.365,17.4
1275895800,17.4,17.41,17.38,17.38
1275896700,17.385,17.415,17.36,17.415
1275897600,17.415,17.43,17.38,17.39
1275898500,17.385,17.405,17.38,17.385
1275899400,17.4,17.415,17.39,17.395
1275900300,17.395,17.415,17.365,17.39
1275901200,17.395,17.4,17.38,17.39
1275902100,17.395,17.395,17.32,17.325
1275903000,17.325,17.345,17.295,17.34
1275903900,17.345,17.365,17.32,17.36
1275904800,17.37,17.4,17.36,17.39
1275905700,17.39,17.435,17.385,17.43
1275906600,17.425,17.455,17.42,17.44
1275907500,17.455,17.455,17.36,17.36
1275908400,17.37,17.43,17.335,17.425
1275909300,17.425,17.45,17.4,17.405
1275910200,17.415,17.445,17.4,17.4
1275911100,17.4,17.435,17.39,17.415
1275912000,17.415,17.415,17.33,17.34
1275912900,17.345,17.415,17.325,17.41
1275913800,17.405,17.42,17.385,17.395
1275914700,17.4,17.415,17.365,17.385
1275915600,17.38,17.385,17.32,17.34
1275916500,17.335,17.365,17.3,17.32
1275917400,17.315,17.36,17.31,17.34
1275918300,17.345,17.39,17.345,17.39
1275919200,17.395,17.415,17.355,17.4
