time,open,high,low,close
1275868800,124.53125,124.6875,124.46875,124.65625
1275869700,124.65625,124.71875,124.59375,124.65625
1275870600,124.65625,124.78125,124.65625,124.78125
1275871500,124.78125,124.78125,124.59375,124.59375
1275872400,124.59375,124.625,124.5625,124.625
1275873300,124.625,124.65625,124.5625,124.65625
1275874200,124.65625,124.6875,124.59375,124.59375
1275875100,124.59375,124.625,124.5625,124.625
1275876000,124.625,124.6875,124.59375,124.59375
1275876900,124.59375,124.6875,124.59375,124.65625
1275877800,124.65625,124.65625,124.5625,124.5625
1275878700,124.5625,124.59375,124.5625,124.59375
1275879600,124.59375,124.625,124.59375,124.59375
1275880500,124.59375,124.625,124.5625,124.625
1275881400,124.625,124.625,124.5625,124.59375
1275882300,124.59375,124.625,124.5625,124.59375
1275883200,124.59375,124.625,124.59375,124.59375
1275884100,124.59375,124.59375,124.59375,124.59375
1275885000,124.59375,124.59375,124.4375,124.5
1275885900,124.5,124.53125,124.46875,124.46875
1275886800,124.5,124.53125,124.4375,124.46875
1275887700,124.46875,124.59375,124.46875,124.53125
1275888600,124.5625,124.59375,124.5625,124.59375
1275889500,124.5625,124.65625,124.5625,124.65625
1275890400,124.625,124.65625,124.53125,124.625
1275891300,124.625,124.6875,124.5625,124.59375
1275892200,124.59375,124.625,124.46875,124.46875
1275893100,124.4375,124.46875,124.375,124.375
1275894000,124.375,124.4375,124.28125,124.40625
1275894900,124.40625,124.4375,124.3125,124.375
1275895800,124.375,124.46875,124.34375,124.4375
1275896700,124.46875,124.5,124.375,124.40625
1275897600,124.40625,124.46875,124.375,124.375
1275898500,124.375,124.40625,124.34375,124.40625
1275899400,124.40625,124.40625,124.25,124.3125
1275900300,124.28125,124.3125,124.03125,124.09375
1275901200,124.09375,124.21875,124.09375,124.1875
1275902100,124.15625,124.21875,124.125,124.1875
1275903000,124.1875,124.1875,124.0625,124.09375
1275903900,124.125,124.15625,123.96875,124.0
1275904800,124.0,124.0625,124.0,124.03125
1275905700,124.0625,124.09375,123.9375,124.03125
1275906600,124.0,124.09375,124.0,124.09375
1275907500,124.09375,124.21875,124.0625,124.0625
1275908400,124.0625,124.0625,123.96875,124.0625
1275909300,124.03125,124.03125,123.875,123.90625
1275910200,123.875,123.90625,123.8125,123.84375
1275911100,123.875,124.125,123.875,123.96875
1275912000,123.96875,124.09375,123.90625,123.96875
1275912900,123.96875,123.96875,123.71875,123.78125
1275913800,123.8125,123.875,123.6875,123.75
1275914700,123.75,123.96875,123.71875,123.90625
1275915600,123.90625,124.09375,123.78125,124.0625
