dataset,stage,feature,operator,lower,upper,value,label,rule,before_trades,after_trades,before_win_rate_pct,after_win_rate_pct,posterior_mean_pct,posterior_lower_95_pct,posterior_upper_95_pct,avg_pnl_points,profit_factor
momentum,1,atr_pct,<=,,0.0010020408326218452,,bottom 20%,atr_pct <= 0.00100204 (bottom 20%),1100,220,59.36363636363636,70.9090909090909,70.40711462450592,64.52068426003821,76.29354498897365,1.2399999999999987,1.513839575818648
momentum,2,lower_wick_atr,<=,,0.08590771225231394,,bottom 20%,lower_wick_atr <= 0.0859077 (bottom 20%),220,44,70.9090909090909,88.63636363636364,85.35353535353536,76.00912530843344,94.69794539863729,3.3151136363636313,3.6690759377859017
momentum,3,range_atr,<=,,1.3207867734019803,,bottom 70%,range_atr <= 1.32079 (bottom 70%),44,31,88.63636363636364,96.7741935483871,94.78935698447893,88.0680013510867,100.0,3.937580645161292,10.212452830188683
mean_reversion,1,atr_regime,<=,,0.9249572512232567,,bottom 20%,atr_regime <= 0.924957 (bottom 20%),844,169,47.39336492890995,62.721893491124256,61.865551113346925,54.76972443316339,68.96137779353046,3.0594970414201175,1.6999099824702704
mean_reversion,2,trade_ema_gap,>=,-2.0541152558426483,,,top 40%,trade_ema_gap >= -2.05412 (top 40%),169,68,62.721893491124256,75.0,73.42588378091335,63.685041040599955,83.16672652122676,2.2246323529411645,2.002153030804898
mean_reversion,3,body_atr,<=,,0.008073200701825663,,bottom 40%,body_atr <= 0.0080732 (bottom 40%),68,27,75.0,88.88888888888889,85.13513513513513,73.82418284247008,96.4460874278002,4.432222222222225,4.010566037735851
naked_long_4bar,1,pos12,<=,,0.12160726251637788,,bottom 10%,pos12 <= 0.121607 (bottom 10%),69752,6976,51.988473448789996,55.174885321100916,55.17032418186199,54.004196065134444,56.33645229858955,0.24607110091742848,1.1427568127276517
naked_long_4bar,2,roll12_atr,<=,,2.694332990946405,,bottom 30%,roll12_atr <= 2.69433 (bottom 30%),6976,2093,55.174885321100916,57.62064022933588,57.609010391446034,55.49739320190689,59.72062758098519,0.34634352603917656,1.2966113172682165
naked_long_4bar,3,roll48_atr,>=,11.230663459186179,,,top 9%,roll48_atr >= 11.2307 (top 9%),2093,210,57.62064022933588,67.14285714285714,66.71002910133346,60.49687382666974,72.92318437599718,0.7015952380952469,2.3102267674522143
naked_short_4bar,1,pos12,>=,0.9165283764815424,,,top 9%,pos12 >= 0.916528 (top 9%),69752,6976,47.936976717513474,51.132454128440365,51.127880012478556,49.95576512644447,52.29999489851265,-0.09693807339449291,0.9487376968653172
naked_short_4bar,2,roll96_atr,<=,,8.491035725024165,,bottom 20%,roll96_atr <= 8.49104 (bottom 20%),6976,1396,51.132454128440365,54.44126074498568,54.41772726976131,51.81530833496393,57.020146204558685,0.07198925501432768,1.0433222473925055
naked_short_4bar,3,hour_sin,<=,,-0.9659258262890683,,bottom 10%,hour_sin <= -0.965926 (bottom 10%),1396,153,54.44126074498568,66.66666666666666,65.91664176349606,58.66221879207486,73.17106473491725,0.8758823529411779,1.8309924658171424
