dataset,stage,feature,operator,lower,upper,value,label,rule,before_trades,after_trades,before_win_rate_pct,after_win_rate_pct,posterior_mean_pct,posterior_lower_95_pct,posterior_upper_95_pct,avg_pnl_points,profit_factor
momentum,1,atr_pct,<=,,0.0010020408326218452,,bottom 20%,atr_pct <= 0.00100204 (bottom 20%),1100,220,59.36363636363636,70.9090909090909,70.85684903331962,64.87908517528494,76.8346128913543,1.2399999999999987,1.513839575818648
momentum,2,lower_wick_atr,<=,,0.08590771225231394,,bottom 20%,lower_wick_atr <= 0.0859077 (bottom 20%),220,44,70.9090909090909,88.63636363636364,88.24242424242425,78.93403010951963,97.55081837532886,3.3151136363636313,3.6690759377859017
momentum,3,trade_rsi14,<=,,-0.18640695983156588,,bottom 40%,trade_rsi14 <= -0.186407 (bottom 40%),44,18,88.63636363636364,100.0,99.4019138755981,96.02266397146136,100.0,6.385277777777775,inf
momentum,4,hour_cos,<=,,-0.8660254037844387,,bottom 20%,hour_cos <= -0.866025 (bottom 20%),18,5,100.0,100.0,100.0,100.0,100.0,9.423999999999978,inf
mean_reversion,1,atr_regime,<=,,0.9249572512232567,,bottom 20%,atr_regime <= 0.924957 (bottom 20%),844,169,47.39336492890995,62.721893491124256,62.631725676052405,55.380578395197546,69.88287295690728,3.0594970414201175,1.6999099824702704
mean_reversion,2,pos96,>=,0.7509220484994401,,,top 19%,pos96 >= 0.750922 (top 19%),169,34,62.721893491124256,79.41176470588235,78.93491124260355,65.61439580674755,92.25542667845954,8.794117647058837,4.678641732283471
mean_reversion,3,trade_signal_extension,<=,,2.4235998301875896,,bottom 30%,trade_signal_extension <= 2.4236 (bottom 30%),34,10,79.41176470588235,100.0,98.1283422459893,90.46045181867565,100.0,14.794500000000108,inf
mean_reversion,4,roll48_atr,>=,6.753595562995903,,,top 50%,roll48_atr >= 6.7536 (top 50%),10,5,100.0,100.0,100.0,100.0,100.0,23.411000000000058,inf
naked_long_4bar,1,pos12,<=,,0.12160726251637788,,bottom 10%,pos12 <= 0.121607 (bottom 10%),69752,6976,51.988473448789996,55.174885321100916,55.17442861881163,54.00755874328242,56.341298494340855,0.24607110091742848,1.1427568127276517
naked_long_4bar,2,roll12_atr,<=,,2.694332990946405,,bottom 30%,roll12_atr <= 2.69433 (bottom 30%),6976,2093,55.174885321100916,57.62064022933588,57.61947224704923,55.50339325297375,59.73555124112471,0.34634352603917656,1.2966113172682165
naked_long_4bar,3,roll48_atr,>=,11.230663459186179,,,top 9%,roll48_atr >= 11.2307 (top 9%),2093,210,57.62064022933588,67.14285714285714,67.09772815274567,60.772808805939405,73.42264749955194,0.7015952380952469,2.3102267674522143
naked_long_4bar,4,range_atr,<=,,0.3687620323012592,,bottom 20%,range_atr <= 0.368762 (bottom 20%),210,42,67.14285714285714,85.71428571428571,85.28239202657807,74.81404683525051,95.75073721790562,1.0382142857142644,22.014457831326713
naked_long_4bar,5,atr_regime,<=,,0.8492437150643447,,bottom 60%,atr_regime <= 0.849244 (bottom 60%),42,25,85.71428571428571,96.0,95.6043956043956,87.87185126594606,100.0,1.365199999999959,82.26190476188823
naked_short_4bar,1,pos12,>=,0.9165283764815424,,,top 9%,pos12 >= 0.916528 (top 9%),69752,6976,47.936976717513474,51.132454128440365,51.13199612680487,49.95912778939684,52.3048644642129,-0.09693807339449291,0.9487376968653172
naked_short_4bar,2,roll96_atr,<=,,8.491035725024165,,bottom 20%,roll96_atr <= 8.49104 (bottom 20%),6976,1396,51.132454128440365,54.44126074498568,54.438892236312405,51.828208505644525,57.04957596698029,0.07198925501432768,1.0433222473925055
naked_short_4bar,3,hour_sin,<=,,-0.9659258262890683,,bottom 10%,hour_sin <= -0.965926 (bottom 10%),1396,153,54.44126074498568,66.66666666666666,66.58728091392848,59.16150614648349,74.01305568137347,0.8758823529411779,1.8309924658171424
naked_short_4bar,4,dow_cos,>=,1.0,,,top 9%,dow_cos >= 1 (top 9%),153,26,66.66666666666666,88.46153846153845,87.65432098765432,75.46944225934796,99.83919971596069,2.120384615384576,29.199488491049117
