dataset,stage,split,keep_rate_pct,confidence_pct,confidence_lower_95_pct,confidence_upper_95_pct,trades,wins,losses,win_rate_pct,avg_pnl_points,profit_factor
momentum,0,in_sample_all,100.0,69.1198951736187,68.34735792598505,69.89243242125234,13737,9495,4242,69.1198951736187,0.06515951355101095,1.0360147172108505
momentum,1,in_sample_all,20.950717041566573,94.15391451725378,93.29705110581253,95.01077792869502,2878,2710,168,94.1626129256428,2.4745325078423286,44.35686960835098
momentum,2,in_sample_all,8.378830894664047,98.32388879789377,97.58288172127737,99.06489587451016,1151,1132,19,98.34926151172894,2.7407397362468147,237.1976162742164
mean_reversion,0,in_sample_all,100.0,70.34306497591663,69.45557667059768,71.23055328123559,10173,7156,3017,70.34306497591665,0.07602501112993901,1.0312003994477792
mean_reversion,1,in_sample_all,20.70185785903863,96.7111262766853,95.949779369046,97.4724731843246,2106,2037,69,96.72364672364672,4.101443482053122,183.51375749597435
mean_reversion,2,in_sample_all,14.489334512926375,99.9798936033735,99.9075606245837,100.0,1474,1474,0,100.0,5.0996324857135225,inf
naked_long_4bar,0,in_sample_all,100.0,48.814941557627094,48.66422448943531,48.965658625818875,422553,206269,216284,48.81494155762709,0.00809219233987896,1.016109737530415
naked_long_4bar,1,in_sample_all,6.631594143219904,51.64503496918809,51.059940714098474,52.2301292242777,28022,14472,13550,51.64513596459924,0.028044390569901337,1.047460476921452
naked_long_4bar,2,in_sample_all,1.3401869114643608,54.74025687527501,53.444076110814066,56.03643763973595,5663,3100,2563,54.74130319618576,0.09581979569248408,1.206974699864583
naked_short_4bar,0,in_sample_all,100.0,47.533682165314175,47.38310626424153,47.684258066386825,422553,200855,221698,47.533682165314175,-0.00809219233987896,0.9841456715397998
naked_short_4bar,1,in_sample_all,10.00158559991291,50.38088951759613,49.90420815152407,50.85757088366819,42262,21292,20970,50.380956887984475,0.02982809588431666,1.059649297270187
naked_short_4bar,2,in_sample_all,2.1128710481288735,52.956381866072945,51.92114470644324,53.99161902570264,8928,4728,4200,52.956989247311824,0.058576948361265535,1.1806683609699313
