market,symbol,phase,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held
futures,SI,momentum,long,272239,272240,272307,2022-01-10 12:30:00+00:00,2022-01-10 12:45:00+00:00,2022-01-11 06:30:00+00:00,22.36,22.68,64.00000000000006,61.00000000000006,0.1212723658051691,150,500,3.0,signal,67
futures,ES,mean_reversion,long,271252,271253,271259,2022-01-11 16:00:00+00:00,2022-01-11 16:15:00+00:00,2022-01-11 17:45:00+00:00,4661.75,4682.0,81.0,78.0,0.1550695825049702,200,500,3.0,signal,6
futures,YM,mean_reversion,long,271401,271402,271420,2022-01-11 16:15:00+00:00,2022-01-11 16:30:00+00:00,2022-01-11 21:00:00+00:00,35905.0,36131.0,226.0,223.0,0.4433399602385686,300,500,3.0,signal,18
futures,CL,momentum,short,274126,274127,274168,2022-01-20 10:15:00+00:00,2022-01-20 10:30:00+00:00,2022-01-20 20:45:00+00:00,85.75,84.68,106.99999999999932,103.99999999999932,0.2067594433399588,500,500,3.0,signal,41
futures,CL,momentum,short,274232,274233,274238,2022-01-21 13:45:00+00:00,2022-01-21 14:00:00+00:00,2022-01-21 15:15:00+00:00,85.12,84.08,104.00000000000064,101.00000000000064,0.2007952286282318,500,500,3.0,signal,5
futures,SI,momentum,short,273132,273133,273141,2022-01-24 08:15:00+00:00,2022-01-24 08:30:00+00:00,2022-01-24 10:30:00+00:00,24.315,24.125,38.000000000000256,35.000000000000256,0.0695825049701794,150,500,3.0,signal,8
futures,CL,momentum,short,274423,274424,274965,2022-01-25 15:30:00+00:00,2022-01-25 15:45:00+00:00,2022-02-02 13:00:00+00:00,84.42,89.42,-500.0,-503.0,-1.0,500,500,3.0,sl,541
futures,SI,momentum,short,273267,273268,273340,2022-01-25 19:00:00+00:00,2022-01-25 19:15:00+00:00,2022-01-26 14:15:00+00:00,23.995,23.805,38.000000000000256,35.000000000000256,0.0695825049701794,150,500,3.0,signal,72
futures,ES,mean_reversion,long,272184,272185,272222,2022-01-26 00:00:00+00:00,2022-01-26 00:15:00+00:00,2022-01-26 09:30:00+00:00,4355.5,4405.5,200.0,197.0,0.3916500994035785,200,500,3.0,tp,37
futures,SI,momentum,short,273360,273361,273362,2022-01-26 19:15:00+00:00,2022-01-26 19:30:00+00:00,2022-01-26 19:45:00+00:00,23.935,23.66,54.99999999999972,51.99999999999972,0.1033797216699795,150,500,3.0,signal,1
futures,ES,mean_reversion,short,272345,272346,272349,2022-01-27 17:15:00+00:00,2022-01-27 17:30:00+00:00,2022-01-27 18:15:00+00:00,4357.0,4307.0,200.0,197.0,0.3916500994035785,200,500,3.0,tp,3
futures,ES,mean_reversion,long,272423,272424,272434,2022-01-28 13:45:00+00:00,2022-01-28 14:00:00+00:00,2022-01-28 16:30:00+00:00,4313.75,4363.75,200.0,197.0,0.3916500994035785,200,500,3.0,tp,10
futures,SI,momentum,short,273672,273673,273875,2022-02-01 05:15:00+00:00,2022-02-01 05:30:00+00:00,2022-02-03 10:00:00+00:00,22.555,22.425,25.9999999999998,22.9999999999998,0.04572564612326,150,500,3.0,signal,202
futures,CL,momentum,short,275062,275063,275155,2022-02-03 14:15:00+00:00,2022-02-03 14:30:00+00:00,2022-02-04 14:30:00+00:00,87.69,92.69,-500.0,-503.0,-1.0,500,500,3.0,sl,92
futures,YM,mean_reversion,long,272972,272973,273149,2022-02-03 23:00:00+00:00,2022-02-03 23:15:00+00:00,2022-02-07 20:15:00+00:00,35163.0,35203.0,40.0,37.0,0.073558648111332,300,500,3.0,signal,176
