market,symbol,phase,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held
futures,SI,momentum,long,3154,3155,3344,2023-12-15 13:30:00+00:00,2023-12-15 13:45:00+00:00,2023-12-19 15:00:00+00:00,24.145,24.44,59.00000000000034,56.00000000000034,0.1113320079522869,500,500,3.0,signal,189
futures,ZN,mean_reversion,short,3342,3343,3576,2023-12-19 14:15:00+00:00,2023-12-19 14:30:00+00:00,2023-12-22 03:45:00+00:00,112.40625,112.59375,-12.0,-15.0,-0.2830188679245283,15,50,3.0,signal,233
futures,CL,momentum,long,3468,3469,3577,2023-12-20 20:45:00+00:00,2023-12-20 21:00:00+00:00,2023-12-22 02:00:00+00:00,73.76,74.41,64.99999999999915,61.99999999999915,0.2046204620462018,500,300,3.0,signal,108
futures,ZN,mean_reversion,short,3622,3623,3632,2023-12-22 15:15:00+00:00,2023-12-22 15:30:00+00:00,2023-12-22 17:45:00+00:00,112.703125,112.53125,11.0,8.0,0.1509433962264151,15,50,3.0,signal,9
futures,SI,momentum,long,3623,3624,4811,2023-12-22 15:45:00+00:00,2023-12-22 16:00:00+00:00,2024-01-12 13:45:00+00:00,24.67,23.485,-237.00000000000043,-240.00000000000043,-0.4771371769383707,500,500,3.0,signal,1187
futures,CL,momentum,short,3710,3711,3879,2023-12-26 12:15:00+00:00,2023-12-26 12:30:00+00:00,2023-12-28 08:30:00+00:00,73.99,73.58,40.99999999999966,37.99999999999966,0.1254125412541243,500,300,3.0,signal,168
futures,ZN,mean_reversion,long,3750,3751,3762,2023-12-27 01:15:00+00:00,2023-12-27 01:30:00+00:00,2023-12-27 04:15:00+00:00,112.703125,112.71875,1.0,-2.0,-0.0377358490566037,15,50,3.0,signal,11
futures,ZN,mean_reversion,short,3904,3905,3920,2023-12-28 16:45:00+00:00,2023-12-28 17:00:00+00:00,2023-12-28 20:45:00+00:00,113.015625,112.96875,3.0,0.0,0.0,15,50,3.0,signal,15
futures,YM,mean_reversion,long,4001,4002,4021,2023-12-29 18:00:00+00:00,2023-12-29 18:15:00+00:00,2024-01-02 00:00:00+00:00,37954.0,38025.0,71.0,68.0,0.1351888667992047,500,500,3.0,signal,19
futures,ZN,mean_reversion,short,4240,4241,4248,2024-01-04 08:45:00+00:00,2024-01-04 09:00:00+00:00,2024-01-04 10:45:00+00:00,112.40625,112.234375,11.0,8.0,0.1509433962264151,15,50,3.0,signal,7
futures,CL,momentum,long,4644,4645,4737,2024-01-10 15:45:00+00:00,2024-01-10 16:00:00+00:00,2024-01-11 16:00:00+00:00,72.21,73.68,147.0000000000013,144.0000000000013,0.4752475247524795,500,300,3.0,signal,92
futures,ES,mean_reversion,short,4839,4840,4928,2024-01-12 20:15:00+00:00,2024-01-12 20:30:00+00:00,2024-01-16 00:30:00+00:00,4812.0,4804.5,30.0,27.0,0.0536779324055666,500,500,3.0,signal,88
futures,CL,momentum,short,5005,5006,5011,2024-01-16 16:30:00+00:00,2024-01-16 16:45:00+00:00,2024-01-16 18:00:00+00:00,72.75,72.12,62.999999999999545,59.999999999999545,0.1980198019801965,500,300,3.0,signal,5
futures,CL,momentum,long,5171,5172,5180,2024-01-18 12:00:00+00:00,2024-01-18 12:15:00+00:00,2024-01-18 14:15:00+00:00,72.57,73.25,68.00000000000068,65.00000000000068,0.2145214521452167,500,300,3.0,signal,8
futures,SI,momentum,short,5176,5177,5267,2024-01-18 15:30:00+00:00,2024-01-18 15:45:00+00:00,2024-01-19 15:15:00+00:00,22.78,22.67,21.999999999999886,18.999999999999886,0.037773359840954,500,500,3.0,signal,90
futures,CL,momentum,short,5347,5348,5639,2024-01-22 10:00:00+00:00,2024-01-22 10:15:00+00:00,2024-01-25 14:00:00+00:00,73.38,76.38,-300.0,-303.0,-1.0,500,300,3.0,sl,291
futures,YM,mean_reversion,long,5623,5624,5655,2024-01-25 13:30:00+00:00,2024-01-25 13:45:00+00:00,2024-01-25 21:30:00+00:00,38047.0,38174.0,127.0,124.0,0.246520874751491,500,500,3.0,signal,31
futures,SI,momentum,long,5723,5724,5755,2024-01-26 14:15:00+00:00,2024-01-26 14:30:00+00:00,2024-01-28 23:15:00+00:00,22.855,23.06,40.99999999999966,37.99999999999966,0.0755467196819078,500,500,3.0,signal,31
futures,SI,momentum,long,5760,5761,5822,2024-01-29 00:30:00+00:00,2024-01-29 00:45:00+00:00,2024-01-29 16:00:00+00:00,22.93,23.065,27.000000000000316,24.000000000000316,0.0477137176938376,500,500,3.0,signal,61
futures,ES,mean_reversion,short,5793,5794,5953,2024-01-29 09:45:00+00:00,2024-01-29 10:00:00+00:00,2024-01-31 03:45:00+00:00,4913.5,4930.5,-68.0,-71.0,-0.1411530815109344,500,500,3.0,signal,159
