market,symbol,phase,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held
futures,ES,mean_reversion,long,271252,271253,271259,2022-01-11 16:00:00+00:00,2022-01-11 16:15:00+00:00,2022-01-11 17:45:00+00:00,4661.75,4682.0,81.0,78.0,0.1550695825049702,200,500,3.0,signal,6
futures,YM,mean_reversion,long,271401,271402,271420,2022-01-11 16:15:00+00:00,2022-01-11 16:30:00+00:00,2022-01-11 21:00:00+00:00,35905.0,36131.0,226.0,223.0,0.4433399602385686,300,500,3.0,signal,18
futures,ES,mean_reversion,long,272184,272185,272222,2022-01-26 00:00:00+00:00,2022-01-26 00:15:00+00:00,2022-01-26 09:30:00+00:00,4355.5,4405.5,200.0,197.0,0.3916500994035785,200,500,3.0,tp,37
futures,ES,mean_reversion,short,272345,272346,272349,2022-01-27 17:15:00+00:00,2022-01-27 17:30:00+00:00,2022-01-27 18:15:00+00:00,4357.0,4307.0,200.0,197.0,0.3916500994035785,200,500,3.0,tp,3
futures,ES,mean_reversion,long,272423,272424,272434,2022-01-28 13:45:00+00:00,2022-01-28 14:00:00+00:00,2022-01-28 16:30:00+00:00,4313.75,4363.75,200.0,197.0,0.3916500994035785,200,500,3.0,tp,10
futures,YM,mean_reversion,long,272972,272973,273149,2022-02-03 23:00:00+00:00,2022-02-03 23:15:00+00:00,2022-02-07 20:15:00+00:00,35163.0,35203.0,40.0,37.0,0.073558648111332,300,500,3.0,signal,176
futures,ES,mean_reversion,long,273995,273996,274048,2022-02-22 19:45:00+00:00,2022-02-22 20:00:00+00:00,2022-02-23 10:00:00+00:00,4312.75,4335.0,89.0,86.0,0.1709741550695825,200,500,3.0,signal,52
futures,ES,mean_reversion,long,274077,274078,274112,2022-02-23 17:15:00+00:00,2022-02-23 17:30:00+00:00,2022-02-24 03:00:00+00:00,4304.0,4179.0,-500.0,-503.0,-1.0,200,500,3.0,sl,34
futures,YM,mean_reversion,long,274807,274808,274898,2022-03-04 01:45:00+00:00,2022-03-04 02:00:00+00:00,2022-03-07 01:30:00+00:00,33611.0,33111.0,-500.0,-503.0,-1.0,300,500,3.0,sl,90
futures,ES,mean_reversion,long,274659,274660,274824,2022-03-04 01:45:00+00:00,2022-03-04 02:00:00+00:00,2022-03-07 20:00:00+00:00,4336.75,4211.75,-500.0,-503.0,-1.0,200,500,3.0,sl,164
futures,YM,mean_reversion,short,276888,276889,276896,2022-04-05 15:00:00+00:00,2022-04-05 15:15:00+00:00,2022-04-05 17:00:00+00:00,34800.0,34739.0,61.0,58.0,0.1153081510934393,300,500,3.0,signal,7
futures,ES,mean_reversion,long,277395,277396,277522,2022-04-14 17:45:00+00:00,2022-04-14 18:00:00+00:00,2022-04-19 03:30:00+00:00,4421.5,4405.5,-64.0,-67.0,-0.1332007952286282,200,500,3.0,signal,126
