market,symbol,phase,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held
futures,ZN,mean_reversion,short,3342,3343,3576,2023-12-19 14:15:00+00:00,2023-12-19 14:30:00+00:00,2023-12-22 03:45:00+00:00,112.40625,112.59375,-12.0,-15.0,-0.2830188679245283,15,50,3.0,signal,233
futures,ZN,mean_reversion,short,3622,3623,3632,2023-12-22 15:15:00+00:00,2023-12-22 15:30:00+00:00,2023-12-22 17:45:00+00:00,112.703125,112.53125,11.0,8.0,0.1509433962264151,15,50,3.0,signal,9
futures,ZN,mean_reversion,long,3750,3751,3762,2023-12-27 01:15:00+00:00,2023-12-27 01:30:00+00:00,2023-12-27 04:15:00+00:00,112.703125,112.71875,1.0,-2.0,-0.0377358490566037,15,50,3.0,signal,11
futures,ZN,mean_reversion,short,3904,3905,3920,2023-12-28 16:45:00+00:00,2023-12-28 17:00:00+00:00,2023-12-28 20:45:00+00:00,113.015625,112.96875,3.0,0.0,0.0,15,50,3.0,signal,15
futures,YM,mean_reversion,long,4001,4002,4021,2023-12-29 18:00:00+00:00,2023-12-29 18:15:00+00:00,2024-01-02 00:00:00+00:00,37954.0,38025.0,71.0,68.0,0.1351888667992047,500,500,3.0,signal,19
futures,ZN,mean_reversion,short,4240,4241,4248,2024-01-04 08:45:00+00:00,2024-01-04 09:00:00+00:00,2024-01-04 10:45:00+00:00,112.40625,112.234375,11.0,8.0,0.1509433962264151,15,50,3.0,signal,7
futures,ES,mean_reversion,short,4839,4840,4928,2024-01-12 20:15:00+00:00,2024-01-12 20:30:00+00:00,2024-01-16 00:30:00+00:00,4812.0,4804.5,30.0,27.0,0.0536779324055666,500,500,3.0,signal,88
futures,YM,mean_reversion,long,5623,5624,5655,2024-01-25 13:30:00+00:00,2024-01-25 13:45:00+00:00,2024-01-25 21:30:00+00:00,38047.0,38174.0,127.0,124.0,0.246520874751491,500,500,3.0,signal,31
futures,ES,mean_reversion,short,5793,5794,5953,2024-01-29 09:45:00+00:00,2024-01-29 10:00:00+00:00,2024-01-31 03:45:00+00:00,4913.5,4930.5,-68.0,-71.0,-0.1411530815109344,500,500,3.0,signal,159
futures,YM,mean_reversion,short,6265,6266,6277,2024-02-05 13:00:00+00:00,2024-02-05 13:15:00+00:00,2024-02-05 16:00:00+00:00,38671.0,38338.0,333.0,330.0,0.6560636182902585,500,500,3.0,signal,11
futures,ES,mean_reversion,long,6935,6936,6944,2024-02-14 19:15:00+00:00,2024-02-14 19:30:00+00:00,2024-02-14 21:30:00+00:00,4995.75,5021.25,102.0,99.0,0.1968190854870775,500,500,3.0,signal,8
futures,ZN,mean_reversion,short,7362,7363,7371,2024-02-21 15:15:00+00:00,2024-02-21 15:30:00+00:00,2024-02-21 17:30:00+00:00,109.921875,109.71875,13.0,10.0,0.1886792452830188,15,50,3.0,signal,8
futures,ZN,mean_reversion,short,7636,7637,7645,2024-02-26 14:45:00+00:00,2024-02-26 15:00:00+00:00,2024-02-26 17:00:00+00:00,109.84375,109.609375,15.0,12.0,0.2264150943396226,15,50,3.0,tp,8
futures,YM,mean_reversion,long,8095,8096,8109,2024-03-04 14:30:00+00:00,2024-03-04 14:45:00+00:00,2024-03-04 18:00:00+00:00,39034.0,39082.0,48.0,45.0,0.0894632206759443,500,500,3.0,signal,13
futures,YM,mean_reversion,short,9031,9032,9048,2024-03-18 17:30:00+00:00,2024-03-18 17:45:00+00:00,2024-03-18 22:45:00+00:00,39234.0,39230.0,4.0,1.0,0.0019880715705765,500,500,3.0,signal,16
futures,YM,mean_reversion,long,9104,9105,9114,2024-03-19 12:45:00+00:00,2024-03-19 13:00:00+00:00,2024-03-19 15:15:00+00:00,39190.0,39389.0,199.0,196.0,0.3896620278330019,500,500,3.0,signal,9
futures,ZN,mean_reversion,long,9103,9104,9128,2024-03-19 12:45:00+00:00,2024-03-19 13:00:00+00:00,2024-03-19 19:00:00+00:00,110.078125,110.125,3.0,0.0,0.0,15,50,3.0,signal,24
futures,ZN,mean_reversion,short,9765,9766,9839,2024-03-28 17:15:00+00:00,2024-03-28 17:30:00+00:00,2024-04-01 12:45:00+00:00,110.734375,110.5,15.0,12.0,0.2264150943396226,15,50,3.0,tp,73
futures,ES,mean_reversion,long,10055,10056,10068,2024-04-03 20:15:00+00:00,2024-04-03 20:30:00+00:00,2024-04-04 00:30:00+00:00,5270.5,5276.75,25.0,22.0,0.0437375745526839,500,500,3.0,signal,12
futures,YM,mean_reversion,short,10121,10122,10139,2024-04-04 14:00:00+00:00,2024-04-04 14:15:00+00:00,2024-04-04 18:30:00+00:00,39619.0,39229.0,390.0,387.0,0.7693836978131213,500,500,3.0,signal,17
futures,ES,mean_reversion,short,10252,10253,10403,2024-04-08 00:30:00+00:00,2024-04-08 00:45:00+00:00,2024-04-09 15:15:00+00:00,5249.75,5221.75,112.0,109.0,0.2166998011928429,500,500,3.0,signal,150
futures,YM,mean_reversion,short,11049,11050,11058,2024-04-18 16:00:00+00:00,2024-04-18 16:15:00+00:00,2024-04-18 18:15:00+00:00,38160.0,37937.0,223.0,220.0,0.4373757455268389,500,500,3.0,signal,8
futures,ES,mean_reversion,long,11234,11235,11244,2024-04-22 16:00:00+00:00,2024-04-22 16:15:00+00:00,2024-04-22 18:30:00+00:00,5030.5,5073.5,172.0,169.0,0.3359840954274354,500,500,3.0,signal,9
futures,ES,mean_reversion,short,12972,12973,13268,2024-05-17 13:30:00+00:00,2024-05-17 13:45:00+00:00,2024-05-22 18:30:00+00:00,5318.0,5308.75,37.0,34.0,0.0675944333996023,500,500,3.0,signal,295
futures,ZN,mean_reversion,long,13321,13322,13577,2024-05-23 09:15:00+00:00,2024-05-23 09:30:00+00:00,2024-05-28 08:15:00+00:00,109.09375,108.875,-14.0,-17.0,-0.320754716981132,15,50,3.0,signal,255
