market,symbol,strategy,variant_id,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,size_multiplier,dollars_per_unit,pnl_dollars,risk_dollars,target_dollars,session_key,selection_key
futures,CL,ict_turtle_soup,ict_turtle_soup|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=18,long,121734,121735,121735,2024-01-02 14:30:00+00:00,2024-01-02 14:45:00+00:00,2024-01-02 14:45:00+00:00,71.68,71.39943575947818,-28.05642405218265,-31.05642405218265,-1.0,42.084636078274684,28.05642405218265,3.0,sl,1,1,1.0,-31.05642405218265,31.05642405218265,42.084636078274684,2024-01-02,CL	ict_turtle_soup	ict_turtle_soup|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=18
futures,GC,ict_turtle_soup,ict_turtle_soup|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=18,long,121478,121479,121482,2024-01-02 14:30:00+00:00,2024-01-02 14:45:00+00:00,2024-01-02 15:30:00+00:00,2074.7,2070.7337490350765,-39.66250964923347,-42.66250964923347,-1.0,59.493764473850206,39.66250964923347,3.0,sl,3,1,1.0,-42.66250964923347,42.66250964923347,59.493764473850206,2024-01-02,GC	ict_turtle_soup	ict_turtle_soup|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=18
futures,SI,ict_turtle_soup,ict_turtle_soup|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=18,short,121007,121008,121008,2024-01-02 14:30:00+00:00,2024-01-02 14:45:00+00:00,2024-01-02 14:45:00+00:00,24.15,24.225921510192624,-15.184302038525033,-18.184302038525033,-1.0,22.776453057787194,15.184302038525033,3.0,sl,1,1,5.0,-90.92151019262516,90.92151019262516,113.88226528893597,2024-01-02,SI	ict_turtle_soup	ict_turtle_soup|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=18
futures,6J,ict_turtle_soup,ict_turtle_soup|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=18,long,122052,122053,122055,2024-01-02 14:45:00+00:00,2024-01-02 15:00:00+00:00,2024-01-02 15:30:00+00:00,0.007149,0.007131832320652827,-34.335358694346716,-37.335358694346716,-1.0,51.503038041520945,34.335358694346716,3.0,sl,2,1,0.625,-23.3345991839667,23.3345991839667,32.18939877595059,2024-01-02,6J	ict_turtle_soup	ict_turtle_soup|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=18
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,121479,121480,121482,2024-01-02 14:45:00+00:00,2024-01-02 15:00:00+00:00,2024-01-02 15:30:00+00:00,2079.4,2071.0,-84.00000000000091,-87.00000000000091,-1.0,125.99999999999909,84.00000000000091,3.0,sl,2,2,1.0,-174.00000000000182,174.00000000000182,251.99999999999818,2024-01-02,GC	tori_trendline_break	tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32
futures,HG,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,121673,121674,121698,2024-01-02 14:45:00+00:00,2024-01-02 15:00:00+00:00,2024-01-02 21:00:00+00:00,3.876,3.8675,-16.99999999999946,-19.99999999999946,-0.6060606060606014,44.99999999999904,29.99999999999936,3.0,session_close,24,30,1.25,-749.9999999999798,1237.4999999999761,1687.499999999964,2024-01-02,HG	tori_trendline_break	tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32
futures,SI,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,121008,121009,121011,2024-01-02 14:45:00+00:00,2024-01-02 15:00:00+00:00,2024-01-02 15:30:00+00:00,24.24,24.035,-40.99999999999966,-43.99999999999966,-1.0,61.49999999999949,40.99999999999966,3.0,sl,2,2,5.0,-439.9999999999966,439.9999999999966,614.9999999999949,2024-01-02,SI	tori_trendline_break	tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32
futures,ZB,ict_turtle_soup,ict_turtle_soup|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=18,long,121572,121573,121588,2024-01-02 14:45:00+00:00,2024-01-02 15:00:00+00:00,2024-01-02 18:45:00+00:00,124.21875,123.70244341242916,-16.521810802266828,-19.521810802266828,-1.0,24.782716203400014,16.521810802266828,3.0,sl,15,1,31.25,-610.0565875708384,610.0565875708384,774.4598813562504,2024-01-02,ZB	ict_turtle_soup	ict_turtle_soup|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=18
futures,ZN,ict_turtle_soup,ict_turtle_soup|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=18,long,121709,121710,121714,2024-01-02 14:45:00+00:00,2024-01-02 15:00:00+00:00,2024-01-02 16:00:00+00:00,112.484375,112.2742064742691,-13.450785646777149,-16.45078564677715,-1.0,20.176178470165723,13.450785646777149,3.0,sl,4,1,15.625,-257.04352573089295,257.04352573089295,315.2527885963394,2024-01-02,ZN	ict_turtle_soup	ict_turtle_soup|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=18
futures,ZN,tjr_sweep_retrace,tjr_sweep_retrace|ny|range=15|entry=150|rr=2|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24,long,121710,121711,121734,2024-01-02 15:00:00+00:00,2024-01-02 15:15:00+00:00,2024-01-02 21:00:00+00:00,112.390625,112.328125,-4.0,-7.0,-0.6105910884418556,16.928601915442414,8.464300957721207,3.0,session_close,23,1,15.625,-109.375,179.12970246439386,264.5094049287877,2024-01-02,ZN	tjr_sweep_retrace	tjr_sweep_retrace|ny|range=15|entry=150|rr=2|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24
