market,symbol,phase,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held
futures,ES,ict_sweep_fvg,short,256,265,265,2023-12-14T18:00:00.000Z,2023-12-14T20:15:00.000Z,2023-12-14T20:15:00.000Z,4770.75,4767,15,12,1,15,15,3,tp,0
futures,ES,ict_sweep_fvg,short,514,518,518,2023-12-19T13:30:00.000Z,2023-12-19T14:30:00.000Z,2023-12-19T14:30:00.000Z,4801.5,4804,-10,-13,-1.8571428571428572,10,10,3,sl,0
futures,ES,ict_sweep_fvg,short,872,881,881,2023-12-26T11:00:00.000Z,2023-12-26T13:15:00.000Z,2023-12-26T13:15:00.000Z,4811.5,4809.25,9,6,1,9,9,3,tp,0
futures,ES,ict_sweep_fvg,short,992,1003,1003,2023-12-27T18:00:00.000Z,2023-12-27T20:45:00.000Z,2023-12-27T20:45:00.000Z,4829.5,4835.25,-23,-26,-1.3,23,23,3,sl,0
futures,ES,ict_sweep_fvg,long,1542,1551,1551,2024-01-05T17:30:00.000Z,2024-01-05T19:45:00.000Z,2024-01-05T19:45:00.000Z,4727.75,4726,-7,-10,-1,7,7,3,sl,0
futures,ES,ict_sweep_fvg,short,1728,1731,1731,2024-01-09T18:00:00.000Z,2024-01-09T18:45:00.000Z,2024-01-09T18:45:00.000Z,4798.5,4792.75,23,20,1,23,23,3,tp,0
futures,ES,ict_sweep_fvg,short,1891,1897,1897,2024-01-11T12:45:00.000Z,2024-01-11T14:15:00.000Z,2024-01-11T14:15:00.000Z,4826.75,4824.25,10,7,1,10,10,3,tp,0
futures,ES,ict_sweep_fvg,short,2072,2077,2077,2024-01-15T12:00:00.000Z,2024-01-15T13:15:00.000Z,2024-01-15T13:15:00.000Z,4811.5,4809.25,9,6,1,9,9,3,tp,0
futures,ES,ict_sweep_fvg,long,2161,2164,2164,2024-01-16T15:15:00.000Z,2024-01-16T16:00:00.000Z,2024-01-16T16:00:00.000Z,4803,4797.75,-21,-24,-1,21,21,3,sl,0
futures,ES,ict_sweep_fvg,long,2240,2243,2243,2024-01-17T12:00:00.000Z,2024-01-17T12:45:00.000Z,2024-01-17T12:45:00.000Z,4780.25,4782.5,9,6,0.5,9,9,3,tp,0
futures,ES,ict_sweep_fvg,long,4558,4561,4561,2024-02-21T20:30:00.000Z,2024-02-21T21:15:00.000Z,2024-02-21T21:15:00.000Z,4976.75,4986,37,34,0.85,37,37,3,tp,0
futures,ES,ict_sweep_fvg,short,4735,4740,4740,2024-02-23T18:45:00.000Z,2024-02-23T20:00:00.000Z,2024-02-23T20:00:00.000Z,5106.25,5102.5,15,12,1,15,15,3,tp,0
futures,ES,ict_sweep_fvg,long,4872,4879,4880,2024-02-27T07:00:00.000Z,2024-02-27T08:45:00.000Z,2024-02-27T09:00:00.000Z,5077,5079,8,5,0.45454545454545453,8,8,3,tp,1
futures,ES,ict_sweep_fvg,long,7481,7486,7486,2024-04-08T14:15:00.000Z,2024-04-08T15:30:00.000Z,2024-04-08T15:30:00.000Z,5256.5,5261.75,21,18,0.75,21,21,3,tp,0
futures,ES,ict_sweep_fvg,long,7490,7494,7494,2024-04-08T16:30:00.000Z,2024-04-08T17:30:00.000Z,2024-04-08T17:30:00.000Z,5254,5257.25,13,10,0.625,13,13,3,tp,0
futures,ES,ict_sweep_fvg,long,7750,7757,7759,2024-04-11T12:30:00.000Z,2024-04-11T14:15:00.000Z,2024-04-11T14:45:00.000Z,5186,5198.75,51,48,0.8888888888888888,51,51,3,tp,2
futures,ES,ict_sweep_fvg,long,8297,8309,8309,2024-04-19T11:15:00.000Z,2024-04-19T14:15:00.000Z,2024-04-19T14:15:00.000Z,5032.25,5038.5,25,22,0.7857142857142857,25,25,3,tp,0
futures,ES,ict_sweep_fvg,short,8401,8407,8407,2024-04-22T14:15:00.000Z,2024-04-22T15:45:00.000Z,2024-04-22T15:45:00.000Z,5023,5016.5,26,23,1,26,26,3,tp,0
futures,ES,ict_sweep_fvg,short,8575,8582,8582,2024-04-24T11:45:00.000Z,2024-04-24T13:30:00.000Z,2024-04-24T13:30:00.000Z,5120.25,5120.75,-2,-5,-5,2,2,3,sl,0
