market,symbol,strategy,variant_id,session,range_minutes,entry_minutes,rr,sl_atr,tp_atr,threshold,adx_max,adx_min,rsi2_max,trend,max_bars,one_trade_per_day,pip_or_tick_size,cost_units,size_multiplier,score,train_trades,train_wins,train_losses,train_win_rate_pct,train_profit_factor,train_total,train_avg,train_active_days,train_calendar_days,train_trades_per_active_day,train_trades_per_day,train_trades_per_week,test_trades,test_wins,test_losses,test_win_rate_pct,test_profit_factor,test_total,test_avg,test_active_days,test_calendar_days,test_trades_per_active_day,test_trades_per_day,test_trades_per_week,train_challenge_7d_starts,train_challenge_7d_pass_rate_pct,train_challenge_7d_fail_rate_pct,train_challenge_7d_incomplete_rate_pct,train_challenge_7d_median_pass_days,train_challenge_7d_avg_pass_win_rate_pct,train_challenge_7d_p50_final_pnl,train_challenge_8d_starts,train_challenge_8d_pass_rate_pct,train_challenge_8d_fail_rate_pct,train_challenge_8d_incomplete_rate_pct,train_challenge_8d_median_pass_days,train_challenge_8d_avg_pass_win_rate_pct,train_challenge_8d_p50_final_pnl,test_challenge_7d_starts,test_challenge_7d_pass_rate_pct,test_challenge_7d_fail_rate_pct,test_challenge_7d_incomplete_rate_pct,test_challenge_7d_median_pass_days,test_challenge_7d_avg_pass_win_rate_pct,test_challenge_7d_p50_final_pnl,test_challenge_8d_starts,test_challenge_8d_pass_rate_pct,test_challenge_8d_fail_rate_pct,test_challenge_8d_incomplete_rate_pct,test_challenge_8d_median_pass_days,test_challenge_8d_avg_pass_win_rate_pct,test_challenge_8d_p50_final_pnl,train_r_trades,train_r_wins,train_r_losses,train_r_win_rate_pct,train_r_profit_factor,train_r_total,train_r_avg,test_r_trades,test_r_wins,test_r_losses,test_r_win_rate_pct,test_r_profit_factor,test_r_total,test_r_avg,selection_key
futures,NQ,ross_cameron_micro_pullback,ross_cameron_micro_pullback|ny|range=36|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.08|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=12|one_trade=0,ny,36,150,1.5,1.0,1.5,0.08,,,,ema,12,False,0.25,3.0,1,-2.900544501697702,1698,775,923,45.641931684334516,1.0813535142435617,2262.6301488044614,1.3325265894019207,1149,4221,1.4778067885117494,0.40227434257285005,2.8159203980099505,735,319,416,43.40136054421769,0.9110450834488356,-3918.4783544028032,-5.331263067214699,456,1566,1.611842105263158,0.46934865900383144,3.28544061302682,1149,0.0,0.0,100.0,0.0,0.0,-6.364567267461098,1149,0.0,0.0,100.0,0.0,0.0,-6.5,456,0.0,0.0,100.0,0.0,0.0,-32.29074862447305,456,0.0,0.0,100.0,0.0,0.0,-37.292056066893565,1698,775,923,45.641931684334516,0.96975290524823,-25.224281089346636,-0.014855289216340776,735,319,416,43.40136054421769,0.945258906495874,-21.06270521900183,-0.028656741794560313,NQ	ross_cameron_micro_pullback	ross_cameron_micro_pullback|ny|range=36|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.08|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=12|one_trade=0
futures,NQ,humbled_trader_breakout_pullback,humbled_trader_breakout_pullback|ny|range=48|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.1|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=20|one_trade=0,ny,48,150,1.5,1.0,1.5,0.1,,,,both,20,False,0.25,3.0,1,-5.193433659323748,1602,704,898,43.94506866416979,1.0262447151083691,759.4446909316207,0.47406035638677946,1103,4221,1.4524025385312784,0.3795309168443497,2.656716417910448,686,292,394,42.565597667638485,0.9558256218558349,-1893.440624020488,-2.760117527726659,434,1566,1.5806451612903225,0.438058748403576,3.066411238825032,1103,0.0,0.0,100.0,0.0,0.0,-8.038986409868812,1103,0.0,0.0,100.0,0.0,0.0,-7.17157889995724,434,0.0,0.0,100.0,0.0,0.0,-35.962963817539276,434,0.0,0.0,100.0,0.0,0.0,-36.95804465024412,1602,704,898,43.94506866416979,0.9578152716006074,-35.74184198824951,-0.022310762789169485,686,292,394,42.565597667638485,0.9581610058649557,-15.777210110332959,-0.022998848557336676,NQ	humbled_trader_breakout_pullback	humbled_trader_breakout_pullback|ny|range=48|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.1|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=20|one_trade=0
futures,ES,ross_cameron_micro_pullback,ross_cameron_micro_pullback|ny|range=36|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.08|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=12|one_trade=0,ny,36,150,1.5,1.0,1.5,0.08,,,,ema,12,False,0.25,3.0,1,-6.076289388465604,1568,671,897,42.79336734693878,0.7977670118756267,-4698.605795744161,-2.9965598187143883,1024,4219,1.53125,0.37165205024887416,2.601564351742119,671,303,368,45.156482861400896,0.9140648210561646,-1962.1153515020683,-2.924165948587285,426,1565,1.5751173708920188,0.42875399361022365,3.0012779552715654,1024,0.0,0.0,100.0,0.0,0.0,-13.91018687649921,1024,0.0,0.0,100.0,0.0,0.0,-14.176477493165294,426,0.0,0.0,100.0,0.0,0.0,-26.789282180128794,426,0.0,0.0,100.0,0.0,0.0,-23.941181238413265,1568,671,897,42.79336734693878,0.7085752823811032,-232.65701666983026,-0.1483781994067795,671,303,368,45.156482861400896,0.9349699191833459,-22.115449699117843,-0.032958941429385755,ES	ross_cameron_micro_pullback	ross_cameron_micro_pullback|ny|range=36|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.08|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=12|one_trade=0
futures,RTY,ross_cameron_micro_pullback,ross_cameron_micro_pullback|ny|range=36|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.08|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=12|one_trade=0,ny,36,150,1.5,1.0,1.5,0.08,,,,ema,12,False,0.1,3.0,1,-6.517150547664794,685,277,408,40.43795620437956,0.797347238278911,-2418.2569649865395,-3.5303021386664812,443,1628,1.5462753950338601,0.42076167076167076,2.9453316953316953,666,291,375,43.69369369369369,0.8884223118496553,-1504.7098106045419,-2.2593240399467596,433,1568,1.53810623556582,0.4247448979591837,2.9732142857142856,443,0.0,0.0,100.0,0.0,0.0,-19.21538040591986,443,0.0,0.0,100.0,0.0,0.0,-19.521661337232217,433,0.0,0.0,100.0,0.0,0.0,-16.455263665979146,433,0.0,0.0,100.0,0.0,0.0,-10.299016117918654,685,277,408,40.43795620437956,0.8006356674815317,-72.70099346178179,-0.10613283717048437,666,291,375,43.69369369369369,0.9036539769939689,-32.89224098149265,-0.049387749221460435,RTY	ross_cameron_micro_pullback	ross_cameron_micro_pullback|ny|range=36|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.08|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=12|one_trade=0
futures,NQ,ricky_gutierrez_breakout_pullback,ricky_gutierrez_breakout_pullback|ny|range=48|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.12|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=20|one_trade=0,ny,48,150,1.5,1.0,1.5,0.12,,,,both,20,False,0.25,3.0,1,-6.704455163038844,1537,671,866,43.65647364996747,1.009687414228517,273.17431280971095,0.17773214886773647,1077,4221,1.42711234911792,0.3641317223406776,2.5489220563847432,656,279,377,42.53048780487805,0.959099722719402,-1692.8579121851435,-2.580576085648085,429,1566,1.529137529137529,0.41890166028097064,2.9323116219667944,1077,0.0,0.0,100.0,0.0,0.0,-8.253655833992525,1077,0.0,0.0,100.0,0.0,0.0,-7.17157889995724,429,0.0,0.0,100.0,0.0,0.0,-38.25456697019399,429,0.0,0.0,100.0,0.0,0.0,-33.67136066488456,1537,671,866,43.65647364996747,0.9449211968445546,-45.060934818094644,-0.029317459218018635,656,279,377,42.53048780487805,0.9579269297109131,-15.186024307318526,-0.023149427297741654,NQ	ricky_gutierrez_breakout_pullback	ricky_gutierrez_breakout_pullback|ny|range=48|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.12|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=20|one_trade=0
futures,YM,ross_cameron_micro_pullback,ross_cameron_micro_pullback|ny|range=36|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.08|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=12|one_trade=0,ny,36,150,1.5,1.0,1.5,0.08,,,,ema,12,False,1.0,3.0,1,-6.470476459885642,1550,652,898,42.064516129032256,0.7935688217608282,-4039.6385421280793,-2.60621841427618,1034,4218,1.4990328820116054,0.36747273589378854,2.57230915125652,651,295,356,45.314900153609834,0.9754701292856715,-370.08057931944677,-0.5684801525644344,415,1568,1.5686746987951807,0.41517857142857145,2.90625,1034,0.0,0.0,100.0,0.0,0.0,-7.6060560998666915,1034,0.0,0.0,100.0,0.0,0.0,-9.150281381567765,415,0.0,0.0,100.0,0.0,0.0,-3.0487495790148387,415,0.0,0.0,100.0,0.0,0.0,-3.0487495790148387,1550,652,898,42.064516129032256,0.8169223974542383,-149.6503559404169,-0.09654861673575282,651,295,356,45.314900153609834,0.9673328160549757,-10.721130942041587,-0.016468711124487844,YM	ross_cameron_micro_pullback	ross_cameron_micro_pullback|ny|range=36|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.08|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=12|one_trade=0
futures,ES,humbled_trader_breakout_pullback,humbled_trader_breakout_pullback|ny|range=48|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.1|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=20|one_trade=0,ny,48,150,1.5,1.0,1.5,0.1,,,,both,20,False,0.25,3.0,1,-7.05228174108646,1447,607,840,41.9488597097443,0.8141286044841561,-4282.124752099588,-2.9593121991013045,969,4219,1.4932920536635708,0.3429722683100261,2.4008058781701824,639,291,348,45.539906103286384,0.9780340175617129,-505.5900583384414,-0.7912207485734607,410,1565,1.5585365853658537,0.4083067092651757,2.85814696485623,969,0.0,0.0,100.0,0.0,0.0,-14.439509144518524,969,0.0,0.0,100.0,0.0,0.0,-15.742486069080769,410,0.0,0.0,100.0,0.0,0.0,-25.42260102259752,410,0.0,0.0,100.0,0.0,0.0,-25.300088498617697,1447,607,840,41.9488597097443,0.7328899529644725,-209.8424821160317,-0.14501899247825273,639,291,348,45.539906103286384,0.9927293093297944,-2.4303768574490627,-0.0038034066626745897,ES	humbled_trader_breakout_pullback	humbled_trader_breakout_pullback|ny|range=48|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.1|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=20|one_trade=0
futures,RTY,humbled_trader_breakout_pullback,humbled_trader_breakout_pullback|ny|range=48|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.1|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=20|one_trade=0,ny,48,150,1.5,1.0,1.5,0.1,,,,both,20,False,0.1,3.0,1,-9.393564844962633,635,254,381,40.0,0.733274464214788,-3313.772804781027,-5.218539850048861,421,1620,1.508313539192399,0.39197530864197533,2.743827160493827,631,264,367,41.83835182250396,0.8390952239753964,-2251.972522186599,-3.5688946468884293,420,1568,1.5023809523809524,0.4024234693877551,2.8169642857142856,421,0.0,0.0,100.0,0.0,0.0,-21.071277287686826,421,0.0,0.0,100.0,0.0,0.0,-21.033137305435957,420,0.0,0.0,100.0,0.0,0.0,-28.075719111548096,420,0.0,0.0,100.0,0.0,0.0,-25.427231427733204,635,254,381,40.0,0.7869040220841795,-77.03432163102451,-0.12131389233232207,631,264,367,41.83835182250396,0.8652642761814966,-46.65881250349287,-0.07394423534626444,RTY	humbled_trader_breakout_pullback	humbled_trader_breakout_pullback|ny|range=48|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.1|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=20|one_trade=0
futures,YM,humbled_trader_breakout_pullback,humbled_trader_breakout_pullback|ny|range=48|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.1|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=20|one_trade=0,ny,48,150,1.5,1.0,1.5,0.1,,,,both,20,False,1.0,3.0,6,-7.874547068559782,1457,595,862,40.83733699382292,0.8315653067231142,-19527.651204256705,-13.402643242454841,989,4218,1.4732052578361983,0.3454243717401612,2.4179706021811285,621,272,349,43.80032206119163,1.0169140239039907,1524.9976968324409,2.455712877346926,401,1568,1.5486284289276808,0.3960459183673469,2.7723214285714284,989,0.0,0.0,100.0,0.0,0.0,-36.580260725764674,989,0.0,0.0,100.0,0.0,0.0,-55.30301229064935,401,0.0,0.0,100.0,0.0,0.0,-24.29155453176645,401,0.0,0.0,100.0,0.0,0.0,6.970456668903353,1458,595,863,40.80932784636489,0.8295147654238726,-138.8607798428317,-0.09524058974131118,621,272,349,43.80032206119163,1.0127579916266862,4.127813793070478,0.006647043145041028,YM	humbled_trader_breakout_pullback	humbled_trader_breakout_pullback|ny|range=48|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.1|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=20|one_trade=0
futures,ES,ricky_gutierrez_breakout_pullback,ricky_gutierrez_breakout_pullback|ny|range=48|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.12|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=20|one_trade=0,ny,48,150,1.5,1.0,1.5,0.12,,,,both,20,False,0.25,3.0,1,-8.803884924932923,1374,576,798,41.92139737991266,0.8127461187422532,-4112.061079701704,-2.9927664335529145,941,4219,1.4601487778958555,0.32566958995022516,2.279687129651576,611,275,336,45.00818330605565,0.9580674693149697,-935.1907406253167,-1.5305904101887344,401,1565,1.5236907730673317,0.3904153354632588,2.7329073482428115,941,0.0,0.0,100.0,0.0,0.0,-14.354567109723575,941,0.0,0.0,100.0,0.0,0.0,-14.93365950867883,401,0.0,0.0,100.0,0.0,0.0,-24.529891905374825,401,0.0,0.0,100.0,0.0,0.0,-23.352470571451704,1374,576,798,41.92139737991266,0.7327261344876205,-199.0900087209244,-0.14489811406180816,611,275,336,45.00818330605565,0.9714871599861558,-9.199291344970792,-0.015056123314191148,ES	ricky_gutierrez_breakout_pullback	ricky_gutierrez_breakout_pullback|ny|range=48|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.12|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=20|one_trade=0
