market,symbol,strategy,variant_id,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,size_multiplier,dollars_per_unit,pnl_dollars,risk_dollars,target_dollars,session_key,selection_key
futures,RTY,dan_mcdermitt_ema_rider,dan_mcdermitt_ema_rider|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=32|one_trade=1,long,104224,104225,104226,2022-01-04 14:30:00+00:00,2022-01-04 14:45:00+00:00,2022-01-04 15:00:00+00:00,2280.6,2275.042560884689,-55.57439115310899,-58.57439115310899,-1.0,83.36158672966576,55.57439115310899,3.0,sl,1,1,0.5,-29.287195576554495,29.287195576554495,41.68079336483288,2022-01-04,RTY	dan_mcdermitt_ema_rider	dan_mcdermitt_ema_rider|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=32|one_trade=1
futures,RTY,dan_mcdermitt_ema_rider,dan_mcdermitt_ema_rider|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=32|one_trade=1,long,104316,104317,104322,2022-01-05 14:30:00+00:00,2022-01-05 14:45:00+00:00,2022-01-05 16:00:00+00:00,2270.4,2259.9095353973335,-104.90464602666634,-107.90464602666634,-1.0,157.35696903999724,104.90464602666634,3.0,sl,5,1,0.5,-53.95232301333317,53.95232301333317,78.67848451999862,2022-01-05,RTY	dan_mcdermitt_ema_rider	dan_mcdermitt_ema_rider|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=32|one_trade=1
futures,RTY,dan_mcdermitt_ema_rider,dan_mcdermitt_ema_rider|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=32|one_trade=1,short,104602,104603,104612,2022-01-10 17:00:00+00:00,2022-01-10 17:15:00+00:00,2022-01-10 19:30:00+00:00,2142.3,2158.3341478984935,-160.34147898493302,-163.34147898493302,-1.0,240.51221847739725,160.34147898493302,3.0,sl,9,1,0.5,-81.67073949246651,81.67073949246651,120.25610923869863,2022-01-10,RTY	dan_mcdermitt_ema_rider	dan_mcdermitt_ema_rider|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=32|one_trade=1
futures,RTY,dan_mcdermitt_ema_rider,dan_mcdermitt_ema_rider|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=32|one_trade=1,short,104687,104688,104688,2022-01-11 15:15:00+00:00,2022-01-11 15:30:00+00:00,2022-01-11 15:30:00+00:00,2164.3,2151.935432170124,123.6456782987625,120.6456782987625,1.412209290634303,123.6456782987625,82.43045219917349,3.0,tp,1,1,0.5,60.32283914938125,42.715226099586744,61.82283914938125,2022-01-11,RTY	dan_mcdermitt_ema_rider	dan_mcdermitt_ema_rider|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=32|one_trade=1
futures,GC,sasha_evdakov_sr_break_retest,sasha_evdakov_sr_break_retest|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24|one_trade=1,long,273488,273489,273507,2022-01-11 15:45:00+00:00,2022-01-11 16:00:00+00:00,2022-01-11 20:30:00+00:00,1811.6,1821.5373795380974,99.37379538097503,96.37379538097503,1.3916954949153415,99.37379538097503,66.24919692065077,3.0,tp,18,3,1.0,289.1213861429251,207.74759076195232,298.1213861429251,2022-01-11,GC	sasha_evdakov_sr_break_retest	sasha_evdakov_sr_break_retest|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24|one_trade=1
futures,GC,sasha_evdakov_sr_break_retest,sasha_evdakov_sr_break_retest|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24|one_trade=1,long,273577,273578,273582,2022-01-12 15:00:00+00:00,2022-01-12 15:15:00+00:00,2022-01-12 16:15:00+00:00,1823.7,1820.4995149703702,-32.00485029629817,-35.00485029629817,-1.0,48.00727544444726,32.00485029629817,3.0,sl,4,3,1.0,-105.01455088889452,105.01455088889452,144.02182633334178,2022-01-12,GC	sasha_evdakov_sr_break_retest	sasha_evdakov_sr_break_retest|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24|one_trade=1
futures,RTY,dan_mcdermitt_ema_rider,dan_mcdermitt_ema_rider|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=32|one_trade=1,short,104964,104965,104985,2022-01-14 15:30:00+00:00,2022-01-14 15:45:00+00:00,2022-01-14 20:45:00+00:00,2139.5,2157.181431324495,-176.81431324494952,-179.81431324494952,-1.0,265.2214698674243,176.81431324494952,3.0,sl,20,1,0.5,-89.90715662247476,89.90715662247476,132.61073493371214,2022-01-14,RTY	dan_mcdermitt_ema_rider	dan_mcdermitt_ema_rider|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=32|one_trade=1
futures,RTY,dan_mcdermitt_ema_rider,dan_mcdermitt_ema_rider|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=32|one_trade=1,long,105054,105055,105066,2022-01-17 15:00:00+00:00,2022-01-17 15:15:00+00:00,2022-01-17 23:00:00+00:00,2162.6,2158.9,-36.99999999999818,-39.99999999999818,-0.7502084692770393,75.47776945629266,50.318512970861775,3.0,session_close,11,1,0.5,-19.99999999999909,26.659256485430888,37.73888472814633,2022-01-17,RTY	dan_mcdermitt_ema_rider	dan_mcdermitt_ema_rider|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=32|one_trade=1
futures,RTY,dan_mcdermitt_ema_rider,dan_mcdermitt_ema_rider|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=32|one_trade=1,short,105128,105129,105132,2022-01-18 14:30:00+00:00,2022-01-18 14:45:00+00:00,2022-01-18 15:30:00+00:00,2131.9,2113.795389493808,181.04610506191875,178.04610506191875,1.4393681694571683,181.04610506191875,120.69740337461099,3.0,tp,3,1,0.5,89.02305253095938,61.84870168730549,90.52305253095938,2022-01-18,RTY	dan_mcdermitt_ema_rider	dan_mcdermitt_ema_rider|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=32|one_trade=1
futures,GC,sasha_evdakov_sr_break_retest,sasha_evdakov_sr_break_retest|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24|one_trade=1,short,273940,273941,273959,2022-01-18 16:15:00+00:00,2022-01-18 16:30:00+00:00,2022-01-18 21:00:00+00:00,1812.0,1813.7,-17.000000000000455,-20.000000000000455,-0.23525880329548227,123.01913883673478,82.01275922448986,3.0,session_close,18,3,1.0,-60.000000000001364,255.03827767346957,369.05741651020435,2022-01-18,GC	sasha_evdakov_sr_break_retest	sasha_evdakov_sr_break_retest|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24|one_trade=1
