market,symbol,strategy,variant_id,session,range_minutes,entry_minutes,rr,sl_atr,tp_atr,threshold,adx_max,adx_min,rsi2_max,trend,max_bars,pip_or_tick_size,cost_units,size_multiplier,score,train_trades,train_wins,train_losses,train_win_rate_pct,train_profit_factor,train_total,train_avg,test_trades,test_wins,test_losses,test_win_rate_pct,test_profit_factor,test_total,test_avg,train_r_trades,train_r_wins,train_r_losses,train_r_win_rate_pct,train_r_profit_factor,train_r_total,train_r_avg,test_r_trades,test_r_wins,test_r_losses,test_r_win_rate_pct,test_r_profit_factor,test_r_total,test_r_avg,selection_key
futures,NQ,mike_bellafiore_opening_drive,mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16,ny,15,150,1.5,1.0,1.5,0.45,,,,ema,16,0.25,3.0,2,77.08341672382537,32,14,18,43.75,1.0595797622338954,215.5,6.734375,15,11,4,73.33333333333333,2.9596055979643765,3080.5,205.36666666666667,32,14,18,43.75,0.9797415107008683,-0.2723579489455754,-0.008511185904549232,15,11,4,73.33333333333333,2.423760154093157,6.448177549567774,0.42987850330451827,NQ	mike_bellafiore_opening_drive	mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16
futures,NQ,ross_cameron_gap_go,ross_cameron_gap_go|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.65|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=14,ny,15,150,1.5,1.0,1.5,0.65,,,,ema,14,0.25,3.0,2,68.55943830451696,19,9,10,47.368421052631575,1.303248136315229,569.5,29.973684210526315,10,7,3,70.0,2.498372660699756,1841.5,184.15,19,9,10,47.368421052631575,1.104526729103217,0.8267737023612037,0.04351440538743177,10,7,3,70.0,2.2996252590198494,4.586348157198313,0.45863481571983133,NQ	ross_cameron_gap_go	ross_cameron_gap_go|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.65|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=14
futures,NQ,tjr_sweep_retrace,tjr_sweep_retrace|ny|range=15|entry=150|rr=2|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24,ny,15,150,2.0,1.0,1.5,0.05,,,,all,24,0.25,3.0,8,63.91766578211118,49,21,28,42.857142857142854,1.2871870126622447,5465.004801689211,111.53071023855532,13,8,5,61.53846153846154,1.9596434238439104,4350.872891278879,334.6825300983753,75,28,47,37.333333333333336,0.9696869511359127,-1.1971841168377333,-0.015962454891169778,32,14,18,43.75,1.2555974541195716,3.6942141742976844,0.11544419294680264,NQ	tjr_sweep_retrace	tjr_sweep_retrace|ny|range=15|entry=150|rr=2|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24
futures,GC,tjr_sweep_retrace,tjr_sweep_retrace|ny|range=15|entry=150|rr=2|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24,ny,15,150,2.0,1.0,1.5,0.05,,,,all,24,0.1,3.0,4,55.59546461321162,33,18,15,54.54545454545454,1.3876511297715182,1465.4540230255989,44.40769766744239,21,9,12,42.857142857142854,1.8590619957943932,2957.333221054594,140.8253914787902,33,18,15,54.54545454545454,1.5771247834251,7.125390172713559,0.21592091432465332,21,9,12,42.857142857142854,0.9772314038608046,-0.23646032450814003,-0.011260015452768573,GC	tjr_sweep_retrace	tjr_sweep_retrace|ny|range=15|entry=150|rr=2|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24
futures,RTY,rayner_teo_first_pullback,rayner_teo_first_pullback|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.15|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=40,ny,15,150,1.5,1.0,1.5,0.15,,,,both,40,0.1,3.0,75,60.068932156827145,15,8,7,53.333333333333336,1.447776335240649,2808.8137736679073,187.2542515778605,14,8,6,57.14285714285714,1.751731236912764,4316.233857826336,308.30241841616686,409,181,228,44.25427872860636,0.9931341277480279,-1.4539202873562473,-0.0035548173284993823,205,92,113,44.87804878048781,0.9916622390144897,-0.871382548530383,-0.004250646578196991,RTY	rayner_teo_first_pullback	rayner_teo_first_pullback|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.15|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=40
futures,ES,dan_mcdermitt_ema_rider,dan_mcdermitt_ema_rider|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=32,ny,15,150,1.5,1.0,1.5,0.05,,,,both,32,0.25,3.0,35,56.34281620312979,41,22,19,53.65853658536586,1.216507355503702,4050.4061419969958,98.7903937072438,20,11,9,55.00000000000001,1.6784494411726862,5720.884267823226,286.0442133911613,454,196,258,43.17180616740088,0.9146064794213874,-20.577435133900998,-0.04532474699097136,283,111,172,39.2226148409894,0.7995430702726686,-32.278217841561684,-0.114057306860642,ES	dan_mcdermitt_ema_rider	dan_mcdermitt_ema_rider|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=32
futures,YM,rayner_teo_first_pullback,rayner_teo_first_pullback|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.15|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=40,ny,15,150,1.5,1.0,1.5,0.15,,,,both,40,1.0,3.0,40,54.11853772776436,117,43,74,36.75213675213676,0.7803184360323272,-13952.260333000086,-119.25008831624005,57,29,28,50.877192982456144,1.632696669103016,15193.431021859724,266.5514214361355,365,163,202,44.657534246575345,1.0179309081687606,3.586377891580671,0.009825692853645675,222,98,124,44.14414414414414,1.0610485967133003,6.7852507788279155,0.030564192697423043,YM	rayner_teo_first_pullback	rayner_teo_first_pullback|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.15|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=40
futures,SI,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,ny,192,150,1.5,1.0,1.5,0.6,,,,all,32,0.005,3.0,2,49.67331887079317,192,74,118,38.54166666666667,0.6646408839779002,-9105.0,-47.421875,106,57,49,53.77358490566038,1.5954133635334051,10514.999999999936,99.19811320754657,194,74,120,38.144329896907216,0.6579957628593185,-23.789908064540572,-0.12262839208526068,136,69,67,50.73529411764706,1.223673400080928,10.725403093347067,0.07886325803931667,SI	tori_trendline_break	tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32
futures,HG,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,ny,192,150,1.5,1.0,1.5,0.6,,,,all,32,0.0005,3.0,30,46.08370519784965,47,21,26,44.680851063829785,0.7816291161178511,-4724.999999999977,-100.53191489361653,15,9,6,60.0,1.5840336134453572,2606.2499999998854,173.74999999999235,232,110,122,47.41379310344828,0.8897359451538283,-9.032428580337129,-0.03893288181179797,148,66,82,44.5945945945946,0.9647751596001574,-1.6446954248520136,-0.011112806924675768,HG	tori_trendline_break	tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32
futures,RTY,sasha_evdakov_sr_break_retest,sasha_evdakov_sr_break_retest|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24,ny,15,150,1.5,1.0,1.5,0.05,,,,all,24,0.1,3.0,35,51.58478766255622,98,42,56,42.857142857142854,1.0118008740829079,575.1424677223242,5.868800691044124,50,27,23,54.0,1.5673295812441417,10179.736306262646,203.59472612525292,294,122,172,41.49659863945578,0.8256744861849239,-26.8330608933594,-0.09126891460326327,166,79,87,47.59036144578313,1.139871956924436,11.184726367368034,0.06737786968293996,RTY	sasha_evdakov_sr_break_retest	sasha_evdakov_sr_break_retest|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24
