market,symbol,strategy,variant_id,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,size_multiplier,dollars_per_unit,pnl_dollars,risk_dollars,target_dollars,session_key,selection_key
futures,NQ,mike_bellafiore_opening_drive,mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16,long,129786,129787,129797,2024-05-14 15:45:00+00:00,2024-05-14 16:00:00+00:00,2024-05-14 18:30:00+00:00,18320.25,18402.375,328.5,325.5,1.4662162162162162,328.5,219.0,3.0,tp,10,2,0.5,325.5,222.0,328.5,2024-05-14,NQ	mike_bellafiore_opening_drive	mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16
futures,NQ,mike_bellafiore_opening_drive,mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16,long,131880,131881,131897,2024-06-14 14:15:00+00:00,2024-06-14 14:30:00+00:00,2024-06-14 18:30:00+00:00,19624.25,19653.25,116.0,113.0,0.41697416974169743,402.0,268.0,3.0,timeout,16,2,0.5,113.0,271.0,402.0,2024-06-14,NQ	mike_bellafiore_opening_drive	mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16
futures,NQ,mike_bellafiore_opening_drive,mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16,short,133947,133948,133948,2024-07-17 13:45:00+00:00,2024-07-17 14:00:00+00:00,2024-07-17 14:00:00+00:00,20209.0,20100.25,435.0,432.0,1.4744027303754266,435.0,290.0,3.0,tp,1,2,0.5,432.0,293.0,435.0,2024-07-17,NQ	mike_bellafiore_opening_drive	mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16
futures,NQ,mike_bellafiore_opening_drive,mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16,long,136248,136249,136250,2024-08-21 14:00:00+00:00,2024-08-21 14:15:00+00:00,2024-08-21 14:30:00+00:00,19867.25,19948.625,325.5,322.5,1.4659090909090908,325.5,217.0,3.0,tp,1,2,0.5,322.5,220.0,325.5,2024-08-21,NQ	mike_bellafiore_opening_drive	mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16
futures,NQ,mike_bellafiore_opening_drive,mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16,long,136986,136987,136996,2024-09-02 14:30:00+00:00,2024-09-02 14:45:00+00:00,2024-09-02 22:00:00+00:00,19659.25,19677.75,74.0,71.0,0.3817204301075269,274.5,183.0,3.0,session_close,9,2,0.5,71.0,186.0,274.5,2024-09-02,NQ	mike_bellafiore_opening_drive	mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16
futures,NQ,mike_bellafiore_opening_drive,mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16,long,145635,145636,145652,2025-01-15 15:45:00+00:00,2025-01-15 16:00:00+00:00,2025-01-15 20:00:00+00:00,21319.75,21437.0,469.0,466.0,0.8710280373831776,798.0,532.0,3.0,timeout,16,2,0.5,466.0,535.0,798.0,2025-01-15,NQ	mike_bellafiore_opening_drive	mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16
futures,NQ,mike_bellafiore_opening_drive,mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16,long,146170,146171,146187,2025-01-23 15:30:00+00:00,2025-01-23 15:45:00+00:00,2025-01-23 19:45:00+00:00,21923.25,21954.0,123.0,120.0,0.5172413793103449,343.5,229.0,3.0,timeout,16,2,0.5,120.0,232.0,343.5,2025-01-23,NQ	mike_bellafiore_opening_drive	mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16
futures,NQ,mike_bellafiore_opening_drive,mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16,long,147087,147088,147104,2025-02-06 14:45:00+00:00,2025-02-06 15:00:00+00:00,2025-02-06 19:00:00+00:00,21789.5,21819.5,120.0,117.0,0.5625,307.5,205.0,3.0,timeout,16,2,0.5,117.0,208.0,307.5,2025-02-06,NQ	mike_bellafiore_opening_drive	mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16
futures,NQ,mike_bellafiore_opening_drive,mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16,short,150844,150845,150857,2025-04-04 14:00:00+00:00,2025-04-04 14:15:00+00:00,2025-04-04 17:15:00+00:00,18000.25,17627.5,1491.0,1488.0,1.4924774322968908,1491.0,994.0,3.0,tp,12,2,0.5,1488.0,997.0,1491.0,2025-04-04,NQ	mike_bellafiore_opening_drive	mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16
futures,NQ,mike_bellafiore_opening_drive,mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16,long,151312,151313,151328,2025-04-11 16:00:00+00:00,2025-04-11 16:15:00+00:00,2025-04-11 20:00:00+00:00,18597.75,18811.25,854.0,851.0,0.8604651162790697,1479.0,986.0,3.0,session_close,15,2,0.5,851.0,989.0,1479.0,2025-04-11,NQ	mike_bellafiore_opening_drive	mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16
futures,NQ,mike_bellafiore_opening_drive,mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16,long,151488,151489,151489,2025-04-15 14:00:00+00:00,2025-04-15 14:15:00+00:00,2025-04-15 14:15:00+00:00,19086.5,18968.5,-472.0,-475.0,-1.0,708.0,472.0,3.0,sl,1,2,0.5,-475.0,475.0,708.0,2025-04-15,NQ	mike_bellafiore_opening_drive	mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16
futures,NQ,mike_bellafiore_opening_drive,mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16,short,155704,155705,155716,2025-06-19 14:00:00+00:00,2025-06-19 14:15:00+00:00,2025-06-19 22:00:00+00:00,21709.0,21830.0,-484.0,-487.0,-1.5509554140127388,466.5,311.0,3.0,session_close,11,2,0.5,-487.0,314.0,466.5,2025-06-19,NQ	mike_bellafiore_opening_drive	mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16
futures,NQ,mike_bellafiore_opening_drive,mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16,long,161804,161805,161814,2025-09-22 13:45:00+00:00,2025-09-22 14:00:00+00:00,2025-09-22 16:15:00+00:00,24872.5,24959.875,349.5,346.5,1.4682203389830508,349.5,233.0,3.0,tp,9,2,0.5,346.5,236.0,349.5,2025-09-22,NQ	mike_bellafiore_opening_drive	mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16
futures,NQ,mike_bellafiore_opening_drive,mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16,long,163465,163466,163466,2025-10-16 15:00:00+00:00,2025-10-16 15:15:00+00:00,2025-10-16 15:15:00+00:00,25123.0,25038.0,-340.0,-343.0,-1.0,510.0,340.0,3.0,sl,1,2,0.5,-343.0,343.0,510.0,2025-10-16,NQ	mike_bellafiore_opening_drive	mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16
futures,NQ,mike_bellafiore_opening_drive,mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16,short,171177,171178,171188,2026-02-16 15:15:00+00:00,2026-02-16 15:30:00+00:00,2026-02-16 23:00:00+00:00,24709.0,24775.0,-264.0,-267.0,-0.978021978021978,405.0,270.0,3.0,session_close,10,2,0.5,-267.0,273.0,405.0,2026-02-16,NQ	mike_bellafiore_opening_drive	mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16
