market,symbol,strategy,variant_id,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,chosen_size_multiplier
futures,CL,tjr_sweep_retrace,tjr_sweep_retrace|ny|range=15|entry=150|rr=2|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24,short,28401,28402,28421,2020-01-17 16:00:00+00:00,2020-01-17 16:15:00+00:00,2020-01-17 21:00:00+00:00,58.65,58.69,-3.9999999999999147,-6.999999999999915,-0.2311335694251693,54.571037062326866,27.285518531163433,3.0,session_close,19,6
futures,CL,tjr_sweep_retrace,tjr_sweep_retrace|ny|range=15|entry=150|rr=2|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24,long,28566,28567,28589,2020-01-21 15:15:00+00:00,2020-01-21 15:30:00+00:00,2020-01-21 21:00:00+00:00,58.44,58.26,-17.99999999999997,-20.99999999999997,-0.6722724139241676,56.47467415007981,28.237337075039903,3.0,session_close,22,6
futures,CL,tjr_sweep_retrace,tjr_sweep_retrace|ny|range=15|entry=150|rr=2|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24,long,30391,30392,30413,2020-02-18 15:30:00+00:00,2020-02-18 15:45:00+00:00,2020-02-18 21:00:00+00:00,51.73,52.11,38.000000000000256,35.000000000000256,0.5434895686374254,122.79732020523682,61.39866010261841,3.0,session_close,21,6
futures,CL,tjr_sweep_retrace,tjr_sweep_retrace|ny|range=15|entry=150|rr=2|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24,long,30940,30941,30947,2020-02-26 15:00:00+00:00,2020-02-26 15:15:00+00:00,2020-02-26 16:45:00+00:00,49.93,49.489907041921136,-44.00929580788642,-47.00929580788642,-1.0,88.01859161577283,44.00929580788642,3.0,sl,6,6
futures,CL,tjr_sweep_retrace,tjr_sweep_retrace|ny|range=15|entry=150|rr=2|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24,long,33132,33133,33148,2020-04-01 16:00:00+00:00,2020-04-01 16:15:00+00:00,2020-04-01 20:00:00+00:00,20.43,21.02,58.999999999999986,55.999999999999986,0.9649127765341389,110.07266762731831,55.036333813659155,3.0,session_close,15,6
futures,CL,tjr_sweep_retrace,tjr_sweep_retrace|ny|range=15|entry=150|rr=2|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24,short,33312,33313,33322,2020-04-03 15:00:00+00:00,2020-04-03 15:15:00+00:00,2020-04-03 17:30:00+00:00,26.7,27.594984496860434,-89.49844968604346,-92.49844968604346,-1.0,178.99689937208692,89.49844968604346,3.0,sl,9,6
futures,CL,tjr_sweep_retrace,tjr_sweep_retrace|ny|range=15|entry=150|rr=2|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24,short,33407,33408,33417,2020-04-06 15:45:00+00:00,2020-04-06 16:00:00+00:00,2020-04-06 18:15:00+00:00,27.09,26.13067936151838,95.93206384816213,92.93206384816213,1.823411796833499,95.93206384816213,47.966031924081065,3.0,tp,9,6
futures,CL,tjr_sweep_retrace,tjr_sweep_retrace|ny|range=15|entry=150|rr=2|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24,long,33952,33953,33954,2020-04-15 14:00:00+00:00,2020-04-15 14:15:00+00:00,2020-04-15 14:30:00+00:00,20.0,19.66089235689728,-33.91076431027216,-36.91076431027216,-1.0,67.82152862054431,33.91076431027216,3.0,sl,1,6
futures,CL,tjr_sweep_retrace,tjr_sweep_retrace|ny|range=15|entry=150|rr=2|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24,long,34229,34230,34239,2020-04-20 14:15:00+00:00,2020-04-20 14:30:00+00:00,2020-04-20 16:45:00+00:00,22.76,22.270850639522504,-48.91493604774979,-51.91493604774979,-1.0,97.82987209549958,48.91493604774979,3.0,sl,9,6
futures,CL,tjr_sweep_retrace,tjr_sweep_retrace|ny|range=15|entry=150|rr=2|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24,short,35431,35432,35441,2020-05-07 15:45:00+00:00,2020-05-07 16:00:00+00:00,2020-05-07 18:15:00+00:00,26.78,25.283845874246246,149.61541257537547,146.61541257537547,1.8843302234521189,149.61541257537547,74.80770628768774,3.0,tp,9,6
futures,CL,tjr_sweep_retrace,tjr_sweep_retrace|ny|range=15|entry=150|rr=2|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24,short,39061,39062,39070,2020-07-02 16:00:00+00:00,2020-07-02 16:15:00+00:00,2020-07-02 18:15:00+00:00,40.21,40.648427450781725,-43.842745078172385,-46.842745078172385,-1.0,87.68549015634477,43.842745078172385,3.0,sl,8,6
futures,CL,tjr_sweep_retrace,tjr_sweep_retrace|ny|range=15|entry=150|rr=2|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24,long,43175,43176,43177,2020-09-03 14:45:00+00:00,2020-09-03 15:00:00+00:00,2020-09-03 15:15:00+00:00,40.76,40.440148170839024,-31.985182916097443,-34.98518291609744,-1.0,63.97036583219489,31.985182916097443,3.0,sl,1,6
