market,symbol,strategy,variant_id,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,size_multiplier,dollars_per_unit,pnl_dollars,risk_dollars,target_dollars,session_key,selection_key
futures,GC,dan_mcdermitt_ema_rider,dan_mcdermitt_ema_rider|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=32,short,121478,121479,121482,2024-01-02 14:30:00+00:00,2024-01-02 14:45:00+00:00,2024-01-02 15:30:00+00:00,2074.7,2066.5003897203837,81.99610279616081,78.99610279616081,1.369936336594123,81.99610279616081,54.664068530773875,3.0,tp,3,4,1.0,315.98441118464325,230.6562741230955,327.98441118464325,2024-01-02,GC	dan_mcdermitt_ema_rider	dan_mcdermitt_ema_rider|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=32
futures,SI,dan_mcdermitt_ema_rider,dan_mcdermitt_ema_rider|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=32,short,121007,121008,121009,2024-01-02 14:30:00+00:00,2024-01-02 14:45:00+00:00,2024-01-02 15:00:00+00:00,24.15,24.24370094387039,-18.740188774078348,-21.740188774078348,-1.0,28.110283161117877,18.740188774078348,3.0,sl,1,1,5.0,-108.70094387039174,108.70094387039174,140.5514158055894,2024-01-02,SI	dan_mcdermitt_ema_rider	dan_mcdermitt_ema_rider|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=32
futures,GC,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,121479,121480,121482,2024-01-02 14:45:00+00:00,2024-01-02 15:00:00+00:00,2024-01-02 15:30:00+00:00,2079.4,2071.0,-84.00000000000091,-87.00000000000091,-1.0,125.99999999999909,84.00000000000091,3.0,sl,2,2,1.0,-174.00000000000182,174.00000000000182,251.99999999999818,2024-01-02,GC	tori_trendline_break	tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32
futures,HG,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,121673,121674,121698,2024-01-02 14:45:00+00:00,2024-01-02 15:00:00+00:00,2024-01-02 21:00:00+00:00,3.876,3.8675,-16.99999999999946,-19.99999999999946,-0.6060606060606014,44.99999999999904,29.99999999999936,3.0,session_close,24,30,1.25,-749.9999999999798,1237.4999999999761,1687.499999999964,2024-01-02,HG	tori_trendline_break	tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32
futures,RTY,claytrader_sr_rejection,claytrader_sr_rejection|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=16,long,121066,121067,121083,2024-01-02 14:45:00+00:00,2024-01-02 15:00:00+00:00,2024-01-02 19:00:00+00:00,2049.5,2033.2013676990352,-162.98632300964755,-165.98632300964755,-1.0,244.47948451447246,162.98632300964755,3.0,sl,16,12,0.5,-995.9179380578853,995.9179380578853,1466.8769070868348,2024-01-02,RTY	claytrader_sr_rejection	claytrader_sr_rejection|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=16
futures,SI,tori_trendline_break,tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32,long,121008,121009,121011,2024-01-02 14:45:00+00:00,2024-01-02 15:00:00+00:00,2024-01-02 15:30:00+00:00,24.24,24.035,-40.99999999999966,-43.99999999999966,-1.0,61.49999999999949,40.99999999999966,3.0,sl,2,2,5.0,-439.9999999999966,439.9999999999966,614.9999999999949,2024-01-02,SI	tori_trendline_break	tori_trendline_break|ny|range=192|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.6|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=32
futures,CL,claytrader_sr_rejection,claytrader_sr_rejection|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=16,long,121737,121738,121740,2024-01-02 15:15:00+00:00,2024-01-02 15:30:00+00:00,2024-01-02 16:00:00+00:00,71.76,71.40896004503409,-35.10399549659127,-38.10399549659127,-1.0,52.65599324488761,35.10399549659127,3.0,sl,2,1,1.0,-38.10399549659127,38.10399549659127,52.65599324488761,2024-01-02,CL	claytrader_sr_rejection	claytrader_sr_rejection|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=16
futures,HG,dan_mcdermitt_ema_rider,dan_mcdermitt_ema_rider|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=32,short,121675,121676,121678,2024-01-02 15:15:00+00:00,2024-01-02 15:30:00+00:00,2024-01-02 16:00:00+00:00,3.871,3.880963586709863,-19.92717341972572,-22.92717341972572,-1.0,29.89076012958858,19.92717341972572,3.0,sl,2,1,1.25,-28.65896677465715,28.65896677465715,37.363450161985725,2024-01-02,HG	dan_mcdermitt_ema_rider	dan_mcdermitt_ema_rider|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=32
futures,CL,sasha_evdakov_sr_break_retest,sasha_evdakov_sr_break_retest|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24,short,121739,121740,121742,2024-01-02 15:45:00+00:00,2024-01-02 16:00:00+00:00,2024-01-02 16:30:00+00:00,71.53,70.56511924191909,96.48807580809091,93.48807580809091,1.3886007094403945,96.48807580809091,64.32538387206108,3.0,tp,2,1,1.0,93.48807580809091,67.32538387206108,96.48807580809091,2024-01-02,CL	sasha_evdakov_sr_break_retest	sasha_evdakov_sr_break_retest|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24
futures,CL,umar_ashraf_level_retest,umar_ashraf_level_retest|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=20,short,121739,121740,121742,2024-01-02 15:45:00+00:00,2024-01-02 16:00:00+00:00,2024-01-02 16:30:00+00:00,71.53,70.56511924191909,96.48807580809091,93.48807580809091,1.3886007094403945,96.48807580809091,64.32538387206108,3.0,tp,2,1,1.0,93.48807580809091,67.32538387206108,96.48807580809091,2024-01-02,CL	umar_ashraf_level_retest	umar_ashraf_level_retest|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=20
futures,ES,mike_bellafiore_opening_drive,mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16,short,121194,121195,121198,2024-01-02 15:45:00+00:00,2024-01-02 16:00:00+00:00,2024-01-02 16:45:00+00:00,4777.25,4789.75,-50.0,-53.0,-1.0,75.0,50.0,3.0,sl,3,3,1.25,-198.75,198.75,281.25,2024-01-02,ES	mike_bellafiore_opening_drive	mike_bellafiore_opening_drive|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.45|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=16
futures,ES,ross_cameron_gap_go,ross_cameron_gap_go|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.65|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=14,short,121194,121195,121198,2024-01-02 15:45:00+00:00,2024-01-02 16:00:00+00:00,2024-01-02 16:45:00+00:00,4777.25,4789.75,-50.0,-53.0,-1.0,75.0,50.0,3.0,sl,3,1,1.25,-66.25,66.25,93.75,2024-01-02,ES	ross_cameron_gap_go	ross_cameron_gap_go|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.65|adx_max=none|adx_min=none|rsi2=none|trend=ema|max_bars=14
futures,SI,rayner_teo_first_pullback,rayner_teo_first_pullback|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.15|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=40,short,121012,121013,121013,2024-01-02 15:45:00+00:00,2024-01-02 16:00:00+00:00,2024-01-02 16:00:00+00:00,23.96,24.11438790888906,-30.87758177781197,-33.87758177781197,-1.0,46.3163726667176,30.87758177781197,3.0,sl,1,1,5.0,-169.38790888905984,169.38790888905984,231.581863333588,2024-01-02,SI	rayner_teo_first_pullback	rayner_teo_first_pullback|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.15|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=40
futures,GC,claytrader_sr_rejection,claytrader_sr_rejection|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=16,long,121484,121485,121501,2024-01-02 16:00:00+00:00,2024-01-02 16:15:00+00:00,2024-01-02 20:15:00+00:00,2075.3,2068.5,-68.00000000000182,-71.00000000000182,-0.8945545574990804,46.281481481478295,76.3691110338732,3.0,timeout,16,1,1.0,-71.00000000000182,79.3691110338732,46.281481481478295,2024-01-02,GC	claytrader_sr_rejection	claytrader_sr_rejection|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=16
