market,symbol,phase,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,prior_180d_trades,prior_180d_profit_factor_r,prior_180d_total_r
gold_spot,XAUUSD,momentum,long,4708,4709,4727,2024-01-11 08:45:00+00:00,2024-01-11 09:00:00+00:00,2024-01-11 13:30:00+00:00,2030.905,2037.535,663.0000000000109,652.0000000000109,2.0964630225080736,1032,300,11.0,signal,18,30,1.3025046539177454,5.747588424437156
gold_spot,XAUUSD,momentum,long,4731,4732,4733,2024-01-11 14:30:00+00:00,2024-01-11 14:45:00+00:00,2024-01-11 15:00:00+00:00,2029.675,2026.675,-300.0,-311.0,-1.0,1032,300,11.0,sl,1,31,1.4128448129971176,7.84405144694523
gold_spot,XAUUSD,momentum,short,4749,4750,4750,2024-01-11 19:00:00+00:00,2024-01-11 19:15:00+00:00,2024-01-11 19:15:00+00:00,2021.065,2024.065,-300.0,-311.0,-1.0,1032,300,11.0,sl,0,32,1.342202572347262,6.84405144694523
gold_spot,XAUUSD,momentum,short,5197,5198,5208,2024-01-18 18:30:00+00:00,2024-01-18 18:45:00+00:00,2024-01-18 21:15:00+00:00,2019.86,2022.86,-300.0,-311.0,-1.0,1032,300,11.0,sl,10,39,1.3429796355841368,8.231511254019269
gold_spot,XAUUSD,momentum,long,5920,5921,5927,2024-01-30 15:15:00+00:00,2024-01-30 15:30:00+00:00,2024-01-30 17:00:00+00:00,2032.105,2035.945,383.9999999999918,372.9999999999918,1.199356913183253,1032,300,11.0,signal,6,50,1.3381910590187756,10.483922829582037
gold_spot,XAUUSD,momentum,long,6026,6027,6027,2024-01-31 18:45:00+00:00,2024-01-31 19:00:00+00:00,2024-01-31 19:00:00+00:00,2046.445,2043.445,-300.0,-311.0,-1.0,1032,300,11.0,sl,0,51,1.3768799917021062,11.68327974276529
gold_spot,XAUUSD,momentum,long,6085,6086,6086,2024-02-01 10:30:00+00:00,2024-02-01 10:45:00+00:00,2024-02-01 10:45:00+00:00,2035.275,2032.275,-300.0,-311.0,-1.0,1032,300,11.0,sl,0,52,1.3338524919614154,10.68327974276529
forex,GBPUSD,momentum,short,14511,14512,14527,2024-05-31 08:30:00+00:00,2024-05-31 08:45:00+00:00,2024-05-31 12:30:00+00:00,1.2716,1.2716,-0.0,-2.0,-0.0259740259740259,20,75,2.0,signal,15,68,1.9415274463007137,5.123376623376573
futures,NQ,momentum,long,13972,13973,13978,2024-06-03 14:45:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 16:15:00+00:00,18590.5,18507.0,-334.0,-337.0,-1.0,500,334,3.0,sl,5,44,1.3619777412880862,5.887240356083087
forex,GBPUSD,momentum,long,14739,14740,14787,2024-06-04 19:30:00+00:00,2024-06-04 19:45:00+00:00,2024-06-05 07:30:00+00:00,1.27735,1.2779,5.5000000000005045,3.5000000000005045,0.045454545454552,20,75,2.0,signal,47,69,1.932304038004748,5.097402597402547
forex,GBPUSD,momentum,long,14813,14814,14815,2024-06-05 14:00:00+00:00,2024-06-05 14:15:00+00:00,2024-06-05 14:30:00+00:00,1.276,1.278,20.0,18.0,0.2337662337662337,20,75,2.0,tp,1,70,1.9406175771971483,5.142857142857099
forex,GBPUSD,momentum,long,14885,14886,14977,2024-06-06 08:00:00+00:00,2024-06-06 08:15:00+00:00,2024-06-07 07:00:00+00:00,1.27815,1.28015,20.0,18.0,0.2337662337662337,20,75,2.0,tp,91,71,1.983372921615201,5.376623376623333
forex,GBPUSD,momentum,long,14982,14983,14996,2024-06-07 08:15:00+00:00,2024-06-07 08:30:00+00:00,2024-06-07 11:45:00+00:00,1.2788,1.2808,20.0,18.0,0.2337662337662337,20,75,2.0,tp,13,72,2.0261282660332536,5.610389610389567
forex,GBPUSD,momentum,short,15167,15168,15188,2024-06-11 08:30:00+00:00,2024-06-11 08:45:00+00:00,2024-06-11 13:45:00+00:00,1.2731,1.2711,20.0,18.0,0.2337662337662337,20,75,2.0,tp,20,72,2.0261282660332536,5.610389610389567
