market,symbol,phase,split_mode,train_start,train_end,period_start,test_start,data_end,pip_or_tick_size,cost_units,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,tp_units,sl_units,median_atr_units,min_exit_units,train_entry_trades,train_entry_profit_factor_units,train_exit_trades,train_exit_profit_factor_r,trades,wins,losses,win_rate_pct,profit_factor_r,total_r,avg_r,max_drawdown_r,trades_per_day,trades_per_week,profit_factor_units,avg_units,test_trades,test_win_rate_pct,test_profit_factor_r,test_total_r,test_avg_r,test_profit_factor_units,test_avg_units
forex,AUDUSD,mean_reversion,fixed,2020-01-29 03:30:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-22 02:45:00+00:00,0.0001,2.0,2.5,6,0.75,-0.05,0.15,19,75,6.347989366054613,6,22,18.759043565909504,30,28.79858566788887,100,75,25,75.0,0.776903885203261,-2.7391558441558765,-0.027391558441558765,3.9415740259740417,0.06360859511141444,0.4452601657799011,0.7769038852032613,-2.1091500000000254,100,75.0,0.776903885203261,-2.7391558441558765,-0.027391558441558765,0.7769038852032613,-2.1091500000000254
forex,AUDUSD,momentum,fixed,2020-01-29 03:30:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-22 02:45:00+00:00,0.0001,2.0,3.0,16,1.0,,,150,200,6.09776589159676,6,38,9.604723610050232,83,1.294076669939066,203,152,51,74.8768472906404,0.9747623155611722,-0.5384084158416028,-0.00265225820611627,4.242583168316836,0.1291254480761713,0.903878136533199,0.9747623155611722,-0.5357561576354865,203,74.8768472906404,0.9747623155611722,-0.5384084158416028,-0.00265225820611627,0.9747623155611722,-0.5357561576354865
forex,EURUSD,mean_reversion,fixed,2020-01-30 07:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-22 02:45:00+00:00,0.0001,2.0,1.5,24,2.0,-0.1,0.25,75,30,6.087261448284429,6,113,0.8026096612992758,168,0.8199029126213568,416,227,189,54.567307692307686,0.7503567105066519,-41.759081249999845,-0.10038240685096117,52.12158124999987,0.26461175566348405,1.8522822896443882,0.7503567105066519,-3.2122370192307574,416,54.567307692307686,0.7503567105066519,-41.759081249999845,-0.10038240685096117,0.7503567105066519,-3.2122370192307574
forex,EURUSD,momentum,fixed,2020-01-30 07:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-22 02:45:00+00:00,0.0001,2.0,3.0,6,0.75,,,200,300,6.523543803158194,6,43,3.23875432525957,91,1.683651804670911,169,135,34,79.88165680473372,1.090283629834813,1.107941721854364,0.006555868176653041,3.7052980132450184,0.1074985257382904,0.7524896801680327,1.090283629834813,1.9798721893492186,169,79.88165680473372,1.090283629834813,1.107941721854364,0.006555868176653041,1.090283629834813,1.9798721893492186
forex,GBPUSD,mean_reversion,fixed,2020-01-30 12:15:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-22 02:45:00+00:00,0.0001,2.0,2.5,6,1.0,-0.1,0.1,150,500,9.122087322653798,6,25,10.538461538461366,33,5.074204946996412,74,62,12,83.78378378378379,3.332394366197181,1.6494023904382407,0.022289221492408657,0.22609561752988028,0.04707036038244668,0.32949252267712675,3.332394366197181,11.189189189189149,74,83.78378378378379,3.332394366197181,1.6494023904382407,0.022289221492408657,3.332394366197181,11.189189189189149
forex,GBPUSD,momentum,fixed,2020-01-30 12:15:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-22 02:45:00+00:00,0.0001,2.0,3.0,6,1.0,,,150,500,9.237290691533401,6,54,2.8181818181818428,113,1.9883582089552276,216,160,56,74.07407407407408,1.014934570631098,0.16414342629486067,0.0007599232698836142,3.3149402390438043,0.13739456544065518,0.9617619580845862,1.014934570631098,0.38148148148157346,216,74.07407407407408,1.014934570631098,0.16414342629486067,0.0007599232698836142,1.014934570631098,0.38148148148157346
forex,NZDUSD,mean_reversion,fixed,2020-01-29 19:45:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-22 02:45:00+00:00,0.0001,2.0,2.0,10,1.0,-0.1,0.1,75,75,5.988342563340735,6,30,6.8147903977600315,40,2.860869081283768,95,69,26,72.63157894736842,0.6556863518486222,-5.255805194805123,-0.05532426520847498,6.9413168831168175,0.060428165355843715,0.422997157490906,0.6556863518486219,-4.259968421052573,95,72.63157894736842,0.6556863518486222,-5.255805194805123,-0.05532426520847498,0.6556863518486219,-4.259968421052573
forex,NZDUSD,momentum,fixed,2020-01-29 19:45:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-22 02:45:00+00:00,0.0001,2.0,3.0,24,1.0,,,75,200,6.192872055957728,6,37,1.6238275337182146,75,1.4435842982496156,191,133,58,69.63350785340315,0.762731747267989,-4.577370792079244,-0.023965292105126934,5.717228712871316,0.12149241666280157,0.850446916639611,0.762731747267989,-4.840989005235639,191,69.63350785340315,0.762731747267989,-4.577370792079244,-0.023965292105126934,0.762731747267989,-4.840989005235639
forex,USDCAD,mean_reversion,fixed,2020-01-29 01:30:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-22 02:45:00+00:00,0.0001,2.0,2.0,6,1.0,-0.1,0.1,150,150,10.66957495533476,6,22,4.029739776951673,29,4.939285714285672,102,66,36,64.70588235294117,0.46902221254355403,-6.416447368421041,-0.06290634674922589,8.834210526315822,0.06488076701364272,0.45416536909549904,0.469022212543554,-9.561764705882334,102,64.70588235294117,0.46902221254355403,-6.416447368421041,-0.06290634674922589,0.469022212543554,-9.561764705882334
forex,USDCAD,momentum,fixed,2020-01-29 01:30:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-22 02:45:00+00:00,0.0001,2.0,3.0,24,1.0,,,31,100,10.409485858091312,6,34,1.3395922746781226,76,2.195888754534465,218,164,54,75.22935779816514,0.9319191041606332,-2.7656862745097968,-0.012686634286742188,11.1764705882353,0.13866673734288346,0.9706671614001842,0.9319191041606337,-1.294036697247703,218,75.22935779816514,0.9319191041606332,-2.7656862745097968,-0.012686634286742188,0.9319191041606337,-1.294036697247703
forex,USDCHF,mean_reversion,fixed,2020-01-29 02:45:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-22 02:45:00+00:00,0.0001,2.0,1.5,24,3.0,0.0,0.15,75,75,6.014834983337235,6,75,2.6109355727520587,115,1.6850048943973375,271,194,77,71.58671586715867,0.8748430374819153,-6.729867532467598,-0.02483345952940073,10.945463636363648,0.17237929275193312,1.2066550492635317,0.8748430374819153,-1.9121763837638561,271,71.58671586715867,0.8748430374819153,-6.729867532467598,-0.02483345952940073,0.8748430374819153,-1.9121763837638561
forex,USDCHF,momentum,fixed,2020-01-29 02:45:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-22 02:45:00+00:00,0.0001,2.0,2.0,24,0.75,,,30,10,5.853477685492811,6,52,1.8754195286195359,135,0.9281251041666655,329,139,190,42.24924012158054,0.9752653947368431,-4.699574999999829,-0.014284422492400696,26.574624999999816,0.20927227791655348,1.4649059454158744,0.975265394736843,-0.17141306990880856,329,42.24924012158054,0.9752653947368431,-4.699574999999829,-0.014284422492400696,0.975265394736843,-0.17141306990880856
forex,USDJPY,mean_reversion,fixed,2020-01-29 03:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-22 02:45:00+00:00,0.01,2.0,2.5,6,1.5,-0.1,0.1,75,75,5.312270897250045,6,24,99.33339999997025,33,2.222931847133763,47,39,8,82.97872340425532,1.9072064022340969,6.36221493506504,0.1353662752141498,3.4869740259739976,0.029896039702364784,0.20927227791655348,1.9072064022340969,10.423203191489534,47,82.97872340425532,1.9072064022340969,6.36221493506504,0.1353662752141498,1.9072064022340969,10.423203191489534
forex,USDJPY,momentum,fixed,2020-01-29 03:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-22 02:45:00+00:00,0.01,2.0,1.5,24,0.75,,,30,75,4.992501328612651,6,69,1.6458039829302744,106,1.1211156092434182,260,192,68,73.84615384615385,0.9313834628720455,-3.6055194805195017,-0.013867382617382698,8.689690909091,0.16538234728967752,1.1576764310277425,0.9313834628720455,-1.0677884615384687,260,73.84615384615385,0.9313834628720455,-3.6055194805195017,-0.013867382617382698,0.9313834628720455,-1.0677884615384687
futures,6A,mean_reversion,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:30:00+00:00,5e-05,3.0,3.0,6,0.75,-0.05,0.15,150,300,12.813645257833429,9,33,6.4347826086956115,40,4.244186046511631,36,26,10,72.22222222222221,0.7997416020671768,-0.5115511551155302,-0.014209754308764727,1.6501650165016715,0.02290349516879399,0.16032446618155793,0.7997416020671767,-4.305555555555715,36,72.22222222222221,0.7997416020671768,-0.5115511551155302,-0.014209754308764727,0.7997416020671767,-4.305555555555715
futures,6A,momentum,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:30:00+00:00,5e-05,3.0,3.0,16,1.0,,,500,500,13.76177500416917,9,223,1.7946243969676088,418,1.1139739642413442,206,154,52,74.75728155339806,1.09382000263539,1.4155069582504487,0.0068713930012157705,2.695825049701798,0.13105888902143226,0.9174122231500258,1.09382000263539,3.4563106796115326,206,74.75728155339806,1.09382000263539,1.4155069582504487,0.0068713930012157705,1.09382000263539,3.4563106796115326
futures,6B,mean_reversion,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:30:00+00:00,0.0001,3.0,3.0,24,3.0,0.0,0.15,500,200,9.228706136002053,9,138,1.7558583106266976,179,1.3757687576875708,107,82,25,76.63551401869158,1.6154417223459614,4.083743842364566,0.03816583030247258,1.9605911330049457,0.0680742773072488,0.4765199411507416,1.6154417223459616,7.747663551401935,107,76.63551401869158,1.6154417223459614,4.083743842364566,0.03816583030247258,1.6154417223459616,7.747663551401935
futures,6B,momentum,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:30:00+00:00,0.0001,3.0,3.0,10,0.75,,,300,500,10.196440817338793,9,190,1.4786789297658893,396,1.1962993496381775,169,124,45,73.37278106508876,1.3026499302649892,2.1570576540755244,0.01276365475784334,1.451292246520897,0.10751918565350511,0.7526342995745358,1.3026499302649894,6.420118343195199,169,73.37278106508876,1.3026499302649892,2.1570576540755244,0.01276365475784334,1.3026499302649894,6.420118343195199
futures,6C,mean_reversion,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:30:00+00:00,5e-05,3.0,3.0,10,1.0,-0.1,0.1,300,100,11.042301502849096,9,52,1.9715719063544992,64,2.5843920145190507,31,20,11,64.51612903225806,0.74864864864866,-0.9029126213591779,-0.029126213592231547,2.0291262135921766,0.019722454173128155,0.13805717921189709,0.7486486486486602,-2.9999999999998477,31,64.51612903225806,0.74864864864866,-0.9029126213591779,-0.029126213592231547,0.7486486486486602,-2.9999999999998477
futures,6C,momentum,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:30:00+00:00,5e-05,3.0,2.0,6,0.75,,,30,100,11.055789592383423,9,412,1.082021276595744,1058,1.005018400802946,429,323,106,75.29137529137529,0.8126605227375737,-12.038834951456309,-0.02806255233439699,16.51456310679605,0.2729333174281284,1.9105332219968987,0.8126605227375738,-2.890442890442889,429,75.29137529137529,0.8126605227375737,-12.038834951456309,-0.02806255233439699,0.8126605227375738,-2.890442890442889
futures,6E,mean_reversion,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:30:00+00:00,5e-05,3.0,2.5,24,1.0,-0.05,0.15,100,300,15.255034060320575,9,130,1.248684979544121,154,1.3519210245464244,63,45,18,71.42857142857143,0.5499165275459083,-4.448844884488462,-0.07061658546807083,4.653465346534679,0.04008111654538948,0.28056781581772633,0.5499165275459084,-21.39682539682546,63,71.42857142857143,0.5499165275459083,-4.448844884488462,-0.07061658546807083,0.5499165275459084,-21.39682539682546
futures,6E,momentum,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:30:00+00:00,5e-05,3.0,2.5,24,0.75,,,300,300,15.765068835229274,9,241,1.2168535792893826,476,1.023438165856986,196,147,49,75.0,0.9493400879882656,-1.25412541254132,-0.006398599043578163,9.069306930693122,0.1246968070301006,0.8728776492107042,0.9493400879882656,-1.9387755102041826,196,75.0,0.9493400879882656,-1.25412541254132,-0.006398599043578163,0.9493400879882656,-1.9387755102041826
futures,6J,mean_reversion,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:15:00+00:00,5e-07,3.0,3.0,24,1.0,-0.1,0.1,100,300,11.366730641010314,9,22,8.48863636363647,26,9.637362637362735,11,9,2,81.81818181818183,1.477011494252883,0.2739273927392789,0.024902490249025355,0.49174917491749276,0.006998336569622183,0.04898835598735528,1.4770114942528827,7.545454545454681,11,81.81818181818183,1.477011494252883,0.2739273927392789,0.024902490249025355,1.4770114942528827,7.545454545454681
futures,6J,momentum,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:15:00+00:00,5e-07,3.0,2.0,24,0.75,,,30,100,13.137914729409893,9,306,1.1897264996552546,719,0.9183702142606254,256,178,78,69.53125,0.6419575960465471,-21.805825242718548,-0.08517900485436933,22.067961165048622,0.16287037834757082,1.1400926484329956,0.6419575960465472,-8.77343750000004,256,69.53125,0.6419575960465471,-21.805825242718548,-0.08517900485436933,0.6419575960465472,-8.77343750000004
futures,CL,mean_reversion,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:15:00+00:00,0.01,3.0,2.5,24,1.0,-0.1,0.1,100,300,17.431436938884822,9,74,1.4647160068846872,81,1.331644403500695,51,36,15,70.58823529411765,0.5756728416637555,-4.006600660065985,-0.07856079725619577,4.646864686468626,0.03244683318643012,0.22712783230501085,0.5756728416637555,-23.80392156862732,51,70.58823529411765,0.5756728416637555,-4.006600660065985,-0.07856079725619577,0.5756728416637555,-23.80392156862732
futures,CL,momentum,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:15:00+00:00,0.01,3.0,2.5,24,1.0,,,500,500,16.32277244453927,9,325,1.0983100547881783,595,1.0706475378053506,251,199,52,79.2828685258964,1.1621968616262486,4.520874751491055,0.018011453193191456,4.942345924453279,0.1596893162704698,1.1178252138932887,1.1621968616262484,9.059760956175307,251,79.2828685258964,1.1621968616262486,4.520874751491055,0.018011453193191456,1.1621968616262484,9.059760956175307
futures,ES,mean_reversion,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:15:00+00:00,0.25,3.0,2.5,6,2.0,-0.1,0.1,200,500,8.22338817216459,9,164,1.5128729055986923,221,1.3900082804305824,97,73,24,75.25773195876289,0.745183105780273,-3.970178926441352,-0.04092967965403455,6.407554671968191,0.06171260429575925,0.4319882300703147,0.745183105780273,-20.587628865979383,97,75.25773195876289,0.745183105780273,-3.970178926441352,-0.04092967965403455,0.745183105780273,-20.587628865979383
futures,ES,momentum,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:15:00+00:00,0.25,3.0,2.0,10,0.75,,,300,500,8.302098771512846,9,442,1.2234488009135895,836,0.9143573039338512,263,198,65,75.2851711026616,0.840012474660845,-6.119284294234593,-0.023267240662488944,12.161033797216703,0.16732386525551218,1.1712670567885852,0.8400124746608452,-11.70342205323194,263,75.2851711026616,0.840012474660845,-6.119284294234593,-0.023267240662488944,0.8400124746608452,-11.70342205323194
futures,GC,mean_reversion,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:30:00+00:00,0.1,3.0,3.0,16,1.0,-0.1,0.1,300,300,17.84012136967093,9,40,1.427225130890054,44,0.9183914843288015,17,13,4,76.47058823529412,0.9218585005279885,-0.24422442244222786,-0.014366142496601638,2.7491749174917413,0.010815539385263827,0.07570877569684678,0.9218585005279883,-4.352941176470294,17,76.47058823529412,0.9218585005279885,-0.24422442244222786,-0.014366142496601638,0.9218585005279883,-4.352941176470294
futures,GC,momentum,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:30:00+00:00,0.1,3.0,3.0,10,0.75,,,35,100,17.708051994125608,9,145,1.13732351876433,420,1.1382391879964693,186,137,49,73.65591397849462,0.8821746160064667,-5.6601941747573115,-0.030431151477189847,10.679611650485441,0.11833472503876893,0.8283430752713825,0.8821746160064667,-3.13440860215055,186,73.65591397849462,0.8821746160064667,-5.6601941747573115,-0.030431151477189847,0.8821746160064667,-3.13440860215055
futures,HG,mean_reversion,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:15:00+00:00,0.0005,3.0,2.5,16,1.0,-0.1,0.1,200,500,10.300689215377444,9,99,1.3765517241379301,115,1.614660390047074,52,41,11,78.84615384615384,0.851039910061835,-0.526838966202774,-0.010131518580822578,1.7157057654075554,0.03308304560185032,0.23158131921295222,0.8510399100618351,-5.096153846153763,52,78.84615384615384,0.851039910061835,-0.526838966202774,-0.010131518580822578,0.8510399100618351,-5.096153846153763
futures,HG,momentum,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:15:00+00:00,0.0005,3.0,2.0,6,1.5,,,75,300,10.336083574128788,9,819,1.1587679248922895,1471,0.9313303513657976,583,442,141,75.8147512864494,0.8935590494907992,-7.864686468646841,-0.013490028248107789,13.518151815181461,0.3709118381899757,2.59638286732983,0.893559049490799,-4.087478559176659,583,75.8147512864494,0.8935590494907992,-7.864686468646841,-0.013490028248107789,0.893559049490799,-4.087478559176659
futures,NG,mean_reversion,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:30:00+00:00,0.001,3.0,3.0,24,3.0,-0.1,0.25,500,500,9.374056417282059,9,411,1.373551377800669,554,1.3290620194771905,229,155,74,67.68558951965066,1.0963193704402,2.33598409542744,0.010200803910163493,4.312127236580518,0.1456916776014951,1.0198417432104656,1.0963193704402,5.131004366812238,229,67.68558951965066,1.0963193704402,2.33598409542744,0.010200803910163493,1.0963193704402,5.131004366812238
futures,NG,momentum,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:30:00+00:00,0.001,3.0,3.0,24,0.75,,,300,300,8.867138198349863,9,219,1.1033978214924405,429,0.9426058115221,166,122,44,73.49397590361446,1.0433135864815,1.4719471947194802,0.008867151775418556,8.066006600660065,0.10561056105610561,0.7392739273927393,1.0433135864814997,2.6867469879518238,166,73.49397590361446,1.0433135864815,1.4719471947194802,0.008867151775418556,1.0433135864814997,2.6867469879518238
futures,NQ,mean_reversion,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:15:00+00:00,0.25,3.0,3.0,6,0.75,-0.1,0.1,500,500,19.47544711246427,9,57,5.2349799732977305,67,3.1559778305621538,24,13,11,54.166666666666664,0.5398517983011024,-5.061630218687872,-0.21090125911199467,7.037773359840954,0.015269097970084763,0.10688368579059335,0.5398517983011025,-106.08333333333333,24,54.166666666666664,0.5398517983011024,-5.061630218687872,-0.21090125911199467,0.5398517983011025,-106.08333333333333
futures,NQ,momentum,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:15:00+00:00,0.25,3.0,3.0,24,0.75,,,150,500,19.089275554459036,9,203,1.2486048936039738,393,1.0314840910776533,163,135,28,82.82208588957054,1.4025844930417495,11.272365805168992,0.06915561843661958,4.616302186878729,0.10370262371349234,0.7259183659944464,1.4025844930417495,34.785276073619634,163,82.82208588957054,1.4025844930417495,11.272365805168992,0.06915561843661958,1.4025844930417495,34.785276073619634
futures,RTY,mean_reversion,fixed,2017-07-09 22:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:15:00+00:00,0.1,3.0,2.5,24,0.75,-0.1,0.1,200,50,19.979252249009335,9,23,3.1065088757396384,26,2.138364779874212,33,16,17,48.484848484848484,1.451720310765812,7.679245283018807,0.23270440251572144,4.0,0.020995009708866547,0.14696506796206582,1.4517203107658123,12.333333333333236,33,48.484848484848484,1.451720310765812,7.679245283018807,0.23270440251572144,1.4517203107658123,12.333333333333236
futures,RTY,momentum,fixed,2017-07-09 22:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:15:00+00:00,0.1,3.0,3.0,24,0.75,,,20,75,25.872921357292654,9,88,1.6534689429713088,202,1.0769230769230773,174,131,43,75.28735632183908,0.6639833035181874,-14.448717948717944,-0.08303860890067784,16.371794871794936,0.11070096028311453,0.7749067219818018,0.6639833035181872,-6.477011494252873,174,75.28735632183908,0.6639833035181874,-14.448717948717944,-0.08303860890067784,0.6639833035181872,-6.477011494252873
futures,SI,mean_reversion,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:30:00+00:00,0.005,3.0,3.0,10,,0.0,0.15,300,75,8.089176110453348,9,235,1.4897479709525852,358,1.0294587805435031,150,73,77,48.66666666666667,0.6462376574736128,-26.641025641025607,-0.17760683760683738,27.66666666666664,0.09543122986997495,0.6680186090898246,0.646237657473613,-13.853333333333316,150,48.66666666666667,0.6462376574736128,-26.641025641025607,-0.17760683760683738,0.646237657473613,-13.853333333333316
futures,SI,momentum,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:30:00+00:00,0.005,3.0,2.5,24,1.0,,,150,500,8.402006828355427,9,347,1.3437413650179604,597,1.1025766699341835,236,183,53,77.54237288135593,0.9343934575193091,-1.4353876739562677,-0.006082151160831642,4.994035785288272,0.15014513499542725,1.0510159449679908,0.934393457519309,-3.0593220338983205,236,77.54237288135593,0.9343934575193091,-1.4353876739562677,-0.006082151160831642,0.934393457519309,-3.0593220338983205
futures,YM,mean_reversion,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:15:00+00:00,1.0,3.0,3.0,24,2.0,-0.1,0.1,300,500,14.813480284169772,9,95,4.357083678541839,110,2.2590225563909776,47,37,10,78.72340425531915,0.9566600397614315,-0.43339960238568637,-0.009221268135865667,4.560636182902584,0.029901983524749327,0.2093138846732453,0.9566600397614314,-4.638297872340425,47,78.72340425531915,0.9566600397614315,-0.43339960238568637,-0.009221268135865667,0.9566600397614314,-4.638297872340425
futures,YM,momentum,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:15:00+00:00,1.0,3.0,2.0,24,2.0,,,300,300,16.0612443019175,9,851,1.2690307328605201,1227,0.9675472209976603,476,314,162,65.96638655462185,1.0015667841754796,0.21122112211221022,0.00044374185317691225,18.237623762376234,0.3028371097400145,2.1198597681801012,1.0015667841754798,0.13445378151260504,476,65.96638655462185,1.0015667841754796,0.21122112211221022,0.00044374185317691225,1.0015667841754798,0.13445378151260504
futures,ZB,mean_reversion,fixed,2010-06-07 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2026-04-21 19:30:00+00:00,0.03125,3.0,1.5,24,0.75,0.0,0.15,150,500,3.4754885318150346,9,187,1.1471698113207547,232,1.0367207514944494,71,36,35,50.70422535211267,0.5586776859504133,-0.5308151093439365,-0.007476269145689246,0.7196819085487078,0.04517078213845481,0.31619547496918365,0.5586776859504132,-3.76056338028169,71,50.70422535211267,0.5586776859504133,-0.5308151093439365,-0.007476269145689246,0.5586776859504132,-3.76056338028169
