market,symbol,phase,period_start,data_end,pip_or_tick_size,cost_units,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,tp_units,sl_units,trades,win_rate_pct,profit_factor_r,total_r,avg_r,profit_factor_units,avg_units
forex,AUDUSD,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.0001,2.0,1.5,6,1.5,-0.05,0.15,50,150,42,78.57142857142857,2.338876416368702,1.300237499999993,0.03095803571428555,2.3388764163687026,4.705621428571403
forex,AUDUSD,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.0001,2.0,2.5,16,3.0,,,150,100,63,77.77777777777779,1.2484848444771126,1.1051882352941824,0.01754267040149496,1.2484848444771126,1.7893523809524852
forex,EURUSD,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.0001,2.0,2.5,6,1.0,-0.05,0.15,50,75,12,66.66666666666666,0.8176943699731731,-0.4415584415584837,-0.03679653679654031,0.8176943699731731,-2.833333333333607
forex,EURUSD,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.0001,2.0,2.5,24,0.75,,,50,200,26,96.15384615384616,2.8985148514851424,1.8985148514851418,0.07301980198019777,2.8985148514851424,14.74999999999995
forex,GBPUSD,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.0001,2.0,1.5,6,0.75,-0.1,0.1,100,200,19,78.94736842105263,0.8837438423645158,-0.11683168316833352,-0.00614903595622808,0.883743842364516,-1.2421052631580711
forex,GBPUSD,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.0001,2.0,2.0,16,2.0,,,20,75,65,78.46153846153847,1.2557212205270414,1.9155844155843988,0.02947052947052921,1.2557212205270412,2.2692307692307505
forex,NZDUSD,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.0001,2.0,3.0,6,1.5,-0.05,0.15,50,100,11,63.63636363636363,1.0693972279789723,0.04080686274509788,0.003709714795008898,1.0693972279789719,0.37839090909090684
forex,NZDUSD,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.0001,2.0,1.5,16,2.0,,,75,20,85,63.52941176470588,0.7856317497733092,-5.021672727272855,-0.05907850267379829,0.7856317497733092,-1.2997270588235628
forex,USDCAD,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.0001,2.0,2.5,24,,0.0,0.15,20,75,4,50.0,0.21803652968036694,-0.8896103896103962,-0.22240259740259904,0.21803652968036694,-17.125000000000128
forex,USDCAD,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.0001,2.0,2.0,10,0.75,,,5,20,26,84.61538461538461,0.7499999999999998,-1.0000000000000004,-0.03846153846153848,0.75,-0.8461538461538461
forex,USDCHF,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.0001,2.0,2.0,6,1.0,-0.1,0.1,75,200,16,62.5,0.1734790361305508,-1.7430574257425726,-0.10894108910891079,0.17347903613055082,-22.006099999999975
forex,USDCHF,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.0001,2.0,2.0,10,1.5,,,200,500,55,85.45454545454545,1.4525303781618186,0.3950187250996027,0.007182158638174594,1.4525303781618188,3.605443636363647
forex,USDJPY,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.01,2.0,2.0,6,0.75,-0.1,0.1,100,300,5,60.0,0.31677977183566725,-0.2006857615894106,-0.04013715231788212,0.3167797718356673,-12.121420000000398
forex,USDJPY,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.01,2.0,2.5,6,2.0,,,200,500,35,74.28571428571429,1.6099480890550932,0.7107164342629316,0.02030618383608376,1.6099480890550935,10.19370428571405
futures,6A,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,5e-05,3.0,2.0,24,2.0,-0.05,0.15,50,200,22,68.18181818181817,0.9906832298136469,-0.01477832512318085,-0.000671742051053675,0.9906832298136469,-0.1363636363638954
futures,6A,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,5e-05,3.0,2.5,16,2.0,,,200,500,44,84.0909090909091,1.9576427255985367,1.0337972166998128,0.02349539128863211,1.9576427255985371,11.818181818181953
futures,6B,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.0001,3.0,1.5,10,1.0,-0.05,0.15,100,200,23,73.91304347826086,0.457964601769909,-1.20689655172414,-0.05247376311844087,0.45796460176990905,-10.652173913043496
futures,6B,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.0001,3.0,2.5,10,0.75,,,30,100,26,84.61538461538461,0.9733009708737822,-0.10679611650487099,-0.004107542942495038,0.9733009708737821,-0.4230769230769902
futures,6C,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,5e-05,3.0,3.0,6,,-0.1,0.1,75,200,17,52.94117647058824,0.4098939929328406,-0.822660098522192,-0.048391770501305414,0.40989399293284073,-9.823529411765
futures,6C,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,5e-05,3.0,2.5,10,0.75,,,50,200,25,60.0,0.40407470288624514,-1.7290640394088697,-0.06916256157635478,0.4040747028862452,-14.04000000000002
futures,6E,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,5e-05,3.0,2.5,6,2.0,0.0,0.15,100,300,16,68.75,1.1627296587926694,0.2046204620462302,0.012788778877889387,1.1627296587926697,3.875000000000485
futures,6E,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,5e-05,3.0,2.5,6,0.75,,,200,500,34,85.29411764705883,2.2659176029962382,1.3439363817097352,0.039527540638521624,2.2659176029962373,19.882352941176382
futures,6J,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,5e-07,3.0,3.0,6,1.5,-0.1,0.25,200,200,13,100.0,inf,1.5073891625615674,0.11595301250473596,inf,23.53846153846139
futures,6J,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,5e-07,3.0,2.5,24,0.75,,,100,300,23,73.91304347826086,1.3074935400516818,0.39273927392739694,0.017075620605538997,1.307493540051682,5.173913043478316
futures,CL,mean_reversion,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.01,3.0,3.0,6,3.0,0.0,0.15,200,300,16,50.0,0.21859706362153378,-3.1617161716171576,-0.19760726072607235,0.21859706362153378,-59.87499999999992
futures,CL,momentum,2025-06-12 21:45:00+00:00,2025-12-12 21:45:00+00:00,0.01,3.0,2.5,6,0.75,,,500,300,34,79.41176470588235,2.076687116564416,3.475247524752472,0.10221316249271976,2.076687116564416,30.970588235294084
