market,symbol,phase,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held
futures,ES,momentum,long,3027,3028,3032,2025-06-12 23:45:00+00:00,2025-06-13 00:00:00+00:00,2025-06-13 01:00:00+00:00,6014.5,5939.5,-300.0,-303.0,-1.0,300,300,3.0,sl,4
forex,AUDUSD,momentum,long,3144,3145,3291,2025-06-13 00:00:00+00:00,2025-06-13 00:15:00+00:00,2025-06-16 14:00:00+00:00,0.64992034,0.65450591,45.85570000000038,43.85570000000038,0.42995784313725866,150,100,2.0,signal,146
forex,NZDUSD,momentum,long,3148,3149,3150,2025-06-13 00:00:00+00:00,2025-06-13 00:15:00+00:00,2025-06-13 00:30:00+00:00,0.60364604,0.60164604,-20.0,-22.0,-1.0,75,20,2.0,sl,1
futures,NG,mean_reversion,short,3045,3046,3052,2025-06-13 02:45:00+00:00,2025-06-13 03:00:00+00:00,2025-06-13 04:30:00+00:00,3.56,3.555,4.999999999999893,1.9999999999998934,0.006600660066006249,500,300,3.0,signal,6
futures,NG,momentum,long,3045,3046,3108,2025-06-13 02:45:00+00:00,2025-06-13 03:00:00+00:00,2025-06-13 18:30:00+00:00,3.56,3.585,24.99999999999991,21.99999999999991,0.07260726072607232,500,300,3.0,signal,62
futures,SI,mean_reversion,short,3030,3031,3039,2025-06-13 03:15:00+00:00,2025-06-13 03:30:00+00:00,2025-06-13 05:30:00+00:00,36.395,36.295,20.000000000000284,17.000000000000284,0.033797216699801756,200,500,3.0,signal,8
futures,SI,momentum,long,3030,3031,3242,2025-06-13 03:15:00+00:00,2025-06-13 03:30:00+00:00,2025-06-17 10:15:00+00:00,36.395,36.845,89.99999999999915,86.99999999999915,0.17296222664015734,500,500,3.0,signal,211
forex,USDJPY,momentum,short,3146,3147,3793,2025-06-13 03:30:00+00:00,2025-06-13 03:45:00+00:00,2025-06-24 01:15:00+00:00,143.633,145.52901,-189.60099999999898,-191.60099999999898,-0.38167529880477885,200,500,2.0,signal,646
gold_spot,XAUUSD,momentum,long,3049,3050,3054,2025-06-13 03:45:00+00:00,2025-06-13 04:00:00+00:00,2025-06-13 05:00:00+00:00,3425.615,3422.615,-300.0,-311.0,-1.0,1032,300,11.0,sl,4
forex,GBPUSD,mean_reversion,long,3175,3176,3212,2025-06-13 07:15:00+00:00,2025-06-13 07:30:00+00:00,2025-06-13 16:30:00+00:00,1.35601,1.35988,38.7000000000004,36.7000000000004,0.18168316831683368,100,200,2.0,signal,36
futures,6B,mean_reversion,long,3073,3074,3109,2025-06-13 07:15:00+00:00,2025-06-13 07:30:00+00:00,2025-06-13 16:15:00+00:00,1.3559,1.3597,37.99999999999803,34.99999999999803,0.17241379310343857,100,200,3.0,signal,35
forex,GBPUSD,momentum,short,3176,3177,3184,2025-06-13 07:30:00+00:00,2025-06-13 07:45:00+00:00,2025-06-13 09:30:00+00:00,1.3565,1.3545,20.0,18.0,0.23376623376623376,20,75,2.0,tp,7
futures,6B,momentum,short,3074,3075,3086,2025-06-13 07:30:00+00:00,2025-06-13 07:45:00+00:00,2025-06-13 10:30:00+00:00,1.3563,1.3533000000000002,30.0,27.0,0.2621359223300971,30,100,3.0,tp,11
