market,symbol,phase,pip_or_tick_size,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,tp_units,sl_units,signal_exit_trades,signal_exit_wins,signal_exit_losses,signal_exit_win_rate_pct,signal_exit_profit_factor,signal_exit_avg_pips,trades,wins,losses,win_rate_pct,profit_factor,avg_pips,profit_factor_delta_vs_signal_exit,win_rate_delta_vs_signal_exit
forex,AUDUSD,mean_reversion,0.0001,1.5,6,1.5,-0.05,0.15,30,150,113,94,19,83.1858407079646,2.350209907333294,5.875692920354001,113,94,19,83.1858407079646,2.4657705407741837,6.2164327433628435,0.11556063344088985,0.0
forex,AUDUSD,momentum,0.0001,2.5,16,3.0,,,1,100,179,143,36,79.88826815642457,1.9447134210400432,7.6023564245809965,179,178,1,99.4413407821229,83.98207124323328,0.9825726256983262,82.03735782219323,19.55307262569832
forex,EURUSD,mean_reversion,0.0001,2.5,6,1.0,-0.05,0.15,1,20,40,34,6,85.0,3.0517488973227693,10.001249999999962,40,40,0,100.0,inf,1.0,inf,15.0
forex,EURUSD,momentum,0.0001,2.5,24,0.75,,,6,75,49,42,7,85.71428571428571,2.047282417602755,11.549387755102128,49,49,0,100.0,inf,6.0,inf,14.285714285714292
forex,GBPUSD,mean_reversion,0.0001,1.5,6,0.75,-0.1,0.1,1,50,38,35,3,92.10526315789474,6.828976034858404,14.08157894736841,38,38,0,100.0,inf,1.0,inf,7.89473684210526
forex,GBPUSD,momentum,0.0001,2.0,16,2.0,,,1,150,178,142,36,79.7752808988764,1.6959038570439773,6.213483146067405,178,177,1,99.43820224719101,22.125000000002437,0.949438202247196,20.42909614295846,19.66292134831461
forex,NZDUSD,mean_reversion,0.0001,3.0,6,1.5,-0.05,0.15,50,4,39,32,7,82.05128205128204,2.492771130216984,5.427807692307722,39,20,19,51.28205128205128,2.7006578947368736,3.314102564102625,0.2078867645198894,-30.769230769230766
forex,NZDUSD,momentum,0.0001,1.5,16,2.0,,,75,3,255,202,53,79.2156862745098,1.6180771861381578,3.519018823529443,255,85,170,33.33333333333333,2.315036686390536,2.6146023529411835,0.6969595002523783,-45.88235294117648
forex,USDCAD,mean_reversion,0.0001,2.5,24,,0.0,0.15,8,150,49,40,9,81.63265306122449,1.6866167913549464,8.428571428571454,49,46,3,93.87755102040816,21.54545454545248,6.918367346938714,19.858837754097532,12.244897959183675
forex,USDCAD,momentum,0.0001,2.0,10,0.75,,,1,15,57,46,11,80.7017543859649,3.5455921301551228,11.803508771929788,57,57,0,100.0,inf,1.0,inf,19.298245614035096
forex,USDCHF,mean_reversion,0.0001,2.0,6,1.0,-0.1,0.1,3,50,41,34,7,82.92682926829268,5.99030487768142,10.102385365853715,41,40,1,97.5609756097561,inf,2.926829268292683,inf,14.63414634146342
forex,USDCHF,momentum,0.0001,2.0,10,1.5,,,1,75,133,112,21,84.21052631578947,2.904987591041628,10.536122556390978,133,133,0,100.0,inf,1.0,inf,15.789473684210535
forex,USDJPY,mean_reversion,0.01,2.0,6,0.75,-0.1,0.1,20,150,31,29,2,93.54838709677419,9.433296969697023,17.9547612903226,31,31,0,100.0,inf,17.293587096774264,inf,6.451612903225808
forex,USDJPY,momentum,0.01,2.5,6,2.0,,,1,150,95,76,19,80.0,2.452758008042078,19.275782000000163,95,95,0,100.0,inf,1.0,inf,20.0
futures,6A,mean_reversion,5e-05,2.0,24,2.0,-0.05,0.15,20,150,76,62,14,81.57894736842105,1.7328326180257452,8.986842105263072,76,69,7,90.78947368421053,3.0498753117206987,10.815789473684148,1.3170426936949535,9.21052631578948
futures,6A,momentum,5e-05,2.5,16,2.0,,,4,500,143,118,25,82.51748251748252,3.1850040749796,18.7482517482516,143,138,5,96.5034965034965,3.833333333333223,2.8531468531468245,0.6483292583536229,13.986013986013987
futures,6B,mean_reversion,0.0001,1.5,10,1.0,-0.05,0.15,4,75,69,62,7,89.85507246376811,9.592307692307589,16.188405797101403,69,69,0,100.0,inf,3.97101449275362,inf,10.14492753623189
futures,6B,momentum,0.0001,2.5,10,0.75,,,10,200,55,45,10,81.81818181818183,2.64244186046511,10.272727272727234,55,52,3,94.54545454545455,3.586206896551735,6.818181818181826,0.9437650360866248,12.72727272727272
futures,6C,mean_reversion,5e-05,3.0,6,,-0.1,0.1,1,150,63,51,12,80.95238095238095,1.7875862068965305,9.063492063491875,63,63,0,100.0,inf,1.0,inf,19.04761904761905
futures,6C,momentum,5e-05,2.5,10,0.75,,,2,150,39,31,8,79.48717948717949,3.614213197969536,13.205128205128057,39,39,0,100.0,inf,2.0,inf,20.51282051282051
futures,6E,mean_reversion,5e-05,2.5,6,2.0,0.0,0.15,75,500,38,33,5,86.8421052631579,5.116071428571475,24.263157894737322,38,33,5,86.8421052631579,5.196428571428578,24.736842105263413,0.08035714285710327,0.0
futures,6E,momentum,5e-05,2.5,6,0.75,,,50,500,47,36,11,76.59574468085107,1.9990421455938636,22.191489361701997,47,40,7,85.1063829787234,2.4772727272727253,20.744680851063883,0.4782305816788617,8.510638297872333
futures,6J,mean_reversion,5e-07,3.0,6,1.5,-0.1,0.25,1,150,49,41,8,83.6734693877551,2.0152027027027213,12.265306122449134,49,49,0,100.0,inf,1.0,inf,16.326530612244895
futures,6J,momentum,5e-07,2.5,24,0.75,,,4,150,39,33,6,84.61538461538461,4.064189189189229,23.256410256410387,39,39,0,100.0,inf,4.0,inf,15.384615384615387
futures,CL,mean_reversion,0.01,3.0,6,3.0,0.0,0.15,10,150,35,28,7,80.0,3.3996175908221757,35.85714285714284,35,35,0,100.0,inf,9.828571428571426,inf,20.0
futures,CL,momentum,0.01,2.5,6,0.75,,,4,500,58,50,8,86.20689655172413,6.789915966386547,47.517241379310335,58,58,0,100.0,inf,4.0,inf,13.793103448275872
futures,ES,mean_reversion,0.25,1.5,10,0.75,-0.05,0.15,10,500,31,27,4,87.09677419354838,4.588235294117647,53.12903225806452,31,31,0,100.0,inf,9.709677419354838,inf,12.903225806451616
futures,ES,momentum,0.25,2.5,16,2.0,,,2,500,129,104,25,80.62015503875969,2.3320053120849935,46.651162790697676,129,129,0,100.0,inf,2.0,inf,19.37984496124031
futures,GC,mean_reversion,0.1,2.5,6,2.0,-0.05,0.15,40,500,42,37,5,88.09523809523809,1.8755733944954012,36.357142857142435,42,42,0,100.0,inf,38.904761904761926,inf,11.904761904761912
futures,GC,momentum,0.1,3.0,24,0.75,,,6,200,31,22,9,70.96774193548387,1.1562991241859457,22.45161290322629,31,31,0,100.0,inf,6.0,inf,29.032258064516128
futures,HG,mean_reversion,0.0005,2.0,6,0.75,-0.1,0.1,22,100,30,27,3,90.0,44.41666666666497,34.7333333333333,30,30,0,100.0,inf,20.933333333333355,inf,10.0
futures,HG,momentum,0.0005,2.5,6,0.75,,,5,500,44,37,7,84.0909090909091,3.0201058201058193,43.38636363636363,44,44,0,100.0,inf,5.0,inf,15.909090909090907
futures,NG,mean_reversion,0.001,3.0,6,1.0,-0.2,0.4,1,75,53,44,9,83.01886792452831,2.51231945624469,33.584905660377366,53,53,0,100.0,inf,1.0,inf,16.98113207547169
futures,NG,momentum,0.001,2.0,6,0.75,,,3,200,52,43,9,82.6923076923077,2.0536370315944135,27.576923076923013,52,51,1,98.07692307692307,2.2835820895522407,1.6538461538461549,0.22994505795782727,15.384615384615373
futures,NQ,mean_reversion,0.25,3.0,6,1.0,-0.2,0.4,10,500,50,45,5,90.0,3.647720659553831,272.98,50,50,0,100.0,inf,10.0,inf,10.0
futures,NQ,momentum,0.25,2.5,10,1.5,,,500,300,78,68,10,87.17948717948718,4.2207016670813635,331.8974358974359,78,44,34,56.41025641025641,1.5700980392156862,74.55128205128206,-2.650603627865677,-30.769230769230774
futures,RTY,mean_reversion,0.1,2.5,24,2.0,-0.1,0.1,16,500,48,43,5,89.58333333333334,5.17814726840854,73.2916666666667,48,48,0,100.0,inf,15.812500000000009,inf,10.416666666666657
futures,RTY,momentum,0.1,2.0,6,1.5,,,5,500,141,105,36,74.46808510638297,1.8517077388672678,41.91489361702118,141,141,0,100.0,inf,5.0,inf,25.531914893617028
futures,SI,mean_reversion,0.005,2.5,6,1.0,-0.05,0.15,8,500,31,25,6,80.64516129032258,16.755555555555418,22.870967741935424,31,30,1,96.7741935483871,inf,7.677419354838717,inf,16.129032258064527
futures,SI,momentum,0.005,3.0,6,2.0,,,5,150,68,53,15,77.94117647058823,2.4435936702399186,41.58823529411765,68,68,0,100.0,inf,5.0,inf,22.058823529411768
futures,YM,mean_reversion,1.0,2.0,24,1.5,-0.1,0.1,51,500,30,28,2,93.33333333333333,5.208128078817734,113.9,30,30,0,100.0,inf,50.06666666666667,inf,6.666666666666671
futures,YM,momentum,1.0,1.5,16,0.75,,,500,2,68,63,5,92.64705882352942,8.249736564805058,101.17647058823529,68,5,63,7.352941176470589,6.658730158730159,10.485294117647058,-1.5910064060748992,-85.29411764705883
futures,ZB,mean_reversion,0.03125,2.5,6,0.75,-0.1,0.25,1,15,32,29,3,90.625,13.785714285714286,5.59375,32,32,0,100.0,inf,1.0,inf,9.375
futures,ZB,momentum,0.03125,3.0,24,1.0,,,2,30,45,40,5,88.88888888888889,9.125,11.555555555555555,45,45,0,100.0,inf,2.0,inf,11.111111111111114
futures,ZN,mean_reversion,0.015625,2.5,6,0.75,-0.1,0.25,10,75,41,39,2,95.1219512195122,33.0,7.804878048780488,41,40,1,97.5609756097561,inf,7.682926829268292,inf,2.439024390243901
futures,ZN,momentum,0.015625,2.0,10,1.0,,,5,75,77,66,11,85.71428571428571,3.323232323232323,5.974025974025974,77,72,5,93.5064935064935,5.074626865671642,3.5454545454545454,1.7513945424393191,7.79220779220779
gold_spot,XAUUSD,mean_reversion,0.01,2.0,16,0.75,0.0,0.15,5,549,37,36,1,97.2972972972973,5.516715298040832,732.1351351351311,37,37,0,100.0,inf,5.0,inf,2.7027027027026946
gold_spot,XAUUSD,momentum,0.01,2.0,16,,,,1032,2,396,283,113,71.46464646464646,1.287562051620349,176.12449494949374,396,5,391,1.2626262626262625,6.22314578005112,10.314393939393879,4.935583728430771,-70.20202020202021
