market,symbol,phase,pip_or_tick_size,round_trip_cost_units,median_atr_units,min_exit_units,max_exit_ratio,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,tp_units,sl_units,signal_exit_trades,signal_exit_wins,signal_exit_losses,signal_exit_win_rate_pct,signal_exit_profit_factor,signal_exit_avg_pips,trades,wins,losses,win_rate_pct,profit_factor,avg_pips,profit_factor_delta_vs_signal_exit,win_rate_delta_vs_signal_exit
forex,AUDUSD,mean_reversion,0.0001,1.0,5.24332591779368,3,4.0,1.5,6,1.5,-0.05,0.15,50,150,113,94,19,83.1858407079646,2.0787336746937006,4.875692920353999,113,94,19,83.1858407079646,2.130885935251775,4.986313274336294,0.052152260558074204,0.0
forex,AUDUSD,momentum,0.0001,1.0,5.101835508945089,3,4.0,2.5,16,3.0,,,150,100,179,142,37,79.3296089385475,1.8002161586514038,6.6023564245809965,179,141,38,78.77094972067039,1.8263605994963392,6.671175418994407,0.02614444084493539,-0.558659217877107
forex,EURUSD,mean_reversion,0.0001,1.0,6.537464978022037,3,4.0,2.5,6,1.0,-0.05,0.15,50,75,40,34,6,85.0,2.7914717882376068,9.001249999999962,40,34,6,85.0,2.97862890584177,9.46674999999997,0.18715711760416331,0.0
forex,EURUSD,momentum,0.0001,1.0,7.535432059139494,3,4.0,2.5,24,0.75,,,50,200,49,42,7,85.71428571428571,1.9443703527778304,10.549387755102128,49,43,6,87.75510204081633,3.5128245132301634,16.434897959183797,1.568454160452333,2.040816326530617
forex,GBPUSD,mean_reversion,0.0001,1.0,7.210362746934907,3,4.0,1.5,6,0.75,-0.1,0.1,100,200,38,35,3,92.10526315789474,6.2436708860759635,13.081578947368408,38,35,3,92.10526315789474,6.2436708860759635,13.081578947368408,0.0,0.0
forex,GBPUSD,momentum,0.0001,1.0,7.208772594359831,3,4.0,2.0,16,2.0,,,20,75,178,141,37,79.21348314606742,1.5707959158568048,5.213483146067405,178,144,34,80.89887640449437,1.7549737386598658,5.329775280898822,0.18417782280306105,1.6853932584269558
forex,NZDUSD,mean_reversion,0.0001,1.0,4.295209134991308,3,4.0,3.0,6,1.5,-0.05,0.15,50,100,39,30,9,76.92307692307693,2.1550122802136147,4.427807692307724,39,30,9,76.92307692307693,2.1550122802136147,4.427807692307724,0.0,0.0
forex,NZDUSD,momentum,0.0001,1.0,4.48350117888497,3,4.0,1.5,16,2.0,,,75,20,255,197,58,77.25490196078432,1.4266170608091113,2.5190188235294433,255,177,78,69.41176470588235,1.6368664689861585,3.017612941176487,0.21024940817704718,-7.8431372549019756
forex,USDCAD,mean_reversion,0.0001,1.0,6.54349728059626,3,4.0,2.5,24,,0.0,0.15,20,75,49,39,10,79.59183673469387,1.5957446808510636,7.428571428571453,49,41,8,83.6734693877551,2.4719999999999667,7.51020408163256,0.8762553191489031,4.081632653061234
forex,USDCAD,momentum,0.0001,1.0,6.3954324905739375,3,4.0,2.0,10,0.75,,,5,20,57,46,11,80.7017543859649,3.2368325463131087,10.803508771929788,57,55,2,96.49122807017544,5.238095238095238,3.1228070175438596,2.0012626917821295,15.789473684210535
forex,USDCHF,mean_reversion,0.0001,1.0,5.83978291179207,3,4.0,2.0,6,1.0,-0.1,0.1,75,200,41,34,7,82.92682926829268,5.146619185448944,9.102385365853715,41,34,7,82.92682926829268,5.146619185448944,9.102385365853715,0.0,0.0
forex,USDCHF,momentum,0.0001,1.0,5.770505881949232,3,4.0,2.0,10,1.5,,,200,500,133,111,22,83.45864661654136,2.6745561411428374,9.536122556390978,133,111,22,83.45864661654136,2.6745561411428374,9.536122556390978,0.0,0.0
forex,USDJPY,mean_reversion,0.01,1.0,12.49109625879045,4,4.0,2.0,6,0.75,-0.1,0.1,100,300,31,29,2,93.54838709677419,8.729376470588283,16.9547612903226,31,29,2,93.54838709677419,8.869076470588297,17.26120000000005,0.1397000000000137,0.0
forex,USDJPY,momentum,0.01,1.0,12.074660345586311,4,4.0,2.5,6,2.0,,,200,500,95,74,21,77.89473684210526,2.356022724832031,18.275782000000163,95,74,21,77.89473684210526,2.356022724832031,18.275782000000163,0.0,0.0
