market,symbol,phase,pip_or_tick_size,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,trades,wins,losses,win_rate_pct,profit_factor,avg_pips
forex,AUDUSD,mean_reversion,0.0001,1.5,6,1.5,-0.05,0.15,113,94,19,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,momentum,0.0001,2.5,16,3.0,,,179,143,36,79.88826815642457,1.9447134210400432,7.6023564245809965
forex,EURUSD,mean_reversion,0.0001,2.5,6,1.0,-0.05,0.15,40,34,6,85.0,3.0517488973227693,10.001249999999962
forex,EURUSD,momentum,0.0001,2.5,24,0.75,,,49,42,7,85.71428571428571,2.047282417602755,11.549387755102128
forex,GBPUSD,mean_reversion,0.0001,1.5,6,0.75,-0.1,0.1,38,35,3,92.10526315789474,6.828976034858404,14.08157894736841
forex,GBPUSD,momentum,0.0001,2.0,16,2.0,,,178,142,36,79.7752808988764,1.6959038570439773,6.213483146067405
forex,NZDUSD,mean_reversion,0.0001,3.0,6,1.5,-0.05,0.15,39,32,7,82.05128205128204,2.492771130216984,5.427807692307722
forex,NZDUSD,momentum,0.0001,1.5,16,2.0,,,255,202,53,79.2156862745098,1.6180771861381578,3.519018823529443
forex,USDCAD,mean_reversion,0.0001,2.5,24,,0.0,0.15,49,40,9,81.63265306122449,1.6866167913549464,8.428571428571454
forex,USDCAD,momentum,0.0001,2.0,10,0.75,,,57,46,11,80.7017543859649,3.5455921301551228,11.803508771929788
forex,USDCHF,mean_reversion,0.0001,2.0,6,1.0,-0.1,0.1,41,34,7,82.92682926829268,5.99030487768142,10.102385365853715
forex,USDCHF,momentum,0.0001,2.0,10,1.5,,,133,112,21,84.21052631578947,2.904987591041628,10.536122556390978
forex,USDJPY,mean_reversion,0.01,2.0,6,0.75,-0.1,0.1,31,29,2,93.54838709677419,9.433296969697023,17.9547612903226
forex,USDJPY,momentum,0.01,2.5,6,2.0,,,95,76,19,80.0,2.452758008042078,19.275782000000163
futures,6A,mean_reversion,5e-05,2.0,24,2.0,-0.05,0.15,76,62,14,81.57894736842105,1.7328326180257452,8.986842105263072
futures,6A,momentum,5e-05,2.5,16,2.0,,,143,118,25,82.51748251748252,3.1850040749796,18.7482517482516
futures,6B,mean_reversion,0.0001,1.5,10,1.0,-0.05,0.15,69,62,7,89.85507246376811,9.592307692307589,16.188405797101403
futures,6B,momentum,0.0001,2.5,10,0.75,,,55,45,10,81.81818181818183,2.64244186046511,10.272727272727234
futures,6C,mean_reversion,5e-05,3.0,6,,-0.1,0.1,63,51,12,80.95238095238095,1.7875862068965305,9.063492063491875
