market,symbol,phase,pip_or_tick_size,round_trip_cost_units,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,trades,wins,losses,win_rate_pct,profit_factor,avg_pips
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,6,1.5,-0.05,0.15,113,94,19,83.1858407079646,2.0787336746937006,4.875692920353999
forex,AUDUSD,momentum,0.0001,1.0,2.5,16,3.0,,,179,142,37,79.3296089385475,1.8002161586514038,6.6023564245809965
forex,EURUSD,mean_reversion,0.0001,1.0,2.5,6,1.0,-0.05,0.15,40,34,6,85.0,2.7914717882376068,9.001249999999962
forex,EURUSD,momentum,0.0001,1.0,2.5,24,0.75,,,49,42,7,85.71428571428571,1.9443703527778304,10.549387755102128
forex,GBPUSD,mean_reversion,0.0001,1.0,1.5,6,0.75,-0.1,0.1,38,35,3,92.10526315789474,6.2436708860759635,13.081578947368408
forex,GBPUSD,momentum,0.0001,1.0,2.0,16,2.0,,,178,141,37,79.21348314606742,1.5707959158568048,5.213483146067405
forex,NZDUSD,mean_reversion,0.0001,1.0,3.0,6,1.5,-0.05,0.15,39,30,9,76.92307692307693,2.1550122802136147,4.427807692307724
forex,NZDUSD,momentum,0.0001,1.0,1.5,16,2.0,,,255,197,58,77.25490196078432,1.4266170608091113,2.5190188235294433
forex,USDCAD,mean_reversion,0.0001,1.0,2.5,24,,0.0,0.15,49,39,10,79.59183673469387,1.5957446808510636,7.428571428571453
forex,USDCAD,momentum,0.0001,1.0,2.0,10,0.75,,,57,46,11,80.7017543859649,3.2368325463131087,10.803508771929788
forex,USDCHF,mean_reversion,0.0001,1.0,2.0,6,1.0,-0.1,0.1,41,34,7,82.92682926829268,5.146619185448944,9.102385365853715
forex,USDCHF,momentum,0.0001,1.0,2.0,10,1.5,,,133,111,22,83.45864661654136,2.6745561411428374,9.536122556390978
forex,USDJPY,mean_reversion,0.01,1.0,2.0,6,0.75,-0.1,0.1,31,29,2,93.54838709677419,8.729376470588283,16.9547612903226
forex,USDJPY,momentum,0.01,1.0,2.5,6,2.0,,,95,74,21,77.89473684210526,2.356022724832031,18.275782000000163
futures,6A,mean_reversion,5e-05,2.0,2.0,24,2.0,-0.05,0.15,76,59,17,77.63157894736842,1.5531249999999932,6.986842105263072
futures,6A,momentum,5e-05,2.0,2.5,16,2.0,,,143,115,28,80.41958041958041,2.8740219092331527,16.7482517482516
futures,6B,mean_reversion,0.0001,2.0,1.5,10,1.0,-0.05,0.15,69,60,9,86.95652173913044,7.751724137930942,14.188405797101403
