market,symbol,phase,pip_or_tick_size,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,trades,wins,losses,win_rate_pct,profit_factor,avg_pips
forex,AUDUSD,mean_reversion,0.0001,1.5,6,1.5,-0.05,0.15,113,94,19,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1.5,6,1.5,-0.1,0.1,98,82,16,83.6734693877551,2.2636707420463225,6.010802040816347
forex,AUDUSD,mean_reversion,0.0001,1.5,24,1.5,-0.1,0.1,64,56,8,87.5,2.2189948551472853,6.209914062500037
forex,AUDUSD,mean_reversion,0.0001,1.5,24,1.5,-0.05,0.15,77,64,13,83.11688311688312,2.186478243885436,5.707766233766282
forex,AUDUSD,mean_reversion,0.0001,1.5,10,1.5,-0.1,0.1,95,79,16,83.15789473684211,2.180578175895772,5.792895789473705
forex,AUDUSD,mean_reversion,0.0001,1.5,10,1.5,-0.05,0.15,110,90,20,81.81818181818183,2.1253820797123195,5.342910000000018
forex,AUDUSD,mean_reversion,0.0001,1.5,24,1.5,-0.1,0.25,117,92,25,78.63247863247864,2.081055341898424,5.529224786324848
forex,AUDUSD,mean_reversion,0.0001,1.5,16,1.5,-0.05,0.15,97,79,18,81.44329896907216,2.0691601589905573,5.137376288659825
forex,AUDUSD,mean_reversion,0.0001,1.5,16,1.5,-0.1,0.1,81,67,14,82.71604938271605,1.9898160732251877,5.24823333333337
forex,AUDUSD,mean_reversion,0.0001,1.5,24,1.5,,,139,107,32,76.97841726618705,1.9840166885778427,5.191501438848966
forex,AUDUSD,mean_reversion,0.0001,1.5,6,2.0,-0.05,0.15,128,104,24,81.25,1.9820687958099872,5.200673437499996
forex,AUDUSD,mean_reversion,0.0001,2.0,24,1.5,-0.05,0.15,66,55,11,83.33333333333334,1.9766038274552005,5.0375045454545155
forex,AUDUSD,mean_reversion,0.0001,1.5,24,1.5,-0.2,0.4,137,105,32,76.64233576642336,1.9508763944250234,5.089894890510999
forex,AUDUSD,mean_reversion,0.0001,1.5,6,1.0,-0.05,0.15,95,80,15,84.21052631578947,1.9135479656106438,4.283371578947379
forex,AUDUSD,mean_reversion,0.0001,1.5,16,1.0,-0.05,0.15,76,65,11,85.52631578947368,1.9085128724517315,4.300990789473715
forex,AUDUSD,mean_reversion,0.0001,1.5,24,2.0,-0.05,0.15,93,75,18,80.64516129032258,1.8485388363662802,5.077749462365607
forex,AUDUSD,mean_reversion,0.0001,1.5,24,1.0,-0.05,0.15,59,51,8,86.4406779661017,1.8414247630963068,4.349850847457659
forex,AUDUSD,mean_reversion,0.0001,2.0,6,1.5,-0.05,0.15,82,66,16,80.48780487804879,1.8408403533820905,4.706237804878024
forex,AUDUSD,mean_reversion,0.0001,1.5,10,2.0,-0.05,0.15,125,100,25,80.0,1.8321606391503285,4.715623999999997
forex,AUDUSD,mean_reversion,0.0001,2.0,10,1.5,-0.05,0.15,81,65,16,80.24691358024691,1.831035344528364,4.708782716049358
