market,symbol,phase,pip_or_tick_size,round_trip_cost_units,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,trades,wins,losses,win_rate_pct,profit_factor,avg_pips
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,6,1.5,-0.05,0.15,113,94,19,83.1858407079646,2.0787336746937006,4.875692920353999
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,6,1.5,-0.1,0.1,98,82,16,83.6734693877551,2.0184793574100004,5.010802040816347
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,24,1.5,-0.1,0.1,64,56,8,87.5,1.9982034795197952,5.209914062500036
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,24,1.5,-0.05,0.15,77,64,13,83.11688311688312,1.9454275351225112,4.707766233766282
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,10,1.5,-0.1,0.1,95,79,16,83.15789473684211,1.9443663449955755,4.792895789473705
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,10,1.5,-0.05,0.15,110,90,20,81.81818181818183,1.8810114700027047,4.3429100000000185
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,24,1.5,-0.1,0.25,117,92,25,78.63247863247864,1.8500270927245017,4.529224786324849
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,16,1.5,-0.05,0.15,97,79,18,81.44329896907216,1.8290297312114798,4.137376288659825
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,16,1.5,-0.1,0.1,81,67,14,82.71604938271605,1.775923055952614,4.24823333333337
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,6,2.0,-0.05,0.15,128,104,24,81.25,1.7661086055567865,4.200673437499997
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,24,1.5,,,139,107,32,76.97841726618705,1.7612548359232365,4.191501438848965
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,24,1.5,-0.05,0.15,66,54,12,81.81818181818183,1.7580684162553946,4.0375045454545155
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,24,1.5,-0.2,0.4,137,105,32,76.64233576642336,1.7321134047761095,4.089894890510998
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,6,1.0,-0.05,0.15,95,80,15,84.21052631578947,1.6774565431983481,3.283371578947379
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,16,1.0,-0.05,0.15,76,65,11,85.52631578947368,1.6765938063321928,3.3009907894737163
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,24,2.0,-0.05,0.15,93,75,18,80.64516129032258,1.6600801500794957,4.077749462365607
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,6,1.5,-0.05,0.15,82,65,17,79.26829268292683,1.6397627725625135,3.706237804878023
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,10,2.0,-0.05,0.15,125,100,25,80.0,1.6333388969160834,3.715623999999998
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,10,1.5,-0.05,0.15,81,64,17,79.01234567901234,1.6323947273248502,3.708782716049358
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,24,1.0,-0.05,0.15,59,51,8,86.4406779661017,1.631425596606354,3.349850847457658
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,24,2.0,0.0,0.15,70,55,15,78.57142857142857,1.6239540137665038,3.9817857142857407
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,6,1.5,0.0,0.15,86,69,17,80.23255813953489,1.5987103019401434,3.2262569767442284
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,6,2.0,0.0,0.15,96,76,20,79.16666666666666,1.587471203225779,3.417895833333356
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,24,2.0,-0.05,0.15,76,59,17,77.63157894736842,1.5863658494610342,3.3578618421052346
forex,AUDUSD,mean_reversion,0.0001,1.0,3.0,6,3.0,-0.1,0.1,31,26,5,83.87096774193549,1.5836737424339384,4.446961290322566
forex,AUDUSD,mean_reversion,0.0001,1.0,3.0,10,3.0,-0.1,0.1,31,26,5,83.87096774193549,1.5836737424339384,4.446961290322566
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,24,,-0.05,0.15,115,92,23,80.0,1.5821244366455363,5.1653556521739175
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,16,2.0,-0.05,0.15,112,89,23,79.46428571428571,1.5747391291791006,3.46480714285715
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,24,1.5,0.0,0.15,59,47,12,79.66101694915254,1.5672405003658325,3.3795881355931883
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,6,1.5,,,185,143,42,77.29729729729729,1.567117337886874,3.240576216216234
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,24,,0.0,0.15,93,74,19,79.56989247311827,1.566855087439718,5.024979569892492
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,6,2.0,-0.1,0.1,116,94,22,81.03448275862068,1.5654516041747013,3.696682758620695
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,24,1.5,0.0,0.15,59,47,12,79.66101694915254,1.5633131574441856,3.3570389830509058
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,10,1.5,,,181,139,42,76.79558011049724,1.558802462217506,3.2080574585635566
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,6,1.0,-0.1,0.1,77,64,13,83.11688311688312,1.5579974842619184,2.9519922077922516
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,6,1.5,-0.2,0.4,183,141,42,77.04918032786885,1.546019197017992,3.1541174863388193
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,10,1.5,-0.2,0.4,179,137,42,76.53631284916202,1.5373388491963516,3.1193033519553324
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,10,1.0,-0.05,0.15,89,74,15,83.14606741573034,1.533604240397806,2.760523595505634
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,6,2.0,-0.05,0.15,91,70,21,76.92307692307693,1.5240133188242264,3.216853846153817
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,16,2.0,0.0,0.15,85,66,19,77.64705882352942,1.5198125672617024,3.1935694117647278
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,16,,-0.05,0.15,155,124,31,80.0,1.5193045036977648,4.295120645161287
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,16,1.5,0.0,0.15,75,59,16,78.66666666666666,1.5169425413624842,2.943913333333378
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,10,2.0,-0.05,0.15,91,69,22,75.82417582417582,1.5120638358848173,3.1553142857142626
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,6,0.75,-0.05,0.15,83,69,14,83.13253012048193,1.5026692085294413,2.637067469879565
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,10,2.0,-0.1,0.1,112,90,22,80.35714285714286,1.502508838824051,3.40251785714286
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,16,1.5,,,164,126,38,76.82926829268293,1.5022955951079031,3.0113512195122243
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,6,,-0.05,0.15,165,134,31,81.21212121212122,1.500096228720763,3.9654333333333245
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,16,,0.0,0.15,112,88,24,78.57142857142857,1.4894450725906736,4.009580357142873
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,16,1.5,-0.2,0.4,162,124,38,76.5432098765432,1.479611610592301,2.9108549382716378
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,6,1.5,-0.1,0.25,165,128,37,77.57575757575758,1.4740640789676378,2.833427272727289
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,6,1.0,0.0,0.15,76,63,13,82.89473684210526,1.4738195752262175,2.575546052631625
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,16,1.5,-0.05,0.15,75,59,16,78.66666666666666,1.4692269058171026,2.8750333333333224
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,6,,0.0,0.15,119,95,24,79.83193277310924,1.4642377607255284,3.7198579831933
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,10,1.5,-0.1,0.25,161,124,37,77.01863354037268,1.4634100895664428,2.7867534161490863
forex,AUDUSD,mean_reversion,0.0001,1.0,3.0,6,0.75,-0.2,0.4,46,36,10,78.26086956521739,1.455837942625417,2.7859130434781796
forex,AUDUSD,mean_reversion,0.0001,1.0,3.0,10,0.75,-0.2,0.4,46,36,10,78.26086956521739,1.455837942625417,2.7859130434781796
forex,AUDUSD,mean_reversion,0.0001,1.0,3.0,16,0.75,-0.2,0.4,46,36,10,78.26086956521739,1.455837942625417,2.7859130434781796
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,10,,-0.05,0.15,164,131,33,79.8780487804878,1.4548603807256375,3.7169329268292586
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,10,2.0,0.0,0.15,94,73,21,77.6595744680851,1.4501801446648641,2.825722340425554
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,16,1.0,-0.1,0.1,61,51,10,83.60655737704919,1.4462936677790699,2.5133327868853135
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,16,1.0,0.0,0.15,61,51,10,83.60655737704919,1.4422177781331085,2.4574049180328448
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,6,0.75,-0.1,0.25,73,58,15,79.45205479452055,1.4381025940136947,2.557917808219165
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,24,2.0,0.0,0.15,68,52,16,76.47058823529412,1.4355358553024689,2.781145588235263
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,10,1.5,0.0,0.15,84,66,18,78.57142857142857,1.4343235150305371,2.5590238095238527
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,10,0.75,-0.1,0.25,72,57,15,79.16666666666666,1.4298906338935877,2.5448319444444314
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,16,,-0.05,0.15,121,94,27,77.68595041322314,1.4294766838631146,4.01240082644629
forex,AUDUSD,mean_reversion,0.0001,1.0,3.0,24,0.75,-0.2,0.4,45,35,10,77.77777777777779,1.425644263432147,2.659188888888806
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,6,1.5,-0.1,0.1,59,47,12,79.66101694915254,1.4253800331524158,3.1212050847457578
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,16,0.75,-0.05,0.15,63,53,10,84.12698412698413,1.4188404699012716,2.2989142857143774
forex,AUDUSD,mean_reversion,0.0001,1.0,2.0,10,1.5,-0.1,0.1,58,46,12,79.3103448275862,1.417294973361642,3.114672413793099
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,10,1.0,-0.1,0.1,72,59,13,81.94444444444444,1.4101323266453314,2.3204125000000575
forex,AUDUSD,mean_reversion,0.0001,1.0,2.5,6,3.0,-0.1,0.1,46,39,7,84.78260869565217,1.40917174609441,3.7402478260869585
forex,AUDUSD,mean_reversion,0.0001,1.0,2.5,10,3.0,-0.1,0.1,46,39,7,84.78260869565217,1.40917174609441,3.7402478260869585
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,16,1.0,,,119,92,27,77.31092436974791,1.4066997713759848,2.224973109243727
forex,AUDUSD,mean_reversion,0.0001,1.0,1.5,24,1.0,-0.1,0.25,88,69,19,78.4090909090909,1.4056546976896376,2.424895454545516
