market,symbol,phase,pip_or_tick_size,entry_rank,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,tp_units,sl_units,trades,wins,losses,win_rate_pct,profit_factor,avg_pips,signal_exit_trades,signal_exit_win_rate_pct,signal_exit_profit_factor,signal_exit_avg_pips
forex,AUDUSD,mean_reversion,0.0001,7,1.5,24,1.5,-0.1,0.25,2,200,117,113,4,96.58119658119658,2.8890280849323275,1.2630170940170973,117,78.63247863247864,2.081055341898424,5.529224786324848
forex,AUDUSD,momentum,0.0001,1,3.0,16,1.0,,,2,50,49,49,0,100.0,inf,2.0,49,75.51020408163265,1.7569239975025905,8.028638775510165
forex,EURUSD,mean_reversion,0.0001,5,2.5,6,1.5,-0.05,0.15,1,100,50,50,0,100.0,inf,1.0,50,84.0,2.7895826146947,9.338399999999991
forex,EURUSD,momentum,0.0001,1,2.5,24,0.75,,,6,100,49,49,0,100.0,inf,6.0,49,85.71428571428571,2.047282417602755,11.549387755102128
forex,GBPUSD,mean_reversion,0.0001,3,1.5,16,0.75,-0.05,0.15,7,100,40,40,0,100.0,inf,7.0,40,95.0,6.276987447698644,15.764999999999862
forex,GBPUSD,momentum,0.0001,2,2.0,16,1.5,,,1,100,144,144,0,100.0,inf,1.0,144,81.25,1.4973168768446459,5.1486111111111175
forex,NZDUSD,mean_reversion,0.0001,5,3.0,6,1.5,0.0,0.15,50,3,35,18,17,51.42857142857142,3.8153431372549473,4.10235714285721,35,82.85714285714286,2.333576776123934,5.384080000000014
forex,NZDUSD,momentum,0.0001,8,2.0,16,1.0,,,1,50,107,107,0,100.0,inf,1.0,107,79.43925233644859,1.329318958788719,2.7007383177570023
forex,USDCAD,mean_reversion,0.0001,4,2.5,24,,-0.05,0.15,6,200,61,58,3,95.08196721311475,20.757575757573786,5.344262295081924,61,81.9672131147541,1.4413638508730544,6.132786885245929
forex,USDCAD,momentum,0.0001,7,2.5,16,1.0,,,6,200,37,37,0,100.0,inf,6.0,37,81.08108108108108,2.088514797719221,10.835135135134884
forex,USDCHF,mean_reversion,0.0001,1,2.0,6,1.0,-0.1,0.1,3,50,41,40,1,97.5609756097561,inf,2.926829268292683,41,82.92682926829268,5.99030487768142,10.102385365853715
