market,symbol,phase,pip_or_tick_size,entry_rank,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,tp_units,sl_units,trades,wins,losses,win_rate_pct,profit_factor,avg_pips,signal_exit_trades,signal_exit_win_rate_pct,signal_exit_profit_factor,signal_exit_avg_pips
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,1,1,113,35,78,30.973451327433626,0.44871794871794873,-0.3805309734513274,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,1,2,113,53,60,46.902654867256636,0.44166666666666665,-0.5929203539823009,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,1,3,113,69,44,61.06194690265486,0.5227272727272727,-0.5575221238938053,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,1,4,113,76,37,67.2566371681416,0.5135135135135135,-0.6371681415929203,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,1,5,113,85,28,75.22123893805309,0.6071428571428571,-0.48672566371681414,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,1,8,113,95,18,84.070796460177,0.6597222222222222,-0.4336283185840708,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,1,10,113,99,14,87.61061946902655,0.7071428571428572,-0.36283185840707965,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,1,20,113,103,10,91.1504424778761,0.515,-0.8584070796460177,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,1,50,113,108,5,95.57522123893806,0.432,-1.2566371681415929,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,1,100,113,108,5,95.57522123893806,0.5594715687427358,-0.7525601769911567,113,83.1858407079646,2.350209907333294,5.875692920354001
