market,symbol,phase,pip_or_tick_size,unit_size_pips_or_ticks,trades,wins,losses,win_rate_pct,profit_factor,avg_pips
forex,AUDUSD,mean_reversion,0.0001,1,56,19,37,33.92857142857143,0.5135135135135135,-0.32142857142857145
forex,AUDUSD,mean_reversion,0.0001,3,56,27,29,48.214285714285715,0.9310344827586207,-0.10714285714285714
forex,AUDUSD,mean_reversion,0.0001,4,56,26,30,46.42857142857143,0.8666666666666667,-0.2857142857142857
forex,AUDUSD,mean_reversion,0.0001,5,56,25,31,44.642857142857146,0.7870967741935506,-0.5892857142857082
forex,AUDUSD,mean_reversion,0.0001,8,56,24,32,42.857142857142854,0.6835941406249955,-1.4464267857143063
forex,AUDUSD,mean_reversion,0.0001,10,56,27,29,48.214285714285715,0.7879231034482672,-1.0982553571429015
forex,AUDUSD,mean_reversion,0.0001,11,56,27,29,48.214285714285715,0.7758548589341615,-1.27682678571433
forex,AUDUSD,mean_reversion,0.0001,20,56,32,24,57.14285714285714,0.7298495833333305,-2.315575000000024
forex,AUDUSD,mean_reversion,0.0001,50,56,42,14,75.0,0.8721164893617023,-1.287969642857144
forex,AUDUSD,mean_reversion,0.0001,100,56,43,13,76.78571428571429,1.6012239029224564,3.426539285714285
forex,AUDUSD,mean_reversion,0.0001,200,56,43,13,76.78571428571429,1.2192154629516743,1.6408249999999995
forex,AUDUSD,momentum,0.0001,1,109,28,81,25.688073394495415,0.345679012345679,-0.48623853211009177
forex,AUDUSD,momentum,0.0001,3,109,53,56,48.62385321100918,0.9464285714285714,-0.08256880733944955
forex,AUDUSD,momentum,0.0001,4,109,55,54,50.45871559633027,1.0185185185185186,0.03669724770642202
forex,AUDUSD,momentum,0.0001,5,109,52,57,47.706422018348626,0.9122807017543859,-0.22935779816513763
forex,AUDUSD,momentum,0.0001,8,109,59,50,54.12844036697248,1.1665267499999994,0.611107339449539
forex,AUDUSD,momentum,0.0001,10,109,58,51,53.21100917431193,1.0711968627450963,0.333122935779809
forex,AUDUSD,momentum,0.0001,20,109,70,39,64.22018348623854,1.1508373421900209,1.0544779816513625
forex,AUDUSD,momentum,0.0001,50,109,90,19,82.56880733944955,1.3541032971234868,2.801965137614649
