phase,base_trades,base_win_rate_pct,base_profit_factor_atr,trades,wins,losses,win_rate_pct,confidence_pct,confidence_lower_95_pct,profit_factor_atr,avg_pnl_atr,trades_per_day,trades_per_week,active_days,trades_per_active_day,active_weeks,trades_per_active_week,market,symbol
momentum,438,71.68949771689498,1.2254370549088949,109,92,17,84.40366972477065,84.28808634288086,77.51803097057241,1.3128937907143625,0.5208937649377239,0.14963107018246297,1.0474174912772407,100,1.09,67,1.626865671641791,forex,AUDUSD
momentum,360,67.22222222222223,1.1357388950867215,71,53,18,74.64788732394366,74.54475308641976,64.55184624829171,1.068652732119465,0.13985295675554885,0.09804231814847311,0.6862962270393118,65,1.0923076923076922,51,1.392156862745098,forex,EURUSD
momentum,471,69.85138004246284,1.2834590546508267,92,71,21,77.17391304347827,77.09517612948885,68.60006185436626,0.9472424811357215,-0.10343667179987437,0.12623093744193692,0.8836165620935584,84,1.0952380952380953,62,1.4838709677419355,forex,GBPUSD
momentum,483,69.35817805383023,1.1069731297303746,96,76,20,79.16666666666666,79.06554822735907,71.01051246550624,0.9599074652288274,-0.08292634049981991,0.13190587965878514,0.923341157611496,87,1.103448275862069,61,1.5737704918032787,forex,NZDUSD
momentum,323,69.04024767801857,1.117720996246925,68,56,12,82.35294117647058,82.1600035895365,73.19119702448224,3.164124816279554,1.6636387706432392,0.09532571078109256,0.667279975467648,63,1.0793650793650793,46,1.4782608695652173,forex,USDCAD
momentum,376,71.27659574468085,1.3056419427548558,83,68,15,81.92771084337349,81.80091185410335,73.59833146859697,2.661698967266844,1.7791469176514967,0.11369376310945593,0.7958563417661916,74,1.1216216216216217,58,1.4310344827586208,forex,USDCHF
momentum,377,67.63925729442971,0.9669646492471105,70,54,16,77.14285714285715,77.0090036238652,67.2896032656884,0.78556282610991,-0.5546032331773724,0.09606312719787288,0.6724418903851102,64,1.09375,51,1.3725490196078431,forex,USDJPY
momentum,404,69.55445544554455,1.0890880995853316,91,69,22,75.82417582417582,75.75602668962549,67.04588760593062,1.0238216411563885,0.05486757073655273,0.1249338577046836,0.8745370039327852,86,1.058139534883721,62,1.467741935483871,futures,6A
momentum,448,72.09821428571429,1.2254207906893049,98,80,18,81.63265306122449,81.5363455988456,73.93149784604509,0.7774214031443023,-0.5654724898731046,0.1342025305621728,0.9394177139352096,86,1.1395348837209303,56,1.75,futures,6B
momentum,478,69.0376569037657,1.3487968632974114,74,62,12,83.78378378378379,83.58716875871689,75.25974174780117,2.769634501958166,1.5266136357344724,0.10133660471021211,0.7093562329714848,68,1.088235294117647,49,1.510204081632653,futures,6C
momentum,375,68.0,0.8601149692308451,79,63,16,79.74683544303798,79.60000000000001,70.82423107093764,0.9790815318915521,-0.04508625921339943,0.10899213888449766,0.7629449721914836,72,1.0972222222222223,52,1.5192307692307692,futures,6E
momentum,398,72.61306532663316,0.957358174456047,64,52,12,81.25,81.1171240819482,71.67489689491859,1.3032295112913137,0.5343814141100263,0.08776892088797462,0.6143824462158224,58,1.103448275862069,43,1.4883720930232558,futures,6J
momentum,393,66.66666666666666,0.8697024206905541,74,60,14,81.08108108108108,80.88888888888889,72.04920613648804,1.7435860385567328,1.0646334765053784,0.10154664227107693,0.7108264958975385,66,1.121212121212121,51,1.4509803921568627,futures,CL
momentum,364,71.42857142857143,0.9395513762541323,81,67,14,82.71604938271605,82.57839721254354,74.41831933412564,1.0214539147584851,0.06012502014492456,0.11105398457583547,0.7773778920308484,76,1.0657894736842106,58,1.396551724137931,futures,ES
