market,symbol,phase,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,key,size_multiplier,dollars_per_unit,pnl_dollars,risk_dollars,target_dollars,session_key
futures,NQ,momentum,short,271576,271577,271580,2022-01-19 17:15:00+00:00,2022-01-19 17:30:00+00:00,2022-01-19 18:15:00+00:00,15293.25,15255.75,150.0,147.0,0.2922465208747515,150.0,500.0,3.0,tp,3,NQ:momentum,4.0,0.5,294.0,1006.0,300.0,2022-01-19
futures,CL,momentum,short,274126,274127,274168,2022-01-20 10:15:00+00:00,2022-01-20 10:30:00+00:00,2022-01-20 20:45:00+00:00,85.75,84.68,106.99999999999932,103.99999999999932,0.2067594433399588,500.0,500.0,3.0,signal,41,CL:momentum,2.0,1.0,207.99999999999864,1006.0,1000.0,2022-01-20
futures,CL,momentum,short,274232,274233,274238,2022-01-21 13:45:00+00:00,2022-01-21 14:00:00+00:00,2022-01-21 15:15:00+00:00,85.12,84.08,104.00000000000064,101.00000000000064,0.2007952286282318,500.0,500.0,3.0,signal,5,CL:momentum,2.0,1.0,202.00000000000128,1006.0,1000.0,2022-01-21
futures,CL,momentum,short,274423,274424,274965,2022-01-25 15:30:00+00:00,2022-01-25 15:45:00+00:00,2022-02-02 13:00:00+00:00,84.42,89.42,-500.0,-503.0,-1.0,500.0,500.0,3.0,sl,541,CL:momentum,2.0,1.0,-1006.0,1006.0,1000.0,2022-01-25
futures,NQ,momentum,short,272214,272215,272215,2022-01-28 15:45:00+00:00,2022-01-28 16:00:00+00:00,2022-01-28 16:00:00+00:00,14144.75,14107.25,150.0,147.0,0.2922465208747515,150.0,500.0,3.0,tp,1,NQ:momentum,4.0,0.5,294.0,1006.0,300.0,2022-01-28
futures,CL,momentum,short,275062,275063,275155,2022-02-03 14:15:00+00:00,2022-02-03 14:30:00+00:00,2022-02-04 14:30:00+00:00,87.69,92.69,-500.0,-503.0,-1.0,500.0,500.0,3.0,sl,92,CL:momentum,2.0,1.0,-1006.0,1006.0,1000.0,2022-02-03
futures,6B,mean_reversion,long,274122,274123,274132,2022-02-08 08:30:00+00:00,2022-02-08 08:45:00+00:00,2022-02-08 11:00:00+00:00,1.3531,1.3552,20.999999999999908,17.999999999999908,0.0886699507389158,500.0,200.0,3.0,signal,9,6B:mean_reversion,9.0,0.625,101.24999999999949,1141.875,2812.5,2022-02-08
futures,CL,momentum,long,275773,275774,275896,2022-02-15 08:00:00+00:00,2022-02-15 08:15:00+00:00,2022-02-16 15:45:00+00:00,93.42,94.25,82.99999999999983,79.99999999999983,0.1590457256461229,500.0,500.0,3.0,signal,122,CL:momentum,2.0,1.0,159.99999999999966,1006.0,1000.0,2022-02-15
futures,6B,mean_reversion,long,274612,274613,274648,2022-02-15 16:00:00+00:00,2022-02-15 16:15:00+00:00,2022-02-16 02:00:00+00:00,1.3531,1.3544,13.000000000000789,10.000000000000789,0.0492610837438462,500.0,200.0,3.0,signal,35,6B:mean_reversion,9.0,0.625,56.250000000004434,1141.875,2812.5,2022-02-15
futures,CL,momentum,short,275940,275941,275966,2022-02-17 03:45:00+00:00,2022-02-17 04:00:00+00:00,2022-02-17 10:15:00+00:00,92.5,91.46,104.00000000000064,101.00000000000064,0.2007952286282318,500.0,500.0,3.0,signal,25,CL:momentum,2.0,1.0,202.00000000000128,1006.0,1000.0,2022-02-17
futures,NQ,momentum,long,274063,274064,274065,2022-02-27 23:00:00+00:00,2022-02-27 23:15:00+00:00,2022-02-27 23:30:00+00:00,13820.75,13858.25,150.0,147.0,0.2922465208747515,150.0,500.0,3.0,tp,1,NQ:momentum,4.0,0.5,294.0,1006.0,300.0,2022-02-28
futures,NQ,momentum,long,274225,274226,274241,2022-03-01 16:30:00+00:00,2022-03-01 16:45:00+00:00,2022-03-01 20:30:00+00:00,14085.5,13960.5,-500.0,-503.0,-1.0,150.0,500.0,3.0,sl,15,NQ:momentum,4.0,0.5,-1006.0,1006.0,300.0,2022-03-01
futures,NQ,momentum,long,274404,274405,274413,2022-03-03 15:15:00+00:00,2022-03-03 15:30:00+00:00,2022-03-03 17:30:00+00:00,14147.75,14185.25,150.0,147.0,0.2922465208747515,150.0,500.0,3.0,tp,8,NQ:momentum,4.0,0.5,294.0,1006.0,300.0,2022-03-03
futures,CL,momentum,long,276934,276935,276988,2022-03-04 01:45:00+00:00,2022-03-04 02:00:00+00:00,2022-03-04 15:15:00+00:00,109.36,113.73,437.00000000000045,434.00000000000045,0.8628230616302196,500.0,500.0,3.0,signal,53,CL:momentum,2.0,1.0,868.0000000000009,1006.0,1000.0,2022-03-04
futures,CL,momentum,long,276995,276996,277001,2022-03-04 17:00:00+00:00,2022-03-04 17:15:00+00:00,2022-03-04 18:30:00+00:00,110.33,113.22,289.00000000000006,286.00000000000006,0.5685884691848908,500.0,500.0,3.0,signal,5,CL:momentum,2.0,1.0,572.0000000000001,1006.0,1000.0,2022-03-04
futures,CL,momentum,long,277115,277116,277124,2022-03-08 01:00:00+00:00,2022-03-08 01:15:00+00:00,2022-03-08 03:15:00+00:00,117.61,121.25,364.00000000000006,361.00000000000006,0.7176938369781313,500.0,500.0,3.0,signal,8,CL:momentum,2.0,1.0,722.0000000000001,1006.0,1000.0,2022-03-08
futures,NQ,momentum,short,274688,274689,274689,2022-03-08 17:15:00+00:00,2022-03-08 17:30:00+00:00,2022-03-08 17:30:00+00:00,13513.5,13476.0,150.0,147.0,0.2922465208747515,150.0,500.0,3.0,tp,1,NQ:momentum,4.0,0.5,294.0,1006.0,300.0,2022-03-08
futures,CL,momentum,long,277241,277242,277259,2022-03-09 09:30:00+00:00,2022-03-09 09:45:00+00:00,2022-03-09 14:00:00+00:00,121.91,116.91,-500.0,-503.0,-1.0,500.0,500.0,3.0,sl,17,CL:momentum,2.0,1.0,-1006.0,1006.0,1000.0,2022-03-09
futures,NQ,momentum,short,274880,274881,274899,2022-03-10 19:15:00+00:00,2022-03-10 19:30:00+00:00,2022-03-11 01:00:00+00:00,13588.25,13550.75,150.0,147.0,0.2922465208747515,150.0,500.0,3.0,tp,18,NQ:momentum,4.0,0.5,294.0,1006.0,300.0,2022-03-10
futures,CL,momentum,short,277718,277719,277725,2022-03-16 12:45:00+00:00,2022-03-16 13:00:00+00:00,2022-03-16 14:30:00+00:00,98.62,95.68,293.9999999999998,290.9999999999998,0.5785288270377729,500.0,500.0,3.0,signal,6,CL:momentum,2.0,1.0,581.9999999999995,1006.0,1000.0,2022-03-16
futures,NQ,momentum,long,275704,275705,275706,2022-03-23 17:15:00+00:00,2022-03-23 17:30:00+00:00,2022-03-23 17:45:00+00:00,14501.5,14539.0,150.0,147.0,0.2922465208747515,150.0,500.0,3.0,tp,1,NQ:momentum,4.0,0.5,294.0,1006.0,300.0,2022-03-23
futures,6B,mean_reversion,long,277074,277075,277138,2022-03-24 10:30:00+00:00,2022-03-24 10:45:00+00:00,2022-03-25 03:30:00+00:00,1.319,1.3207,17.000000000000348,14.000000000000348,0.068965517241381,500.0,200.0,3.0,signal,63,6B:mean_reversion,9.0,0.625,78.75000000000195,1141.875,2812.5,2022-03-24
futures,CL,momentum,long,278274,278275,278449,2022-03-24 13:45:00+00:00,2022-03-24 14:00:00+00:00,2022-03-28 11:30:00+00:00,112.92,107.92,-500.0,-503.0,-1.0,500.0,500.0,3.0,sl,174,CL:momentum,2.0,1.0,-1006.0,1006.0,1000.0,2022-03-24
futures,6B,mean_reversion,long,277349,277350,277438,2022-03-29 10:15:00+00:00,2022-03-29 10:30:00+00:00,2022-03-30 09:30:00+00:00,1.3101,1.3147,45.999999999999375,42.999999999999375,0.211822660098519,500.0,200.0,3.0,signal,88,6B:mean_reversion,9.0,0.625,241.87499999999648,1141.875,2812.5,2022-03-29
futures,6B,mean_reversion,long,277724,277725,277792,2022-04-04 12:00:00+00:00,2022-04-04 12:15:00+00:00,2022-04-05 06:00:00+00:00,1.3116,1.3125,8.999999999999009,5.999999999999009,0.0295566502463005,500.0,200.0,3.0,signal,67,6B:mean_reversion,9.0,0.625,33.74999999999442,1141.875,2812.5,2022-04-04
futures,CL,momentum,short,278911,278912,279034,2022-04-04 12:00:00+00:00,2022-04-04 12:15:00+00:00,2022-04-05 19:45:00+00:00,100.92,100.4,51.9999999999996,48.9999999999996,0.0974155069582497,500.0,500.0,3.0,signal,122,CL:momentum,2.0,1.0,97.9999999999992,1006.0,1000.0,2022-04-04
futures,6B,mean_reversion,long,278353,278354,278384,2022-04-13 08:15:00+00:00,2022-04-13 08:30:00+00:00,2022-04-13 16:00:00+00:00,1.3001,1.3069,67.99999999999918,64.99999999999918,0.3201970443349713,500.0,200.0,3.0,signal,30,6B:mean_reversion,9.0,0.625,365.6249999999954,1141.875,2812.5,2022-04-13
futures,NQ,momentum,short,277072,277073,277081,2022-04-13 14:15:00+00:00,2022-04-13 14:30:00+00:00,2022-04-13 16:30:00+00:00,14073.75,14198.75,-500.0,-503.0,-1.0,150.0,500.0,3.0,sl,8,NQ:momentum,4.0,0.5,-1006.0,1006.0,300.0,2022-04-13
futures,NQ,momentum,long,277534,277535,277538,2022-04-21 14:45:00+00:00,2022-04-21 15:00:00+00:00,2022-04-21 15:45:00+00:00,14095.25,13970.25,-500.0,-503.0,-1.0,150.0,500.0,3.0,sl,3,NQ:momentum,4.0,0.5,-1006.0,1006.0,300.0,2022-04-21
futures,CL,momentum,short,280452,280453,280539,2022-04-28 06:45:00+00:00,2022-04-28 07:00:00+00:00,2022-04-29 05:30:00+00:00,101.42,106.42,-500.0,-503.0,-1.0,500.0,500.0,3.0,sl,86,CL:momentum,2.0,1.0,-1006.0,1006.0,1000.0,2022-04-28
futures,6B,mean_reversion,short,279382,279383,279483,2022-04-29 12:30:00+00:00,2022-04-29 12:45:00+00:00,2022-05-02 14:45:00+00:00,1.254,1.2529,11.000000000001007,8.000000000001009,0.0394088669950788,500.0,200.0,3.0,signal,100,6B:mean_reversion,9.0,0.625,45.00000000000568,1141.875,2812.5,2022-04-29
futures,NQ,momentum,short,278368,278369,278375,2022-05-04 16:15:00+00:00,2022-05-04 16:30:00+00:00,2022-05-04 18:00:00+00:00,13058.0,13183.0,-500.0,-503.0,-1.0,150.0,500.0,3.0,sl,6,NQ:momentum,4.0,0.5,-1006.0,1006.0,300.0,2022-05-04
futures,CL,momentum,long,280981,280982,280987,2022-05-06 01:00:00+00:00,2022-05-06 01:15:00+00:00,2022-05-06 02:30:00+00:00,107.34,108.65,131.00000000000023,128.00000000000023,0.2544731610337977,500.0,500.0,3.0,signal,5,CL:momentum,2.0,1.0,256.00000000000045,1006.0,1000.0,2022-05-06
futures,CL,momentum,long,281065,281066,281130,2022-05-08 23:00:00+00:00,2022-05-08 23:15:00+00:00,2022-05-09 15:15:00+00:00,109.09,104.09,-500.0,-503.0,-1.0,500.0,500.0,3.0,sl,64,CL:momentum,2.0,1.0,-1006.0,1006.0,1000.0,2022-05-09
futures,6B,mean_reversion,long,280020,280021,280104,2022-05-10 11:00:00+00:00,2022-05-10 11:15:00+00:00,2022-05-11 09:00:00+00:00,1.2349,1.2372,22.999999999999687,19.999999999999687,0.0985221674876832,500.0,200.0,3.0,signal,83,6B:mean_reversion,9.0,0.625,112.49999999999824,1141.875,2812.5,2022-05-10
futures,NQ,momentum,short,278722,278723,278725,2022-05-10 12:45:00+00:00,2022-05-10 13:00:00+00:00,2022-05-10 13:30:00+00:00,12467.5,12430.0,150.0,147.0,0.2922465208747515,150.0,500.0,3.0,tp,2,NQ:momentum,4.0,0.5,294.0,1006.0,300.0,2022-05-10
futures,NQ,momentum,long,279094,279095,279095,2022-05-16 13:45:00+00:00,2022-05-16 14:00:00+00:00,2022-05-16 14:00:00+00:00,12251.0,12288.5,150.0,147.0,0.2922465208747515,150.0,500.0,3.0,tp,1,NQ:momentum,4.0,0.5,294.0,1006.0,300.0,2022-05-16
futures,NQ,momentum,short,279377,279378,279378,2022-05-19 15:30:00+00:00,2022-05-19 15:45:00+00:00,2022-05-19 15:45:00+00:00,12063.75,12026.25,150.0,147.0,0.2922465208747515,150.0,500.0,3.0,tp,1,NQ:momentum,4.0,0.5,294.0,1006.0,300.0,2022-05-19
futures,CL,momentum,long,282035,282036,282312,2022-05-23 13:15:00+00:00,2022-05-23 13:30:00+00:00,2022-05-26 13:30:00+00:00,110.18,112.13,194.9999999999989,191.9999999999989,0.3817097415506935,500.0,500.0,3.0,signal,276,CL:momentum,2.0,1.0,383.9999999999978,1006.0,1000.0,2022-05-23
futures,NQ,momentum,short,279737,279738,279738,2022-05-25 13:30:00+00:00,2022-05-25 13:45:00+00:00,2022-05-25 13:45:00+00:00,11820.75,11783.25,150.0,147.0,0.2922465208747515,150.0,500.0,3.0,tp,1,NQ:momentum,4.0,0.5,294.0,1006.0,300.0,2022-05-25
futures,NQ,momentum,long,279764,279765,279765,2022-05-25 20:15:00+00:00,2022-05-25 20:30:00+00:00,2022-05-25 20:30:00+00:00,11850.25,11887.75,150.0,147.0,0.2922465208747515,150.0,500.0,3.0,tp,1,NQ:momentum,4.0,0.5,294.0,1006.0,300.0,2022-05-25
futures,6B,mean_reversion,short,281128,281129,281375,2022-05-26 12:00:00+00:00,2022-05-26 12:15:00+00:00,2022-05-31 04:45:00+00:00,1.2573,1.2614,-40.99999999999992,-43.99999999999992,-0.216748768472906,500.0,200.0,3.0,signal,246,6B:mean_reversion,9.0,0.625,-247.49999999999955,1141.875,2812.5,2022-05-26
futures,6B,mean_reversion,long,281388,281389,281607,2022-05-31 08:00:00+00:00,2022-05-31 08:15:00+00:00,2022-06-02 16:45:00+00:00,1.2625,1.2577,-47.999999999999154,-50.999999999999154,-0.2512315270935918,500.0,200.0,3.0,signal,218,6B:mean_reversion,9.0,0.625,-286.8749999999952,1141.875,2812.5,2022-05-31
futures,NQ,momentum,long,280073,280074,280077,2022-05-31 09:30:00+00:00,2022-05-31 09:45:00+00:00,2022-05-31 10:30:00+00:00,12628.5,12666.0,150.0,147.0,0.2922465208747515,150.0,500.0,3.0,tp,3,NQ:momentum,4.0,0.5,294.0,1006.0,300.0,2022-05-31
futures,CL,momentum,short,282643,282644,282691,2022-06-01 06:45:00+00:00,2022-06-01 07:00:00+00:00,2022-06-01 18:45:00+00:00,116.09,115.36,73.0000000000004,70.0000000000004,0.1391650099403586,500.0,500.0,3.0,signal,47,CL:momentum,2.0,1.0,140.0000000000008,1006.0,1000.0,2022-06-01
futures,CL,momentum,short,282756,282757,282861,2022-06-02 12:00:00+00:00,2022-06-02 12:15:00+00:00,2022-06-03 15:15:00+00:00,114.4,119.4,-500.0,-503.0,-1.0,500.0,500.0,3.0,sl,104,CL:momentum,2.0,1.0,-1006.0,1006.0,1000.0,2022-06-02
