market,symbol,strategy,variant_id,lookback,threshold,adx_min,adx_max,session,tp_atr,sl_atr,max_bars,pip_or_tick_size,cost_units,train_trades,train_wins,train_losses,train_win_rate_pct,train_profit_factor_r,train_total_r,train_avg_r,train_max_drawdown_r,test_trades,test_wins,test_losses,test_win_rate_pct,test_profit_factor_r,test_total_r,test_avg_r,test_max_drawdown_r
futures,6J,false_breakout,strategy=false_breakout|lookback=20|threshold=0.0|adx_min=None|adx_max=25.0|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,20,0.0,,25.0,all,3.0,1.5,96,5e-07,3.0,984,346,638,35.16260162601626,0.6534603126698024,-217.68229485846223,-0.22122184436835593,219.29680531885575,346,122,224,35.26011560693642,0.6312275723887328,-80.36665908170818,-0.2322735811610063,85.90509032833597
futures,6J,false_breakout,strategy=false_breakout|lookback=55|threshold=0.0|adx_min=None|adx_max=25.0|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,55,0.0,,25.0,all,3.0,1.5,96,5e-07,3.0,497,166,331,33.400402414486926,0.7590964087294385,-79.52738555459078,-0.16001486027080639,89.15036990700142,189,60,129,31.746031746031743,0.671401467004645,-42.3892107564008,-0.22428153839365503,48.19186301823231
futures,6J,rsi2_pullback,strategy=rsi2_pullback|lookback=20|threshold=5.0|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,20,5.0,,,all,3.0,1.5,96,5e-07,3.0,730,257,473,35.205479452054796,0.8414719724005273,-74.77238635108472,-0.10242792650833524,93.14597416333228,277,82,195,29.602888086642597,0.6187692156415548,-74.01624352316261,-0.2672066553182766,74.69630239642984
futures,6J,rsi2_pullback,strategy=rsi2_pullback|lookback=20|threshold=10.0|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,20,10.0,,,all,3.0,1.5,96,5e-07,3.0,1161,401,760,34.53919035314384,0.8138060672353202,-141.00522950673073,-0.12145153273620218,157.7898390006743,425,149,276,35.05882352941177,0.7934520834591381,-56.756186142410144,-0.13354396739390623,59.255336726053
futures,CL,false_breakout,strategy=false_breakout|lookback=20|threshold=0.0|adx_min=None|adx_max=25.0|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,20,0.0,,25.0,all,3.0,1.5,96,0.01,3.0,1129,455,674,40.30115146147033,0.8672049788237075,-88.06923457449025,-0.07800640794906134,100.25964390678759,376,165,211,43.88297872340425,1.005909033115234,1.2248034521308764,0.0032574559897097775,13.576762647238766
futures,CL,false_breakout,strategy=false_breakout|lookback=55|threshold=0.0|adx_min=None|adx_max=25.0|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,55,0.0,,25.0,all,3.0,1.5,96,0.01,3.0,651,222,429,34.10138248847927,0.8470789004675865,-65.6031516994054,-0.10077289047527711,81.56204698656408,208,78,130,37.5,0.9673534718184107,-4.244048663606609,-0.020404080113493313,16.973350215148173
futures,CL,rsi2_pullback,strategy=rsi2_pullback|lookback=20|threshold=5.0|adx_min=None|adx_max=None|session=all|tp_atr=2.0|sl_atr=1.0|max_bars=64,20,5.0,,,all,2.0,1.0,64,0.01,3.0,979,332,647,33.912155260469866,0.80092059876163,-128.80437260122542,-0.13156728559880024,136.69080967858898,339,116,223,34.21828908554572,0.7793618098286331,-49.20231640821479,-0.14513957642541236,54.242643674379664
futures,CL,rsi2_pullback,strategy=rsi2_pullback|lookback=20|threshold=10.0|adx_min=None|adx_max=None|session=all|tp_atr=2.0|sl_atr=1.5|max_bars=64,20,10.0,,,all,2.0,1.5,64,0.01,3.0,1344,555,789,41.294642857142854,0.7715218968465317,-179.75373169664124,-0.13374533608381045,182.78783469332998,436,181,255,41.51376146788991,0.747115708603433,-64.34636957972667,-0.147583416467263,65.824206187722
futures,ES,false_breakout,strategy=false_breakout|lookback=20|threshold=0.0|adx_min=None|adx_max=25.0|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,20,0.0,,25.0,all,3.0,1.5,96,0.25,3.0,1028,413,615,40.175097276264594,0.8315613786266565,-101.89300386371997,-0.0991177080386381,124.77274611013769,371,147,224,39.62264150943396,0.8304735651591265,-37.03681515561189,-0.09982969044639324,47.04266935106489
futures,ES,false_breakout,strategy=false_breakout|lookback=55|threshold=0.0|adx_min=None|adx_max=25.0|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,55,0.0,,25.0,all,3.0,1.5,96,0.25,3.0,573,210,363,36.64921465968586,0.9804214339241677,-7.092218720749801,-0.012377345062390578,32.13459786447806,224,80,144,35.714285714285715,0.8938473450813541,-15.285982308285009,-0.06824099244770093,20.698245234855378
