period,market,symbol,strategy,variant_id,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,side,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held
train,futures,ES,donchian_breakout,strategy=donchian_breakout|lookback=20|threshold=0.0|adx_min=20.0|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,2914,2915,2918,2023-12-12 23:00:00+00:00,2023-12-12 23:15:00+00:00,2023-12-13 00:00:00+00:00,long,4652.0,4662.513106512094,42.052426048375914,39.052426048375914,1.625409131645532,42.052426048375914,21.026213024187957,3.0,tp,3
train,futures,ES,donchian_breakout,strategy=donchian_breakout|lookback=55|threshold=0.0|adx_min=20.0|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,2914,2915,2918,2023-12-12 23:00:00+00:00,2023-12-12 23:15:00+00:00,2023-12-13 00:00:00+00:00,long,4652.0,4662.513106512094,42.052426048375914,39.052426048375914,1.625409131645532,42.052426048375914,21.026213024187957,3.0,tp,3
train,futures,ES,bb_continuation,strategy=bb_continuation|lookback=20|threshold=2.0|adx_min=20.0|adx_max=None|session=all|tp_atr=2.0|sl_atr=1.5|max_bars=64,2918,2919,2978,2023-12-13 00:00:00+00:00,2023-12-13 00:15:00+00:00,2023-12-13 15:00:00+00:00,long,4703.75,4697.843277199639,-23.626891201444984,-26.626891201444984,-1.0,31.502521601926645,23.626891201444984,3.0,sl,59
train,futures,ES,bb_continuation,strategy=bb_continuation|lookback=20|threshold=2.5|adx_min=20.0|adx_max=None|session=all|tp_atr=2.0|sl_atr=1.5|max_bars=64,2918,2919,2978,2023-12-13 00:00:00+00:00,2023-12-13 00:15:00+00:00,2023-12-13 15:00:00+00:00,long,4703.75,4697.843277199639,-23.626891201444984,-26.626891201444984,-1.0,31.502521601926645,23.626891201444984,3.0,sl,59
train,futures,ES,donchian_breakout,strategy=donchian_breakout|lookback=20|threshold=0.0|adx_min=20.0|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,2918,2919,2976,2023-12-13 00:00:00+00:00,2023-12-13 00:15:00+00:00,2023-12-13 14:30:00+00:00,long,4703.75,4700.25,-14.0,-17.0,-0.6384523026509924,47.25378240288997,23.626891201444984,3.0,opposite,57
train,futures,ES,donchian_breakout,strategy=donchian_breakout|lookback=55|threshold=0.0|adx_min=20.0|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,2918,2919,2976,2023-12-13 00:00:00+00:00,2023-12-13 00:15:00+00:00,2023-12-13 14:30:00+00:00,long,4703.75,4700.25,-14.0,-17.0,-0.6384523026509924,47.25378240288997,23.626891201444984,3.0,opposite,57
train,futures,ES,squeeze_breakout,strategy=squeeze_breakout|lookback=20|threshold=0.25|adx_min=None|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,2953,2954,2975,2023-12-13 08:45:00+00:00,2023-12-13 09:00:00+00:00,2023-12-13 14:15:00+00:00,long,4705.25,4700.411482164387,-19.354071342450673,-22.354071342450673,-1.0,38.70814268490135,19.354071342450673,3.0,sl,21
train,futures,ES,bb_continuation,strategy=bb_continuation|lookback=20|threshold=2.0|adx_min=20.0|adx_max=None|session=all|tp_atr=2.0|sl_atr=1.5|max_bars=64,2994,2995,2995,2023-12-13 19:00:00+00:00,2023-12-13 19:15:00+00:00,2023-12-13 19:15:00+00:00,long,4727.25,4733.983641931302,26.934567725211014,23.934567725211014,1.0316212351963723,26.934567725211014,20.20092579390826,3.0,tp,0
train,futures,ES,bb_continuation,strategy=bb_continuation|lookback=20|threshold=2.5|adx_min=20.0|adx_max=None|session=all|tp_atr=2.0|sl_atr=1.5|max_bars=64,2994,2995,2995,2023-12-13 19:00:00+00:00,2023-12-13 19:15:00+00:00,2023-12-13 19:15:00+00:00,long,4727.25,4733.983641931302,26.934567725211014,23.934567725211014,1.0316212351963723,26.934567725211014,20.20092579390826,3.0,tp,0
train,futures,ES,bb_reversion,strategy=bb_reversion|lookback=20|threshold=2.0|adx_min=None|adx_max=25.0|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,2994,2995,2995,2023-12-13 19:00:00+00:00,2023-12-13 19:15:00+00:00,2023-12-13 19:15:00+00:00,short,4727.25,4732.3002314484775,-20.20092579390826,-23.20092579390826,-1.0,40.40185158781652,20.20092579390826,3.0,sl,0
train,futures,ES,bb_reversion,strategy=bb_reversion|lookback=20|threshold=2.5|adx_min=None|adx_max=25.0|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,2994,2995,2995,2023-12-13 19:00:00+00:00,2023-12-13 19:15:00+00:00,2023-12-13 19:15:00+00:00,short,4727.25,4732.3002314484775,-20.20092579390826,-23.20092579390826,-1.0,40.40185158781652,20.20092579390826,3.0,sl,0
train,futures,ES,donchian_breakout,strategy=donchian_breakout|lookback=20|threshold=0.0|adx_min=20.0|adx_max=None|session=all|tp_atr=3.0|sl_atr=1.5|max_bars=96,2994,2995,2996,2023-12-13 19:00:00+00:00,2023-12-13 19:15:00+00:00,2023-12-13 19:30:00+00:00,long,4727.25,4737.350462896954,40.40185158781652,37.40185158781652,1.6120844452524787,40.40185158781652,20.20092579390826,3.0,tp,1
