strategy_id,asset_key,asset_name,market,symbol,phase,variant_id,side,signal_time,entry_index,exit_index,entry_time,exit_time,entry_price,exit_price,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,source,tp_mode,sl_mode,size_mode,size_multiplier
gbp_usd_ny_sweep_bayes_on_new_zealand_dollar_futures,new_zealand_dollar_futures,New Zealand Dollar Futures,futures,6N,ny_sweep_playbook,ny_sweep_v4|model=bayes|min=0.62|start=420|end=540|max_tests=2|risk_min=10|risk_max=22|min_wick=0.5|rr=2|max_bars=96|one_trade=1,long,2022-03-04T13:00:00Z,51376,51377,2022-03-04T13:15:00Z,2022-03-04T13:30:00Z,0.6829,0.682,-18,-1,36,18,0,sl,2,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,3.5
gbp_usd_ny_sweep_bayes_on_new_zealand_dollar_futures,new_zealand_dollar_futures,New Zealand Dollar Futures,futures,6N,ny_sweep_playbook,ny_sweep_v4|model=bayes|min=0.62|start=420|end=540|max_tests=2|risk_min=10|risk_max=22|min_wick=0.5|rr=2|max_bars=96|one_trade=1,long,2022-04-18T12:15:00Z,54122,54130,2022-04-18T12:30:00Z,2022-04-18T14:30:00Z,0.6727,0.67185,-17,-1,33.999999999998,17,0,sl,9,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,3.75
gbp_usd_ny_sweep_bayes_on_new_zealand_dollar_futures,new_zealand_dollar_futures,New Zealand Dollar Futures,futures,6N,ny_sweep_playbook,ny_sweep_v4|model=bayes|min=0.62|start=420|end=540|max_tests=2|risk_min=10|risk_max=22|min_wick=0.5|rr=2|max_bars=96|one_trade=1,short,2022-08-01T12:30:00Z,61008,61013,2022-08-01T12:45:00Z,2022-08-01T14:00:00Z,0.6334,0.63435,-19,-1,38,19,0,sl,6,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,3.25
gbp_usd_ny_sweep_bayes_on_new_zealand_dollar_futures,new_zealand_dollar_futures,New Zealand Dollar Futures,futures,6N,ny_sweep_playbook,ny_sweep_v4|model=bayes|min=0.62|start=420|end=540|max_tests=2|risk_min=10|risk_max=22|min_wick=0.5|rr=2|max_bars=96|one_trade=1,short,2022-08-03T11:30:00Z,61188,61194,2022-08-03T11:45:00Z,2022-08-03T13:15:00Z,0.62635,0.62435,40,2,40,20,0,tp,7,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,3
gbp_usd_ny_sweep_bayes_on_new_zealand_dollar_futures,new_zealand_dollar_futures,New Zealand Dollar Futures,futures,6N,ny_sweep_playbook,ny_sweep_v4|model=bayes|min=0.62|start=420|end=540|max_tests=2|risk_min=10|risk_max=22|min_wick=0.5|rr=2|max_bars=96|one_trade=1,long,2022-11-09T13:15:00Z,67621,67627,2022-11-09T13:30:00Z,2022-11-09T15:00:00Z,0.5894,0.5914,40,2,40,20,0,tp,7,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,3
gbp_usd_ny_sweep_bayes_on_new_zealand_dollar_futures,new_zealand_dollar_futures,New Zealand Dollar Futures,futures,6N,ny_sweep_playbook,ny_sweep_v4|model=bayes|min=0.62|start=420|end=540|max_tests=2|risk_min=10|risk_max=22|min_wick=0.5|rr=2|max_bars=96|one_trade=1,short,2023-01-09T13:30:00Z,71370,71372,2023-01-09T13:45:00Z,2023-01-09T14:15:00Z,0.6409,0.6388,42,2,42,21,0,tp,3,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,3
gbp_usd_ny_sweep_bayes_on_new_zealand_dollar_futures,new_zealand_dollar_futures,New Zealand Dollar Futures,futures,6N,ny_sweep_playbook,ny_sweep_v4|model=bayes|min=0.62|start=420|end=540|max_tests=2|risk_min=10|risk_max=22|min_wick=0.5|rr=2|max_bars=96|one_trade=1,short,2023-05-09T11:15:00Z,79243,79249,2023-05-09T11:30:00Z,2023-05-09T13:00:00Z,0.6336,0.632,32.000000000001,2,32.000000000001,16,0,tp,7,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,3.75
gbp_usd_ny_sweep_bayes_on_new_zealand_dollar_futures,new_zealand_dollar_futures,New Zealand Dollar Futures,futures,6N,ny_sweep_playbook,ny_sweep_v4|model=bayes|min=0.62|start=420|end=540|max_tests=2|risk_min=10|risk_max=22|min_wick=0.5|rr=2|max_bars=96|one_trade=1,short,2023-05-19T12:30:00Z,79984,79994,2023-05-19T12:45:00Z,2023-05-19T15:15:00Z,0.62825,0.6292,-19,-1,37.999999999998,19,0,sl,11,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,3.25
gbp_usd_ny_sweep_bayes_on_new_zealand_dollar_futures,new_zealand_dollar_futures,New Zealand Dollar Futures,futures,6N,ny_sweep_playbook,ny_sweep_v4|model=bayes|min=0.62|start=420|end=540|max_tests=2|risk_min=10|risk_max=22|min_wick=0.5|rr=2|max_bars=96|one_trade=1,long,2023-05-25T13:00:00Z,80354,80355,2023-05-25T13:15:00Z,2023-05-25T13:30:00Z,0.6066,0.6057,-18,-1,36,18,0,sl,2,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,3.5
gbp_usd_ny_sweep_bayes_on_new_zealand_dollar_futures,new_zealand_dollar_futures,New Zealand Dollar Futures,futures,6N,ny_sweep_playbook,ny_sweep_v4|model=bayes|min=0.62|start=420|end=540|max_tests=2|risk_min=10|risk_max=22|min_wick=0.5|rr=2|max_bars=96|one_trade=1,short,2023-05-29T11:45:00Z,80533,80575,2023-05-29T12:00:00Z,2023-05-29T23:30:00Z,0.60605,0.60445,31.999999999999,2,31.999999999999,16,0,tp,43,pre_2022_ml_holdout_rebuild_2026_05,custom,custom,auto,3.75
